name,origin,genre
DJs Patric Pleasure,NaN,"Hip Hop, R'n'B"
Ramon Ramones,NaN,"Hip Hop, R'n'B"
Bülent Ceylan,Germany,"Ragga, Reggae, African Music, Dancehall"
Raffi Lusso,NaN,"Ragga, Reggae, African Music, Dancehall"
Miguel M,NaN,"Ragga, Reggae, African Music, Dancehall"
Laurent Coulondre,NaN,"Jazz, Blues, Soul"
Jörgen Welander,NaN,"Jazz, Blues, Soul"
Lucas Saint,NaN,"Jazz, Blues, Soul"
Vega & Bosca,NaN,"Hip Hop, R'n'B"
Menic And The Bruncrana Firecrackers,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Menic,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Jürg Frey,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
David Brühlmann,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Tevfik Kujas,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Charles Davis & Captured Moments,NaN,"Jazz, Blues, Soul"
Tin Soldiers,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Anna Mae,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Gigi Moto,NaN,"Hip Hop, R'n'B"
JP von Dach,NaN,"Hip Hop, R'n'B"
Ali Salvioni,NaN,Pop
Mischa Podstransky,NaN,Pop
Trio B.A.B & Hans Gysi,NaN,"Jazz, Blues, Soul"
Alfred Zimmerlin,NaN,"Jazz, Blues, Soul"
Bruno Huwyler,NaN,"Jazz, Blues, Soul"
Birgit Hauser,NaN,"Jazz, Blues, Soul"
Texte von Hans Gysi,NaN,"Jazz, Blues, Soul"
DJs Urbano,NaN,"Ragga, Reggae, African Music, Dancehall"
Jose Luis,NaN,"Ragga, Reggae, African Music, Dancehall"
Panthera,NaN,"Ragga, Reggae, African Music, Dancehall"
DJ Theo,NaN,"Ragga, Reggae, African Music, Dancehall"
Sarclo fait l'Dylan,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJ Aystep,NaN,"Hip Hop, R'n'B"
Mit Bachata- & Kizomba-Workshops,NaN,"Ragga, Reggae, African Music, Dancehall"
DJs Momo,NaN,"Hip Hop, R'n'B"
Alex Terry,NaN,"Hip Hop, R'n'B"
DJ Kenjiro & Grimm,NaN,"Hip Hop, R'n'B"
DJs Undreey,NaN,"Hip Hop, R'n'B"
Force,NaN,"Hip Hop, R'n'B"
Nightshift,NaN,"Hip Hop, R'n'B"
Joo Joo Eye Ball,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Real Rock Sound,NaN,"Ragga, Reggae, African Music, Dancehall"
DJ Mr. Tomatoo with King Gin & Duke Luke,NaN,"Hip Hop, R'n'B"
DJs K-Rim,NaN,"Hip Hop, R'n'B"
Sweap,NaN,"Hip Hop, R'n'B"
Live: XV Kilist & Rocco,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJs Frisk & Index,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Artemiss,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
M&D Babes,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Alison,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJs Certified,NaN,"Hip Hop, R'n'B"
Croma,Alma mater,"Hip Hop, R'n'B"
Curtis Bleu,NaN,"Hip Hop, R'n'B"
Simon Baumann & Fabian Kalker,NaN,"Jazz, Blues, Soul"
Simon Baumann,NaN,"Jazz, Blues, Soul"
Fabian Kalker,NaN,"Jazz, Blues, Soul"
Superterz,NaN,"Jazz, Blues, Soul"
Pyrolyzed,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Mantra,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Naked in English Class,NaN,"Jazz, Blues, Soul"
