artist_name,artist_url,event_venue.latitude,event_venue.city,event_datetime,event_venue.region,event_venue.id,event_venue.url,event_id,event_venue.name,event_venue.longitude,event_url
Kill Your Idols,http://www.bandsintown.com/KillYourIdols,46.519894,Lausanne,2010-04-01T19:00:00,Etr,794948,http://www.bandsintown.com/venue/794948,3432864,Le Romandie,6.632625,http://www.bandsintown.com/event/3432864?app_id=epfl
Hunx,http://www.bandsintown.com/Hunx,46.519894,Lausanne,2010-04-01T19:00:00,Etr,794948,http://www.bandsintown.com/venue/794948,3432864,Le Romandie,6.632625,http://www.bandsintown.com/event/3432864?app_id=epfl
His Punx,http://www.bandsintown.com/HisPunx,46.519894,Lausanne,2010-04-01T19:00:00,Etr,794948,http://www.bandsintown.com/venue/794948,3432864,Le Romandie,6.632625,http://www.bandsintown.com/event/3432864?app_id=epfl
Polar,http://www.bandsintown.com/Polar,46.202824,Geneve,2010-04-01T20:00:00,Etr,309951,http://www.bandsintown.com/venue/309951,3470897,L'ALHAMBRA,6.146445,http://www.bandsintown.com/event/3470897?app_id=epfl
Ninja Tune,http://www.bandsintown.com/NinjaTune,46.204216,Geneva,2010-04-01T20:00:00,Geneva,494614,http://www.bandsintown.com/venue/494614,3387262,Electron Festival,6.137786,http://www.bandsintown.com/event/3387262?app_id=epfl
Stevans,http://www.bandsintown.com/Stevans,46.224322,Conthey,2010-04-01T19:00:00,Switzerland,334526,http://www.bandsintown.com/venue/334526,3409768,Nouveau Monde,7.298266,http://www.bandsintown.com/event/3409768?app_id=epfl
Hayseed Dixie,http://www.bandsintown.com/HayseedDixie,46.948432,Berne,2010-04-01T19:00:00,,80385,http://www.bandsintown.com/venue/80385,3312782,ISC,7.440461,http://www.bandsintown.com/event/3312782?app_id=epfl
"""International Jazz Festival Bern""",http://www.bandsintown.com/%22internationalJazzFestivalBern%22,46.9166667,Bern,2010-04-01T19:00:00,05,815374,http://www.bandsintown.com/venue/815374,3298998,Int'l Jazz Festival Bern Festival Grounds,7.4666667,http://www.bandsintown.com/event/3298998?app_id=epfl
Marcia Ball,http://www.bandsintown.com/MarciaBall,46.9166667,Bern,2010-04-01T19:00:00,05,815374,http://www.bandsintown.com/venue/815374,3298998,Int'l Jazz Festival Bern Festival Grounds,7.4666667,http://www.bandsintown.com/event/3298998?app_id=epfl
Die Fantastischen Vier,http://www.bandsintown.com/DieFantastischenVier,46.9166667,Bern,2010-04-01T20:00:00,05,805606,http://www.bandsintown.com/venue/805606,3252039,Flowers & Butterflies,7.4666667,http://www.bandsintown.com/event/3252039?app_id=epfl
DRS 3 Hitparaden-Party,http://www.bandsintown.com/Drs3Hitparaden-party,46.956265,Berne,2010-04-01T22:00:00,,289084,http://www.bandsintown.com/venue/289084,3458869,Bierhubeli,7.437954,http://www.bandsintown.com/event/3458869?app_id=epfl
DVW,http://www.bandsintown.com/DVW,46.9495087,Berne,2010-04-01T22:00:00,BE,802218,http://www.bandsintown.com/venue/802218,3386357,Club Bonsoir,7.4426398,http://www.bandsintown.com/event/3386357?app_id=epfl
Mika,http://www.bandsintown.com/Mika,47.54055,Basel,2010-04-01T19:00:00,Etr,293615,http://www.bandsintown.com/venue/293615,3088603,ST. JAKOBSHALLE,7.617658,http://www.bandsintown.com/event/3088603?app_id=epfl
Attila,http://www.bandsintown.com/Attila,47.4975354,Winterthur,2010-04-01T20:00:00,25,147243,http://www.bandsintown.com/venue/147243,3272813,Salzhaus,8.7222841,http://www.bandsintown.com/event/3272813?app_id=epfl
(həd) p.e.,http://www.bandsintown.com/%28h%C9%99d%29P.e.,47.4975354,Winterthur,2010-04-01T20:00:00,25,147243,http://www.bandsintown.com/venue/147243,3272813,Salzhaus,8.7222841,http://www.bandsintown.com/event/3272813?app_id=epfl
Threat Signal,http://www.bandsintown.com/ThreatSignal,47.4975354,Winterthur,2010-04-01T20:00:00,25,147243,http://www.bandsintown.com/venue/147243,3272813,Salzhaus,8.7222841,http://www.bandsintown.com/event/3272813?app_id=epfl
PE,http://www.bandsintown.com/PE,47.4975354,Winterthur,2010-04-01T20:00:00,25,147243,http://www.bandsintown.com/venue/147243,3272813,Salzhaus,8.7222841,http://www.bandsintown.com/event/3272813?app_id=epfl
Leaves' Eyes,http://www.bandsintown.com/Leaves%27Eyes,47.5166667,Pratteln,2010-04-01T20:00:00,01,43060,http://www.bandsintown.com/venue/43060,3491959,Z7,7.6833333,http://www.bandsintown.com/event/3491959?app_id=epfl
Kamelot,http://www.bandsintown.com/Kamelot,47.5666667,Basel,2010-04-01T20:00:00,04,747119,http://www.bandsintown.com/venue/747119,3002102,Konzertfabrik Z7,7.6,http://www.bandsintown.com/event/3002102?app_id=epfl
Lil' Jon & The East Side Boyz,http://www.bandsintown.com/Lil%27JonAndTheEastSideBoyz,47.375485,Zurich,2010-04-01T20:00:00,Switzerland,170005,http://www.bandsintown.com/venue/170005,3459069,Volkshaus,8.527116,http://www.bandsintown.com/event/3459069?app_id=epfl
Mir,http://www.bandsintown.com/Mir,47.5638072,Basel,2010-04-01T21:00:00,04,169941,http://www.bandsintown.com/venue/169941,3458868,Kaserne,7.5911254,http://www.bandsintown.com/event/3458868?app_id=epfl
Loco Dice,http://www.bandsintown.com/LocoDice,47.38562,Zurich,2010-04-01T23:00:00,ZH,340052,http://www.bandsintown.com/venue/340052,3465420,Supermarket,8.51966,http://www.bandsintown.com/event/3465420?app_id=epfl
Distorsion Festival,http://www.bandsintown.com/DistorsionFestival,46.781797,Cheseaux-Noréaz,2010-04-02T10:00:00,Switzerland,169999,http://www.bandsintown.com/venue/169999,3396249,Amalgame Club,6.67119,http://www.bandsintown.com/event/3396249?app_id=epfl
BACK INNA DAYS 5,http://www.bandsintown.com/BackInnaDays5,46.52087,Lausanne,2010-04-02T19:00:00,Etr,781376,http://www.bandsintown.com/venue/781376,3452990,D! CLUB,6.63175,http://www.bandsintown.com/event/3452990?app_id=epfl
De La Ghetto,http://www.bandsintown.com/DeLaGhetto,46.519595,Lausanne,2010-04-02T19:00:00,Switzerland,831586,http://www.bandsintown.com/venue/831586,3371586,AMNESIA,6.632335,http://www.bandsintown.com/event/3371586?app_id=epfl
FFYS,http://www.bandsintown.com/FFYS,46.519894,Lausanne,2010-04-02T19:00:00,Etr,794948,http://www.bandsintown.com/venue/794948,3452994,Le Romandie,6.632625,http://www.bandsintown.com/event/3452994?app_id=epfl
AMENTA,http://www.bandsintown.com/AMENTA,46.519894,Lausanne,2010-04-02T19:00:00,Etr,794948,http://www.bandsintown.com/venue/794948,3452994,Le Romandie,6.632625,http://www.bandsintown.com/event/3452994?app_id=epfl
ARTHUR H SOLO,http://www.bandsintown.com/ArthurHSolo,46.6166667,Bulle,2010-04-02T19:00:00,06,781478,http://www.bandsintown.com/venue/781478,3160224,Ebullition,7.0666667,http://www.bandsintown.com/event/3160224?app_id=epfl
Apparat,http://www.bandsintown.com/Apparat,46.2,Geneva,2010-04-02T23:00:00,07,836146,http://www.bandsintown.com/venue/836146,3411312,Elektron Festival,6.1666667,http://www.bandsintown.com/event/3411312?app_id=epfl
Who Cares,http://www.bandsintown.com/WhoCares,46.224322,Conthey,2010-04-02T19:00:00,Switzerland,334526,http://www.bandsintown.com/venue/334526,3409745,Nouveau Monde,7.298266,http://www.bandsintown.com/event/3409745?app_id=epfl
"""International Jazz Festival Bern""",http://www.bandsintown.com/%22internationalJazzFestivalBern%22,46.9166667,Bern,2010-04-02T19:00:00,05,815374,http://www.bandsintown.com/venue/815374,3298999,Int'l Jazz Festival Bern Festival Grounds,7.4666667,http://www.bandsintown.com/event/3298999?app_id=epfl
Marcia Ball,http://www.bandsintown.com/MarciaBall,46.9166667,Bern,2010-04-02T19:00:00,05,815374,http://www.bandsintown.com/venue/815374,3298999,Int'l Jazz Festival Bern Festival Grounds,7.4666667,http://www.bandsintown.com/event/3298999?app_id=epfl
(həd) p.e.,http://www.bandsintown.com/%28h%C9%99d%29P.e.,46.948429,Berne,2010-04-02T20:00:00,Switzerland,821744,http://www.bandsintown.com/venue/821744,3332638,Coupole/Gaskessel,7.44046,http://www.bandsintown.com/event/3332638?app_id=epfl
Threat Signal,http://www.bandsintown.com/ThreatSignal,46.948429,Berne,2010-04-02T20:00:00,Switzerland,821744,http://www.bandsintown.com/venue/821744,3332638,Coupole/Gaskessel,7.44046,http://www.bandsintown.com/event/3332638?app_id=epfl
Attila,http://www.bandsintown.com/Attila,46.948429,Berne,2010-04-02T20:00:00,Switzerland,821744,http://www.bandsintown.com/venue/821744,3332638,Coupole/Gaskessel,7.44046,http://www.bandsintown.com/event/3332638?app_id=epfl
