artist_name,artist_url,event_venue.longitude,event_url,event_venue.region,event_datetime,event_venue.id,event_venue.url,event_venue.latitude,event_venue.name,event_id,event_venue.city
Groombridge,http://www.bandsintown.com/Groombridge,9.0680599,http://www.bandsintown.com/event/6875012?app_id=epfl,,2007-05-03T22:00:00,1907850,http://www.bandsintown.com/venue/1907850,47.0399513,Holästei ,6875012,Glarus
Ian Carey,http://www.bandsintown.com/IanCarey,7.6,http://www.bandsintown.com/event/361877?app_id=epfl,04,2007-05-04T20:00:00,119772,http://www.bandsintown.com/venue/119772,47.5666667,Bar Rouge,361877,Basel
Cat Power & Dirty Delta Blues,http://www.bandsintown.com/CatPowerAndDirtyDeltaBlues,8.2666667,http://www.bandsintown.com/event/464496?app_id=epfl,11,2007-05-05T00:00:00,119671,http://www.bandsintown.com/venue/119671,47.0833333,boa kulturzentrum,464496,Lucerne
Ian Carey,http://www.bandsintown.com/IanCarey,8.2666667,http://www.bandsintown.com/event/361878?app_id=epfl,11,2007-05-05T20:00:00,227670,http://www.bandsintown.com/venue/227670,47.0833333,Der Froschknig,361878,Luzern
Groombridge,http://www.bandsintown.com/Groombridge,7.7951999,http://www.bandsintown.com/event/6875018?app_id=epfl,,2007-05-05T22:00:00,1907852,http://www.bandsintown.com/venue/1907852,47.0452995,Alpenrock ,6875018,Wasen
Bleubird,http://www.bandsintown.com/Bleubird,6.136453,http://www.bandsintown.com/event/361696?app_id=epfl,Geneva,2007-05-06T08:00:00,119670,http://www.bandsintown.com/venue/119670,46.203938,L'Usine / PTR,361696,Geneva
Dizzy Gillespie All Star Big Band,http://www.bandsintown.com/DizzyGillespieAllStarBigBand,6.141799,http://www.bandsintown.com/event/464471?app_id=epfl,Etr,2007-05-07T00:00:00,169960,http://www.bandsintown.com/venue/169960,46.2012,VICTORIA HALL,464471,Geneve
Faster Pussycat,http://www.bandsintown.com/FasterPussycat,8.751285,http://www.bandsintown.com/event/464564?app_id=epfl,Switzerland,2007-05-07T00:00:00,106464,http://www.bandsintown.com/venue/106464,47.34108,Rock City,464564,Uster
Enuff Z'Nuff,http://www.bandsintown.com/EnuffZ%27nuff,8.751285,http://www.bandsintown.com/event/464564?app_id=epfl,Switzerland,2007-05-07T00:00:00,106464,http://www.bandsintown.com/venue/106464,47.34108,Rock City,464564,Uster
BulletBoys,http://www.bandsintown.com/BulletBoys,8.751285,http://www.bandsintown.com/event/464564?app_id=epfl,Switzerland,2007-05-07T00:00:00,106464,http://www.bandsintown.com/venue/106464,47.34108,Rock City,464564,Uster
Gypsy Pistoleros,http://www.bandsintown.com/GypsyPistoleros,8.751285,http://www.bandsintown.com/event/464564?app_id=epfl,Switzerland,2007-05-07T00:00:00,106464,http://www.bandsintown.com/venue/106464,47.34108,Rock City,464564,Uster
Ahmad Jamal,http://www.bandsintown.com/AhmadJamal,7.4666667,http://www.bandsintown.com/event/464449?app_id=epfl,05,2007-05-08T00:00:00,169946,http://www.bandsintown.com/venue/169946,46.9166667,Marion's Jazzroom,464449,Bern
Magnum,http://www.bandsintown.com/Magnum,7.6833333,http://www.bandsintown.com/event/464544?app_id=epfl,01,2007-05-08T00:00:00,43060,http://www.bandsintown.com/venue/43060,47.5166667,Z7,464544,Pratteln
Joe Jackson,http://www.bandsintown.com/JoeJackson,8.536468,http://www.bandsintown.com/event/464579?app_id=epfl,Switzerland,2007-05-08T00:00:00,44952,http://www.bandsintown.com/venue/44952,47.371722,Kaufleuten,464579,Zurich
Ahmad Jamal,http://www.bandsintown.com/AhmadJamal,7.4666667,http://www.bandsintown.com/event/464450?app_id=epfl,05,2007-05-09T00:00:00,169946,http://www.bandsintown.com/venue/169946,46.9166667,Marion's Jazzroom,464450,Bern
Groombridge,http://www.bandsintown.com/Groombridge,7.451958,http://www.bandsintown.com/event/6875025?app_id=epfl,BE,2007-05-09T21:00:00,900275,http://www.bandsintown.com/venue/900275,46.948083,Ono,6875025,Berne
L.A. Guns,http://www.bandsintown.com/L.a.Guns,7.6833333,http://www.bandsintown.com/event/464545?app_id=epfl,01,2007-05-09T00:00:00,43060,http://www.bandsintown.com/venue/43060,47.5166667,Z7,464545,Pratteln
Beyonce,http://www.bandsintown.com/Beyonce,8.552307,http://www.bandsintown.com/event/464580?app_id=epfl,25,2007-05-09T00:00:00,170002,http://www.bandsintown.com/venue/170002,47.410675,Hallenstadion,464580,Zurich
Bloc Party,http://www.bandsintown.com/BlocParty,6.629119,http://www.bandsintown.com/event/464487?app_id=epfl,Etr,2007-05-10T00:00:00,11820,http://www.bandsintown.com/venue/11820,46.522243,SALLE METROPOLE,464487,Lausanne
Mochipet,http://www.bandsintown.com/Mochipet,6.62747,http://www.bandsintown.com/event/353159?app_id=epfl,VD,2007-05-10T20:00:00,222424,http://www.bandsintown.com/venue/222424,46.5239792,La Ruche,353159,Lausanne
Ahmad Jamal,http://www.bandsintown.com/AhmadJamal,7.4666667,http://www.bandsintown.com/event/464451?app_id=epfl,05,2007-05-10T00:00:00,169946,http://www.bandsintown.com/venue/169946,46.9166667,Marion's Jazzroom,464451,Bern
Ten Years After,http://www.bandsintown.com/TenYearsAfter,7.6833333,http://www.bandsintown.com/event/464546?app_id=epfl,01,2007-05-10T00:00:00,43060,http://www.bandsintown.com/venue/43060,47.5166667,Z7,464546,Pratteln
Deep Purple,http://www.bandsintown.com/DeepPurple,8.552307,http://www.bandsintown.com/event/464581?app_id=epfl,25,2007-05-10T00:00:00,170002,http://www.bandsintown.com/venue/170002,47.410675,Hallenstadion,464581,Zurich
Pepper,http://www.bandsintown.com/Pepper,8.70794,http://www.bandsintown.com/event/278868?app_id=epfl,Switzerland,2007-05-10T08:00:00,45985,http://www.bandsintown.com/venue/45985,47.494678,Gaswerk,278868,Winterthur
Mad Caddies,http://www.bandsintown.com/MadCaddies,8.70794,http://www.bandsintown.com/event/278868?app_id=epfl,Switzerland,2007-05-10T08:00:00,45985,http://www.bandsintown.com/venue/45985,47.494678,Gaswerk,278868,Winterthur
