Artist,Date,Genre,Venue,City
"DJs Patric Pleasure, Ramon Ramones",2017-01-20,"Hip Hop, R'n'B",Balz, Basel
"Bülent Ceylan (DE), Raffi Lusso, Miguel M",2017-01-19,"Ragga, Reggae, African Music, Dancehall",Vior Club, Zürich
"Nicole Johänntgen, Laurent Coulondre, Nicole Johänntgen (sax), René Mosele (tb), Jörgen Welander (tb), Laurent Coulondre (key), Lucas Saint (sax) u. a.",2017-01-19,"Jazz, Blues, Soul",Moods, Zürich
"Kool Savas (D), Vega & Bosca (D)",2017-01-19,"Hip Hop, R'n'B",Kaserne, Basel
"Menic And The Bruncrana Firecrackers, Menic (voc), Jürg Frey (bjo, concertina, voc), David Brühlmann (acc), Tevfik Kujas (b)",2017-01-19,"Rock, Indie, Punk, Heavy Metal, Gothic",Mahogany Hall, Bern
Charles Davis & Captured Moments,2017-01-19,"Jazz, Blues, Soul",Esse Musicbar, Winterthur
Tin Soldiers,2017-01-19,"Rock, Indie, Punk, Heavy Metal, Gothic",Eisenwerk, Frauenfeld
Anna Mae,2017-01-19,"Rock, Indie, Punk, Heavy Metal, Gothic",Seminar Hotel, Unterägeri
"Gigi Moto, Gigi Moto (voc), JP von Dach (g)",2017-01-19,"Hip Hop, R'n'B",Lebewohlfabrik, Zürich
"Michel Wyss (voc), Ali Salvioni (perc), Mischa Podstransky (key)",2017-01-18,Pop,Ono - Das Kulturlokal, Bern
"Trio B.A.B & Hans Gysi, Alfred Zimmerlin (cello), Bruno Huwyler (dr), Birgit Hauser (voc), Texte von Hans Gysi",2017-01-18,"Jazz, Blues, Soul",Villa Sträuli, Winterthur
"DJs Urbano, Jose Luis, Panthera",2017-01-18,"Ragga, Reggae, African Music, Dancehall",Bar 59, Luzern
DJ Theo,2017-01-18,"Ragga, Reggae, African Music, Dancehall",Madeleine, Luzern
"Die Singphoniker, Sinfonie Orchester Biel Solothurn, Stephanie Friede (S), Leitung: Lawrence Foster, Werke von Strauss, Haydn, 5. Sinfoniekonzert",2017-01-18,Classic,Kongresshaus/Palais des Congrès,
"Luzerner Sinfonieorchester, Jana Bouskova (Harfe), Leitung: Pinchas Steinberg, Werke von Kabalewski, Glière, Tschaikowsky",2017-01-18,Classic,KKL, Luzern
"Sinfonieorchester Basel, Kian Soltani (Vc), Leitung: Simon Gaudenz, Werke von Dvorak, Mendelssohn",2017-01-18,Classic,Musical Theater Basel,
"Sarclo fait l'Dylan, Sarcloret (voc, g)",2017-01-17,"Rock, Indie, Punk, Heavy Metal, Gothic",Keller 62, Zürich
DJ Aystep,2017-01-17,"Hip Hop, R'n'B",Club Flamingo, Zürich
"Werke von Haydn, Ignaz Pleyel, Mozart",2017-01-17,Classic,Oekolampad, Basel
"Orchestra Filarmonica della Fenice, Vesselina Kasarova (Mezzo-S), Leitung: John Neschling, Werke von Rossini, R. Wagner, Rachmaninow",2017-01-17,Classic,Tonhalle, Zürich
"Urte Lucht (Cemb), Werke von Anglebert, Bach, Couperin u. a., Rezitation und Tanz: Stephan Mester",2017-01-17,Classic,ETH Semper-Aula, Zürich
Mit Bachata- & Kizomba-Workshops,2017-01-17,"Ragga, Reggae, African Music, Dancehall",Escherwyss, Zürich
"Orchestra Filarmonica Della Fenice, Vesselina Kasarova (Mezzo-S),, Leitung: John Neschling, Werke von Gioacchino Rossini, Richard Wagner, Sergei Rachmaninow",2017-01-16,Classic,KKL, Luzern
"Philharmonisches Kammerorchester Berlin, Leitung: Kirill Troussov (V), Werke von Vivaldi, Astor Piazzolla",2017-01-15,Classic,Tonhalle, Zürich
"Berner Jubilate Chor, Bach Collegium Bern, Maria C. Schmid (S), Barbara Erni (A), Rolf Romei (T), Dominik Wörner (B), Leitung: Josef Zaugg, Werke von Mendelssohn Bartholdy",2017-01-15,Classic,Kultur-Casino, Bern
"Jugend-Sinfonieorchester Aargau, Alexander Boldachev (Harfe), Werke von Werner Wehrli, Reinhold Glière, Beethoven",2017-01-15,Classic,Kultur & Kongresshaus, Aarau
"DJs Momo, Alex Terry",2017-01-15,"Hip Hop, R'n'B",Club Flamingo, Zürich
"DJ Kenjiro & Grimm, ab 21 Jahren",2017-01-15,"Hip Hop, R'n'B",Du Théâtre, Bern
"DJs Undreey, Force, Nightshift",2017-01-15,"Hip Hop, R'n'B",Moods, Zürich
Joo Joo Eye Ball,2017-01-15,"Rock, Indie, Punk, Heavy Metal, Gothic",MZH Oberscherli, Niederscherli
Real Rock Sound,2017-01-15,"Ragga, Reggae, African Music, Dancehall",Kraftfeld, Winterthur
DJ Mr. Tomatoo with King Gin & Duke Luke,2017-01-15,"Hip Hop, R'n'B",ISC Club, Bern
"DJs K-Rim, Pfund 500, Sweap, Big Boys, ab 20 Jahren, hosted by MC D Law",2017-01-15,"Hip Hop, R'n'B",Mascotte, Zürich
"Live: XV Kilist & Rocco, DJs Frisk & Index, Artemiss, M&D Babes, Alison",2017-01-15,"Rock, Indie, Punk, Heavy Metal, Gothic",Alte Kaserne, Zürich
"DJs Certified, Croma, Curtis Bleu",2017-01-15,"Hip Hop, R'n'B",Kanzlei, Zürich
"Simon Baumann & Fabian Kalker, Simon Baumann (electr), Fabian Kalker (electr)",2017-01-14,"Jazz, Blues, Soul",Orbital Garden, Bern
Superterz,2017-01-14,"Jazz, Blues, Soul",Photobastei, Zürich
"Dick Laurent, Pyrolyzed, Mantra",2017-01-14,"Rock, Indie, Punk, Heavy Metal, Gothic",Wallstreet Bar, Zürich
Naked in English Class,2017-01-14,"Jazz, Blues, Soul",Mars Bar, Zürich
"Film Hot Sugars Cold World (USA, 2015), live: J.G. Biberkopf, Dope Saint Jude, Dis Fig",2017-01-14,Electronic,Palace, Sankt Gallen
"Ronny Graupe's Spoom, Ronny Graupe (g), Jonas Westergaard (b), Christian Lillinger (dr), auch um 21.45 Uhr",2017-01-14,"Jazz, Blues, Soul",The Bird's Eye Jazz Club, Basel
"Silverblue (Plattentaufe), Invivas, DJ Franky Stache",2017-01-14,Pop,KiFF, Aarau
"F.O.R.M., Ørefik",2017-01-14,"Rock, Indie, Punk, Heavy Metal, Gothic",Rockfact Music Club, Münchenstein
"Basler Uni-Orchester, Leitung: Olga Pavlu, Werke von Mussorgski, Zoltán Kodály, Tchaikowski",2017-01-14,Classic,Martinskirche, Basel
DJ Gusto Brown,2017-01-14,"Rock, Indie, Punk, Heavy Metal, Gothic",Stanzerei, Baden
"Driving Force, Hair Dryer",2017-01-14,"Rock, Indie, Punk, Heavy Metal, Gothic",Mundwerk, Zürich
"Elina Duni (voc, g, p, perc), Das Festival des jungen und aktuellen Schweizer Jazz",2017-01-14,"Jazz, Blues, Soul",Turnhalle im Progr, Bern
"Sol Gabetta (Vc), Hélène Grimaud (Kl), Werke von Schumann, Debussy, Brahms",2017-01-14,Classic,KKL, Luzern
"Wiener Opernball Orchester, Elisabeth Flechl (S), Carsten Süss (T), Leitung: Andreas Spörri, Werke von Strauss, Kalman, Suppé, Moderation: Kilian Rosenberg",2017-01-14,Classic,Kultur-Casino, Bern
Supremus DJs,2017-01-14,"Hip Hop, R'n'B",Parterre One, Basel
DJ Ma B & Cisc,2017-01-14,"Hip Hop, R'n'B",ISC Club, Bern
Bluez Ballz,2017-01-13,"Rock, Indie, Punk, Heavy Metal, Gothic",Musigbar, Grenchen
"Ace in Sleeve, DJ Höllehond",2017-01-13,"Rock, Indie, Punk, Heavy Metal, Gothic",The Bruch Brothers, Luzern
Superterz,2017-01-13,"Jazz, Blues, Soul",Photobastei, Zürich
El Ritschi,2017-01-13,Pop,KreuzKultur, Solothurn
"Trio Accanto, Markus Weiss (Sax), Nicolas Hodges (Kl), Christian Dierstein (Schlagz)",2017-01-13,Classic,Kunstraum Walcheturm, Zürich
"Isaak (I), The Clamps (I)",2017-01-13,"Rock, Indie, Punk, Heavy Metal, Gothic",Gaswerk, Winterthur
Noisy Minority,2017-01-13,Pop,Café und Weinbar zum Hut, Uster
Musikgesellschaft Konkordia Mels,2017-01-13,Classic,Tamina Therme, Bad Ragaz
Streetwise Supercat,2017-01-13,"Hip Hop, R'n'B",Alte Fabrik,
"Kata Bucher, Tanja Dankner, Tobias Carshey u. a., Text: Daniel Rohr & Susanna Taverna",2017-01-13,Pop,Theater Rigiblick, Zürich
Unduzo (D),2017-01-13,Pop,Theater Fauteuil, Basel
"Markus Schwenkreis (Org), Werke von Bach",2017-01-13,Classic,Leonhardskirche, Basel
Leon,2017-01-13,Pop,Hotel Atlantis, Zürich
"Arkona (PL), Batushka (PL), Black Messiah (D), Finntroll (FIN), Hedera",2017-01-13,"Rock, Indie, Punk, Heavy Metal, Gothic",Dynamo, Zürich
DJ Samuel,2017-01-12,"Ragga, Reggae, African Music, Dancehall",Schüür, Luzern
Kurt Lauer Jazz Trio,2017-01-12,"Jazz, Blues, Soul",Hotel Six, Kreuzlingen
Acapulco Stage Divers,2017-01-12,Pop,La Catrina, Zürich
"Stephan Urwyler, Stephan Urwyler (g, voc), Dä Det (p, hp), Daniel Schärer (b), Benjamin Schärer (dr)",2017-01-12,"Jazz, Blues, Soul",Mundwerk Thun, Thun
"Vera Baumann (voc), Maximilian Möst (euph), Jérôme Müller (euph), Annina Schnyder (hr), Workshop-Konzerte Jazz",2017-01-12,"Jazz, Blues, Soul",Jazzkantine, Luzern
Anna Mae,2017-01-12,"Rock, Indie, Punk, Heavy Metal, Gothic",Madeleine, Luzern
"Jugend-Sinfonieorchester Aargau, Alexander Boldachev (Harfe), Werke von Werner Wehrli, Reinhold Glière, Beethoven",2017-01-12,Classic,Kirche St. Peter, Zürich
"Simon Boss (g), Claudio Berger (b), Nici Struchen (dr)",2017-01-11,"Hip Hop, R'n'B",Bar 59, Luzern
DJ Theo,2017-01-11,"Ragga, Reggae, African Music, Dancehall",Madeleine, Luzern
"Shorena Tsintsabadze (Kl), Werke von Chopin, Rachmaninoff, Scarlatti, Schumann, Skrjabin",2017-01-10,Classic,Volkshaus Basel, Basel
Mit Bachata- & Kizomba-Workshops,2017-01-10,"Ragga, Reggae, African Music, Dancehall",Escherwyss, Zürich
"J.A. Bötticher (Cemb), J. Sprosse (p)",2017-01-09,Classic,Bischofshof, Basel
"Orchester der Staatlichen Philharmonie Transilvania, Silke Gäng (Mezzo-S), Paul Sîrbu (V), Gabriel Gyarmati (Trp), Leitung: Giovanni Bria, Werke von Corelli, Torelli, Händel, Bach",2017-01-09,Classic,Ref. Kirche Enge, Zürich
"Duo Praxedis, Werke von Bellini, Rossini, Thüring Bräm, Donizetti",2017-01-09,Classic,Rathaussaal, Weinfelden
"DJ Tiago & El Nino, ab 18 Jahren",2017-01-09,"Hip Hop, R'n'B",El Cartel, Luzern
"I Virtuosi di Milano, D. Moos (Kl, Moderation), E. Tanaka (S), E. Miletti (T), E. Kim (Bar), F. Rossi (Fl), G. Sanvito (Ob), C. Hauri (Vc), Leitung: Daniel Moos, Werke von Rossini, Donizetti, Puccini, Verdi u. a.",2017-01-08,Classic,Zentrum Oberwis, Seuzach
"Christoph Croisé (Vc), Oxana Shevchenko (Kl), Werke von Brahms, Paganini, Schubert, Rodion Schtschedrin",2017-01-08,Classic,Schulanlage Falter, Oberwil-Lieli
"Sinfonieorchester Tifico, Cécile Grüebler (Vc),, Leitung: Christof Brunner",2017-01-08,Classic,Pauluskirche, Zürich
"Kammerton-Quartett, Mani Matter und Schweizer Volkslieder",2017-01-08,Pop,Ref. Kirche, Rafz
"Abendmusiken Basel, Miriam Feuersinger, Jan Börner, Gerd Türk, Markus Flaig, Leitung: Jörg-Andreas Bötticher, Werke von Lodovico Viadana",2017-01-08,Classic,Predigerkirche, Basel
DJ Assane,2017-01-08,"Ragga, Reggae, African Music, Dancehall",Bar Rouge, Basel
"Tonhalle-Orchester Zürich, Daniil Trifonov (Kl), Leitung: Kent Nagano, Werke von Beethoven, Olivier Messiaen, Einführung mit Ulrike Thiele um 16 Uhr",2017-01-08,Classic,Tonhalle, Zürich
"Florian Schneider, Sänger und Liederschreiber, mit Adam Taubitz, Meistergeiger",2017-01-08,"Rock, Indie, Punk, Heavy Metal, Gothic",Kirche Maisprach, Maisprach
Tigershead,2017-01-08,Pop,Stall 6, Zürich
"Ensemble Anagamin Basel, Werke von Berio, Ravel, Giacinto Scelsi u. a.",2017-01-08,Classic,Gare du Nord, Basel
"Christina Brabetz (V), Nicolai Gerassimez (Kl), Werke von Joachim, Beethoven, Franck, Ravel",2017-01-08,Classic,Burghof Lörrach,
"Teeth'n'Tongue (GR), DJs The Scorcher, Rootation",2017-01-08,"Hip Hop, R'n'B",Reitschule, Bern
"DJs Laslow, MK, Leandro &amp; Co",2017-01-08,"Hip Hop, R'n'B",Grand Casino Luzern, Luzern
K.O.S Crew,2017-01-08,"Hip Hop, R'n'B",Moods, Zürich
Superterz,2017-01-07,"Jazz, Blues, Soul",Photobastei, Zürich
"Möchtegang, support: Chris Bluemoon & Die Banausen",2017-01-07,"Rock, Indie, Punk, Heavy Metal, Gothic",Grabenhalle,
The Lovejoys,2017-01-07,"Rock, Indie, Punk, Heavy Metal, Gothic",Helsinki, Zürich
"The Boys You Know (A), OGMH",2017-01-07,"Rock, Indie, Punk, Heavy Metal, Gothic",Kulturladen,
"Zeus (I), Zaperlipopette",2017-01-07,"Rock, Indie, Punk, Heavy Metal, Gothic",Gaswerk, Winterthur
DJ Scharlachmaria,2017-01-07,Pop,Café Bar Nordbrücke, Zürich
"Tuliaisia, Marianne Racine-Granvik (voc), Vera Kappeler (org, p)",2017-01-07,Pop,Kulturraum Thalwil, Thalwil
"Otmar Musik St. Gallen, Maja Bösch (Org), Leitung: Stefan Christinger",2017-01-07,Classic,Kirche St. Maria Neudorf,
"RHCP, Soul in motion, TPATC, 29 Pop Workshop, MissGrousiii, 29 and Beyond",2017-01-07,Pop,Rockfact Music Club, Münchenstein
Pink Pedrazzi,2017-01-07,Pop,Kulturhotel Guggenheim, Liestal
"DJs Mr. Ho (HKG), Manuel Fischer, Jimi Jules",2017-01-07,"Rock, Indie, Punk, Heavy Metal, Gothic",Zukunft, Zürich
"DJs Double Dice, Black M",2017-01-06,"Hip Hop, R'n'B",Vior Club, Zürich
DJ Grillmaster W,2017-01-06,"Rock, Indie, Punk, Heavy Metal, Gothic",Big Ben Westside, Zürich
DJ Dr Jones,2017-01-06,"Hip Hop, R'n'B",Madeleine, Luzern
"DJs Theo, Jose Luis",2017-01-06,"Ragga, Reggae, African Music, Dancehall",Grand Casino Luzern, Luzern
DJ High Fi,2017-01-06,"Hip Hop, R'n'B",Propeller-Bar, Bern
DJ Irie Shottaz,2017-01-06,"Hip Hop, R'n'B",Cargo Bar, Basel
Boris Pilleri's Jammin,2017-01-06,"Hip Hop, R'n'B",Baronessa, Lenzburg
Bondaa,2017-01-06,"Hip Hop, R'n'B",Mahogany Hall, Bern
Hendrix Cousins,2017-01-06,"Jazz, Blues, Soul",Kammgarn, Schaffhausen
Müslüm & Band,2017-01-06,Pop,Kulturfabrik Kofmehl, Solothurn
"Duo Praxedis, Werke von Werke von T. Kirchner, A. Zimmerlin, Th. Bräm",2017-01-06,Classic,Jecklin, Zürich
Gone Hepsville,2017-01-05,"Rock, Indie, Punk, Heavy Metal, Gothic",Pitschna Scena, Pontresina
"DJs Steve Supreme, Costa, Intresst, ab 21 Jahren, hosted by MC D Law",2017-01-05,"Hip Hop, R'n'B",Mascotte, Zürich
"Pezzo Acoustic, DJ Metal Heart",2017-01-05,"Rock, Indie, Punk, Heavy Metal, Gothic",The Bruch Brothers, Luzern
Superterz,2017-01-05,"Jazz, Blues, Soul",Photobastei, Zürich
DJ EKR,2017-01-05,"Hip Hop, R'n'B",Gonzo, Zürich
DJ Manuel,2017-01-04,"Ragga, Reggae, African Music, Dancehall",Vior Club, Zürich
Superterz,2017-01-04,"Jazz, Blues, Soul",Photobastei, Zürich
"Imperio (CD-Taufe), support: Deconvolution & No Kings No Slave",2017-01-04,"Rock, Indie, Punk, Heavy Metal, Gothic",The Bruch Brothers, Luzern
Phil Hayes & The Trees,2017-01-04,Pop,Grabenhalle,
"DJs Urbano, Jose Luis, Panthera",2017-01-04,"Ragga, Reggae, African Music, Dancehall",Bar 59, Luzern
"Werke von Rinck, Dubois, Bach",2017-01-04,Classic,Offene Kirche Elisabethen, Basel
"Musikkollegium Winterthur, Mona Asuka (Kl), Leitung: Thomas Zehetmair, Werke von Wagner, Liszt, Beethoven",2017-01-04,Classic,Stadthaus, Winterthur
DJ Don Luca,2017-01-02,"Hip Hop, R'n'B",Roadhouse, Luzern
Superterz,2017-01-02,"Jazz, Blues, Soul",Photobastei, Zürich
"Live: Patricia Nora (ARG), mit literarischen Intermezzi und Schnupperkurs ab 19 Uhr",2017-01-02,"Ragga, Reggae, African Music, Dancehall",Kaufleuten, Zürich
"Volker Biesenbender, Die Werke für Violine solo von Bach und Paganini",2017-01-02,Classic,Alte Rumfabrik Coruba, Basel
"Nik Bärtsch's Ronin, Joel Gilardini",2017-01-02,"Hip Hop, R'n'B",Exil, Zürich
"Raw Vision, Christoph Grab (sax), Ronny Graupe (g), Thomas Lüscher (p, acc), Lukas Traxel (b), Maxime Paratte (dr)",2017-01-02,"Jazz, Blues, Soul",Labor, Zürich
"Sinfonie Orchester Biel Solothurn, Christine Buffle (S), Niclas Oettermann (T), Leitung: Kaspar Zehnder, Werke von Strauss, Heuberger, Komzák, Neujahrskonzert",2017-01-02,Classic,Konzertsaal, Solothurn
"Luzerner Sinfonieorchester, Leitung: Steven Isserlis, Werke von Hummel, Boccherini, Bach u.a.",2017-01-02,Classic,KKL, Luzern
Superterz,2017-01-01,"Jazz, Blues, Soul",Photobastei, Zürich
Seniorenorchester Luzern,2017-01-01,Classic,Luzerner Theater, Luzern
"DJs Ali Baba Sound System, K.O.S Crew",2017-01-01,"Hip Hop, R'n'B",Moods, Zürich
"Gregor Ehrsam (Org), Werke von Bach, Vierne, Gigout",2017-01-01,Classic,Liebfrauenkirche, Zürich
"Karaoke Till Death (D), support: Walking with Ghosts, The Vicos",2016-12-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Grabenhalle,
"Fusion Square Garden, Morò Mauro Corchia (voc, g), Mättu Urech (g), Dominique Montandon (key), Marcel Suk (b), Gianni Lanzilotti (dr), Roland Wäger (perc)",2016-12-31,"Hip Hop, R'n'B",Moods, Zürich
"Les Voda & Dave Phillips, DJ Member-Berries",2016-12-31,Pop,El Lokal, Zürich
"DJs Ecko, Spino, Robin Tune, ab 18 Jahren",2016-12-31,"Hip Hop, R'n'B",Fabric, Zug
"DJs Tomahawk, Selecta Iray, Rising Fyah, Jahcriss u.a.",2016-12-31,"Hip Hop, R'n'B",Industrie 45, Zug
Silvester Big Bash Davos,2016-12-31,"Ragga, Reggae, African Music, Dancehall",Meylenstein Bar & Lounge, Zürich
"Live: Jose De Rico, Loco Escrito, ca. 40 DJs, Zimmer by Muevete & Pepe-J, Klub by Monkey Groove",2016-12-31,"Ragga, Reggae, African Music, Dancehall",Komplex 457, Zürich
DJ Troja,2016-12-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Schlagertempel, Kirchberg
"Sleeping Sun, Motörblast, 667, The Neighbour of the Beast, Sad, Living Theory",2016-12-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Z7, Pratteln
DJ Thomas,2016-12-31,"Ragga, Reggae, African Music, Dancehall",Villa Loca Restaurant & Bar,
Big Bang Bingo Showcase,2016-12-31,Electronic,Tibits / NZZ Bistro, Zürich
"Musikkollegium Winterthur, Laura Aikin (S), Leitung: Thomas Zehetmair (V), Werke von Schubert, Strauss (Sohn), J. Strauss, Lehár",2016-12-31,Classic,Stadthaus, Winterthur
"Jimi Jules, DJ Adrian Bergmann",2016-12-31,Electronic,Kapitel Bollwerk, Bern
Ab 16 Jahren,2016-12-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Kulturfabrik Kofmehl, Solothurn
DJ Lucky G.,2016-12-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Bleu Lezard, Lausanne
"DJs Big Boys, Flexstreetboys, Curtis Bleu, Delakeyz, MDMO",2016-12-31,"Hip Hop, R'n'B",Kiste, Baden
DJ Romeo (CUB),2016-12-30,"Ragga, Reggae, African Music, Dancehall",Seerestaurant, Rorschach
DJ Grillmaster W,2016-12-30,"Rock, Indie, Punk, Heavy Metal, Gothic",Big Ben Westside, Zürich
DJ Skoob,2016-12-30,"Hip Hop, R'n'B",Propeller-Bar, Bern
