club_adress,club_name,date,artiste
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Sat, 19 Sep 2015",Affani
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Sat, 19 Sep 2015",Mark Faermont
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Sat, 12 Sep 2015",Mucho Stylez
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Fri, 3 Jul 2015",Mucho Stylez
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Sat, 13 Jun 2015",Mucho Stylez
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Sat, 21 Mar 2015",Mark Faermont
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Sat, 17 Jan 2015",Carlos Russo
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Sat, 17 Jan 2015",Mark Faermont
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Sat, 29 Nov 2014",Tonka
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Sat, 29 Nov 2014",Mark Faermont
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Sat, 18 Oct 2014",Carlos Russo
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Sat, 18 Oct 2014",David Eye
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Sat, 2 Aug 2014",Niall Redmond
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Sat, 2 Aug 2014",Mark Faermont
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Sat, 18 Jan 2014",Mark Faermont
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Sat, 18 Jan 2014",DJ Le Baron
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Sat, 21 Dec 2013",Niall Redmond
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Sat, 10 Aug 2013",Anek
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Sat, 10 Aug 2013",Mark Faermont
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Sat, 10 Aug 2013",DJ Le Baron
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Sat, 20 Jul 2013",Mark Faermont
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Sat, 16 Mar 2013",Mark Faermont
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Sat, 24 Nov 2012",Mark Faermont
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Sat, 3 Dec 2011",Namito
Selnaustrasse 2, 2. Akt Restaurant & Bar,"Sat, 3 Dec 2011",Juzz
"Pfingstweidstrasse 102, 8005 Zürich", 25 Hours Hotel Zürich,"Fri, 26 Jun 2015",Guti
"Pfingstweidstrasse 102, 8005 Zürich", 25 Hours Hotel Zürich,"Sun, 3 Nov 2013",Benja
"Pfingstweidstrasse 102, 8005 Zürich", 25 Hours Hotel Zürich,"Sun, 3 Nov 2013",Reto Ardour
"Pfingstweidstrasse 102, 8005 Zürich", 25 Hours Hotel Zürich,"Sun, 3 Nov 2013",Pazkal
"Pfingstweidstrasse 102, 8005 Zürich", 25 Hours Hotel Zürich,"Sun, 3 Nov 2013",Juen & Bach
"Pfingstweidstrasse 102, 8005 Zürich", 25 Hours Hotel Zürich,"Sun, 3 Nov 2013",Timoteo
"Pfingstweidstrasse 102, 8005 Zürich", 25 Hours Hotel Zürich,"Sun, 3 Nov 2013",Renato Broccini
"Nüschelerstrasse 31, 8001 Zürich", 2B Lounge,"Sun, 31 Jan 2010",Findling
"Nüschelerstrasse 31, 8001 Zürich", 2B Lounge,"Sun, 31 Jan 2010",Beda
"Nüschelerstrasse 31, 8001 Zürich", 2B Lounge,"Sun, 31 Jan 2010",Wandler
"Nüschelerstrasse 31, 8001 Zürich", 2B Lounge,"Sun, 31 Jan 2010",Andri
"Nüschelerstrasse 31, 8001 Zürich", 2B Lounge,"Sun, 10 Jan 2010",BVoice
"Nüschelerstrasse 31, 8001 Zürich", 2B Lounge,"Sun, 10 Jan 2010",Findling
"Alexander-Schönistrasse 17, 2502, Biel/Bienne", 3monkeys,"Sun, 30 Nov 2014",Jamahr
"Alexander-Schönistrasse 17, 2502, Biel/Bienne", 3monkeys,"Sun, 30 Nov 2014",Franko Lopez
"Alexander-Schönistrasse 17, 2502, Biel/Bienne", 3monkeys,"Sun, 2 Nov 2014",Sandro Kuhne
"Alexander-Schönistrasse 17, 2502, Biel/Bienne", 3monkeys,"Sun, 26 Oct 2014",Nekow
"Alexander-Schönistrasse 17, 2502, Biel/Bienne", 3monkeys,"Sun, 1 Dec 2013",Sandro Kühne
"Alexander-Schönistrasse 17, 2502, Biel/Bienne", 3monkeys,"Sun, 1 Dec 2013",Giusy S
"Heinrichstrasse 262, 8005 Zürich", 4. Akt,"Thu, 12 Sep 2013",Beda
"Mühlenplatz 11, Bern", 5ème Etage,"Sun, 23 Dec 2012",Nader
"Mühlenplatz 11, Bern", 5ème Etage,"Sun, 23 Dec 2012",Dread J
"Mühlenplatz 11, Bern", 5ème Etage,"Sun, 23 Dec 2012",Rico Rausch
"Mühlenplatz 11, Bern", 5ème Etage,"Sun, 23 Dec 2012",Luca de Grandis
"Mühlenplatz 11, Bern", 5ème Etage,"Sun, 23 Dec 2012",Hanzbeater
"Mühlenplatz 11, Bern", 5ème Etage,"Sat, 1 Dec 2012",Dilo
"Mühlenplatz 11, Bern", 5ème Etage,"Sat, 1 Dec 2012",Christoph Woerner
"Mühlenplatz 11, Bern", 5ème Etage,"Sun, 22 Apr 2012",Jon Donson
"Mühlenplatz 11, Bern", 5ème Etage,"Fri, 10 Sep 2010",Jon Donson
"Chemin du Stand 5; Pully, 1009", Abraxas,"Sat, 12 Nov 2011",The Cruzaders
"Chemin du Stand 5; Pully, 1009", Abraxas,"Fri, 4 Feb 2011",The Cruzaders
"Chemin du Stand 5; Pully, 1009", Abraxas,"Fri, 3 Sep 2010",The Cruzaders
"Pfingstweidstrasse 6, 8005 Zürich", Acanto,"Sun, 28 Apr 2013",Robert Dietz
"Pfingstweidstrasse 6, 8005 Zürich", Acanto,"Sun, 28 Apr 2013",Alex Flatner
"Pfingstweidstrasse 6, 8005 Zürich", Acanto,"Sun, 28 Apr 2013",David Delgado
"Pfingstweidstrasse 6, 8005 Zürich", Acanto,"Sun, 28 Apr 2013",Sandro Kuhne
"Pfingstweidstrasse 6, 8005 Zürich", Acanto,"Sun, 28 Apr 2013",Reto Ardour
"Pfingstweidstrasse 6, 8005 Zürich", Acanto,"Sun, 31 Mar 2013",Vera
"Pfingstweidstrasse 6, 8005 Zürich", Acanto,"Sun, 31 Mar 2013",Re-UP
"Pfingstweidstrasse 6, 8005 Zürich", Acanto,"Sun, 31 Mar 2013",Sandro Kuhne
"Pfingstweidstrasse 6, 8005 Zürich", Acanto,"Sun, 31 Mar 2013",Ajele
"Pfingstweidstrasse 6, 8005 Zürich", Acanto,"Sun, 31 Mar 2013",Trinkler
"Pfingstweidstrasse 6, 8005 Zürich", Acanto,"Sun, 24 Feb 2013",Neverdogs
"Pfingstweidstrasse 6, 8005 Zürich", Acanto,"Sun, 24 Feb 2013",Don Ramon
"Pfingstweidstrasse 6, 8005 Zürich", Acanto,"Sun, 24 Feb 2013",Sandro Kühne
"Pfingstweidstrasse 6, 8005 Zürich", Acanto,"Sun, 24 Feb 2013",Dejan
"Pfingstweidstrasse 6, 8005 Zürich", Acanto,"Sat, 22 Oct 2011",Tommy J Gren
"Pfingstweidstrasse 6, 8005 Zürich", Acanto,"Sat, 22 Oct 2011",Chicco
"Pfingstweidstrasse 6, 8005 Zürich", Acanto,"Fri, 11 Mar 2011",Maalva Cruz
"Pfingstweidstrasse 6, 8005 Zürich", Acanto,"Thu, 24 Feb 2011",T0DO
"Place de la Gare, 1957 Ardon, Valais, Suisse", Acapella Bar,"Fri, 17 Apr 2015",Dj Never Die
"Binningerstrasse 14; 4051, Basel", Acqua Lounge Basilea,"Thu, 22 Dec 2011",m50
"Binningerstrasse 14; 4051, Basel", Acqua Lounge Basilea,"Sun, 11 Jul 2010",Davidon
"Binningerstrasse 14; 4051, Basel", Acqua Lounge Basilea,"Thu, 28 May 2009",Danilo Plessow
"Binningerstrasse 14; 4051, Basel", Acqua Lounge Basilea,"Thu, 28 May 2009",Motor City Drum Ensemble
"Seidenhofstrasse 5; 6002, Luzern", Adagio,"Sun, 25 Apr 2010",Salar
"Seidenhofstrasse 5; 6002, Luzern", Adagio,"Sun, 22 Nov 2009",Andrea Oliva
"Seidenhofstrasse 5; 6002, Luzern", Adagio,"Thu, 24 Sep 2009",Jimi Jules
"Seidenhofstrasse 5; 6002, Luzern", Adagio,"Fri, 30 Jan 2009",Tremendo
"Seidenhofstrasse 5; 6002, Luzern", Adagio,"Fri, 18 Apr 2008",Ramin
"Niederdorfstrasse 64, 8001 Zürich", Akt,"Sat, 2 Mar 2013",Mark Faermont
"Niederdorfstrasse 64, 8001 Zürich", Akt,"Sat, 2 Mar 2013",DJ Le Baron
Steinberggasse 16, Albani Music Club,"Fri, 27 Jan 2017",Honoree
Steinberggasse 16, Albani Music Club,"Fri, 27 Jan 2017",Pablo Einzig
Steinberggasse 16, Albani Music Club,"Fri, 25 Nov 2016",licht
Steinberggasse 16, Albani Music Club,"Fri, 28 Oct 2016",Hraach
Steinberggasse 16, Albani Music Club,"Fri, 30 Sep 2016",Britta Arnold
Steinberggasse 16, Albani Music Club,"Fri, 5 Aug 2016",Susie Star
Steinberggasse 16, Albani Music Club,"Fri, 5 Aug 2016",Marco Tegui
Steinberggasse 16, Albani Music Club,"Fri, 27 May 2016",Ezikiel
Steinberggasse 16, Albani Music Club,"Fri, 27 May 2016",Alci
Steinberggasse 16, Albani Music Club,"Fri, 29 Apr 2016",Honoree
Steinberggasse 16, Albani Music Club,"Fri, 15 Apr 2016",Francesco De Bellis
Steinberggasse 16, Albani Music Club,"Fri, 25 Mar 2016",Christian Schiemann
