day,festival,month,name,ville,year
1.0,6 HOURS OF SYMPHONIA,Avr.,SYNMETALIUM,Lausanne,2017.0
1.0,6 HOURS OF SYMPHONIA,Avr.,EVENMORE,Lausanne,2017.0
1.0,6 HOURS OF SYMPHONIA,Avr.,SECHEM,Lausanne,2017.0
1.0,6 HOURS OF SYMPHONIA,Avr.,BEYOND FORGIVENESS,Lausanne,2017.0
27.0,ANTIGEL,Jan.,ZERO,Geneve,2017.0
28.0,ANTIGEL,Jan.,MAY B (MAGUY MARIN),Geneve,2017.0
29.0,ANTIGEL,Jan.,MAY B (MAGUY MARIN),Geneve,2017.0
2.0,ANTIGEL,Fev.,TRENTEMOLLER,Geneve,2017.0
3.0,ANTIGEL,Fev.,THE NOTWIST,Geneve,2017.0
5.0,ANTIGEL,Fev.,HENRI DES,Geneve,2017.0
7.0,ANTIGEL,Fev.,LAMBCHOP,Geneve,2017.0
10.0,ANTIGEL,Fev.,LISA HANNIGAN,Geneve,2017.0
11.0,ANTIGEL,Fev.,PATTI SMITH,Geneve,2017.0
15.0,ANTIGEL,Fev.,THE DANDY WARHOLS,Geneve,2017.0
16.0,ANTIGEL,Fev.,MODERAT,Geneve,2017.0
17.0,ANTIGEL,Fev.,FRANCOIS & THE ATLAS MOUNTAINS,Geneve,2017.0
18.0,ANTIGEL,Fev.,KRONOS QUARTET,Geneve,2017.0
28.0,BELLUARD BOLLWERK INTERNATIONAL,Juin,THE NOTWIST,Fribourg,2012.0
7.0,BELLUARD BOLLWERK INTERNATIONAL,Juil.,THE INSPECTOR CLUZO (TIC),Fribourg,2012.0
28.0,BELLUARD BOLLWERK INTERNATIONAL,Juin,ANTOINE CHESSEX,Fribourg,2011.0
24.0,BELLUARD BOLLWERK INTERNATIONAL,Juin,KLINGT ORGESTRA,Fribourg,2010.0
25.0,BELLUARD BOLLWERK INTERNATIONAL,Juin,OLIVIER NUSSBAUM,Fribourg,2010.0
26.0,BELLUARD BOLLWERK INTERNATIONAL,Juin,DJ FETT,Fribourg,2010.0
30.0,BELLUARD BOLLWERK INTERNATIONAL,Juin,TAREK ATOUI,Fribourg,2010.0
30.0,BELLUARD BOLLWERK INTERNATIONAL,Juin,DJ LYNDA REVOL,Fribourg,2010.0
2.0,BELLUARD BOLLWERK INTERNATIONAL,Juil.,DJ CUT ME SHOW,Fribourg,2010.0
3.0,BELLUARD BOLLWERK INTERNATIONAL,Juil.,REGGIE WATTS,Fribourg,2010.0
26.0,BELLUARD BOLLWERK INTERNATIONAL,Juin,MODIFIED TOY ORCHESTRA,Fribourg,2009.0
30.0,BELLUARD BOLLWERK INTERNATIONAL,Juin,ANDRE DURACELL,Fribourg,2009.0
4.0,BELLUARD BOLLWERK INTERNATIONAL,Juil.,CHROME HOOF,Fribourg,2009.0
27.0,BELLUARD BOLLWERK INTERNATIONAL,Juin,WIENER GEMUSE ORCHESTER,Fribourg,2008.0
