ambigous_result,genre,name,no_result,origin
0.0,Rock,Groombridge,0.0,
0.0,,Painhead,0.0,
1.0,,shEver,0.0,
0.0,Pop,Mando Diao,0.0,Sweden
0.0,,Foo Fighters,1.0,
0.0,Rock,Heavy Demons,0.0,
0.0,Rock,Reel Big Fish,0.0,United States of America
1.0,,Baby Genius,0.0,
0.0,Comedy/Spoken Word,Henry Rollins,0.0,United States of America
1.0,,Linkin Park,0.0,
1.0,,MONTREAL,0.0,
0.0,Electronica/Dance,Christian Scott,0.0,United States of America
1.0,,Hiromi,0.0,
1.0,,Blackout,0.0,
0.0,Alternative/Indie,Yellowcard,0.0,United States of America
1.0,,Avatar,0.0,
1.0,,Holy Moses,0.0,
0.0,Rock,Obituary,0.0,United States of America
0.0,Alternative/Indie,The Peacocks,0.0,
0.0,Jazz,Freddy Cole,0.0,United States of America
1.0,,NORMANDIE,0.0,
0.0,Rock,From Dying Skies,0.0,
1.0,,Dimi,0.0,
1.0,,M.I.A.,0.0,
0.0,,Paulsrekorder,0.0,Germany
1.0,,Mia,0.0,
0.0,,Angelo Kelly,0.0,Spain
0.0,Electronica/Dance,Matthias Tanzmann,0.0,Germany
0.0,Alternative/Indie,Tyske Ludder,0.0,Germany
1.0,,HOT RUNNING BLOOD,0.0,
0.0,Alternative/Indie,Stereo Total,0.0,France
0.0,Pop,Rosenstolz,0.0,Germany
1.0,,Ten Years After,0.0,
1.0,,P.O.D.,0.0,
1.0,,Filter,0.0,
0.0,Rock,Kinetik Control,0.0,Finland
0.0,,K7 Records,1.0,
1.0,,Phonique,0.0,
1.0,,Funk D'Void,0.0,
0.0,Rock,Deicide,0.0,United States of America
1.0,,Samael,0.0,
1.0,,Wishbone Ash,0.0,
0.0,Rock,Misery Index,0.0,United States of America
1.0,,See You Next Tuesday,0.0,
0.0,Pop,Carlos Núñez,0.0,Spain
1.0,,Jersey,0.0,
1.0,,Slut,0.0,
0.0,Electronica/Dance,Zombie-Zombie,0.0,France
1.0,,Thieves Like Us,0.0,
0.0,Alternative/Indie,No Use for a Name,0.0,United States of America
0.0,Alternative/Indie,Only Crime,0.0,United States of America
0.0,Rock,The Stranglers,0.0,England
0.0,Rock,Edguy,0.0,Germany
0.0,Rock,James McMurtry,0.0,United States of America
0.0,Country,Jon Dee Graham,0.0,United States of America
1.0,,The Duel,0.0,
1.0,,Faster Pussycat,0.0,
0.0,Rock,Bang Tango,0.0,United States of America
0.0,Rock,Beautiful Creatures,0.0,United States
1.0,,GRAVE DIGGER,0.0,
1.0,,Wendy McNeill,0.0,
1.0,,Lole,0.0,
1.0,,Ugly Duckling,0.0,
0.0,Electronica/Dance,Punks Jump Up,0.0,
1.0,,Marty Stuart,0.0,
0.0,Jazz,Esperanza Spalding,0.0,United States of America
0.0,,"Michael Flatley's ""Lord Of The Dance""",0.0,
0.0,Alternative/Indie,Alkaline Trio,0.0,United States of America
0.0,Alternative/Indie,Broadway Calls,0.0,United States of America
1.0,,Hot Rod,0.0,
1.0,,Helmet,0.0,
0.0,,POW-LOW,1.0,
1.0,,Joe T. Vannelli,0.0,
0.0,Electronica/Dance,Jools,0.0,
0.0,Rap/Hip Hop,Jeru the Damaja,0.0,United States of America
0.0,Rock,Ektomorf,0.0,Hungary
0.0,,Emergenti Italiani,1.0,
1.0,,Carrier,0.0,
0.0,Pop,IZIA,0.0,France
0.0,,Izia 1èRe Partie,1.0,
0.0,Electronica/Dance,Joakim,0.0,France
0.0,,Chris Duarte Group,1.0,
0.0,Reggae/Ska,Doreen Shaffer,0.0,Jamaica
0.0,,Marc Hype,0.0,
1.0,,DVW,0.0,
1.0,,Fair Warning,0.0,
1.0,,Tocadisco,0.0,
1.0,,Bobby Long,0.0,
0.0,Rock,Kittie,0.0,Ontario
1.0,,Nunez,0.0,
0.0,,Live From Buena Vista,1.0,
1.0,,DMC,0.0,
0.0,Pop,Émilie Simon,0.0,France
0.0,Latin,Che Sudaka,0.0,Spain
1.0,,Manu,0.0,
0.0,Electronica/Dance,Filewile,0.0,Switzerland
1.0,,A Thousand Years Slavery,0.0,
0.0,,photo 09,1.0,
1.0,,Eric Burdon,0.0,
1.0,,Frantic,0.0,
0.0,Alternative/Indie,Weekend Phantom,0.0,
