club_adress,club_id,club_name,club_ref,date,ref_event,artiste
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Sat, 19 Sep 2015",/event.aspx?707003,Affani
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Sat, 19 Sep 2015",/event.aspx?707003,Mark Faermont
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Sat, 12 Sep 2015",/event.aspx?753528,Mucho Stylez
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Fri, 3 Jul 2015",/event.aspx?730155,Mucho Stylez
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Sat, 13 Jun 2015",/event.aspx?713648,Mucho Stylez
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Sat, 21 Mar 2015",/event.aspx?696650,Mark Faermont
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Sat, 17 Jan 2015",/event.aspx?671332,Carlos Russo
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Sat, 17 Jan 2015",/event.aspx?671332,Mark Faermont
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Sat, 29 Nov 2014",/event.aspx?648424,Tonka
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Sat, 29 Nov 2014",/event.aspx?648424,Mark Faermont
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Sat, 18 Oct 2014",/event.aspx?642266,Carlos Russo
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Sat, 18 Oct 2014",/event.aspx?642266,David Eye
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Sat, 2 Aug 2014",/event.aspx?619558,Niall Redmond
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Sat, 2 Aug 2014",/event.aspx?619558,Mark Faermont
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Sat, 18 Jan 2014",/event.aspx?557604,Mark Faermont
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Sat, 18 Jan 2014",/event.aspx?557604,DJ Le Baron
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Sat, 21 Dec 2013",/event.aspx?546745,Niall Redmond
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Sat, 10 Aug 2013",/event.aspx?509157,Anek
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Sat, 10 Aug 2013",/event.aspx?509157,Mark Faermont
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Sat, 10 Aug 2013",/event.aspx?509157,DJ Le Baron
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Sat, 20 Jul 2013",/event.aspx?501057,Mark Faermont
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Sat, 16 Mar 2013",/event.aspx?454361,Mark Faermont
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Sat, 24 Nov 2012",/event.aspx?406456,Mark Faermont
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Sat, 3 Dec 2011",/event.aspx?315746,Namito
Selnaustrasse 2,55816, 2. Akt Restaurant & Bar,/club.aspx?id=55816,"Sat, 3 Dec 2011",/event.aspx?315746,Juzz
