club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Pfingstweidstrasse 6, 8005 Zürich",39607, Acanto,/club.aspx?id=39607,"Sun, 28 Apr 2013",/event.aspx?471251,Robert Dietz
"Pfingstweidstrasse 6, 8005 Zürich",39607, Acanto,/club.aspx?id=39607,"Sun, 28 Apr 2013",/event.aspx?471251,Alex Flatner
"Pfingstweidstrasse 6, 8005 Zürich",39607, Acanto,/club.aspx?id=39607,"Sun, 28 Apr 2013",/event.aspx?471251,David Delgado
"Pfingstweidstrasse 6, 8005 Zürich",39607, Acanto,/club.aspx?id=39607,"Sun, 28 Apr 2013",/event.aspx?471251,Sandro Kuhne
"Pfingstweidstrasse 6, 8005 Zürich",39607, Acanto,/club.aspx?id=39607,"Sun, 28 Apr 2013",/event.aspx?471251,Reto Ardour
"Pfingstweidstrasse 6, 8005 Zürich",39607, Acanto,/club.aspx?id=39607,"Sun, 31 Mar 2013",/event.aspx?461021,Vera
"Pfingstweidstrasse 6, 8005 Zürich",39607, Acanto,/club.aspx?id=39607,"Sun, 31 Mar 2013",/event.aspx?461021,Re-UP
"Pfingstweidstrasse 6, 8005 Zürich",39607, Acanto,/club.aspx?id=39607,"Sun, 31 Mar 2013",/event.aspx?461021,Sandro Kuhne
"Pfingstweidstrasse 6, 8005 Zürich",39607, Acanto,/club.aspx?id=39607,"Sun, 31 Mar 2013",/event.aspx?461021,Ajele
"Pfingstweidstrasse 6, 8005 Zürich",39607, Acanto,/club.aspx?id=39607,"Sun, 31 Mar 2013",/event.aspx?461021,Trinkler
"Pfingstweidstrasse 6, 8005 Zürich",39607, Acanto,/club.aspx?id=39607,"Sun, 24 Feb 2013",/event.aspx?453520,Neverdogs
"Pfingstweidstrasse 6, 8005 Zürich",39607, Acanto,/club.aspx?id=39607,"Sun, 24 Feb 2013",/event.aspx?453520,Don Ramon
"Pfingstweidstrasse 6, 8005 Zürich",39607, Acanto,/club.aspx?id=39607,"Sun, 24 Feb 2013",/event.aspx?453520,Sandro Kühne
"Pfingstweidstrasse 6, 8005 Zürich",39607, Acanto,/club.aspx?id=39607,"Sun, 24 Feb 2013",/event.aspx?453520,Dejan
"Pfingstweidstrasse 6, 8005 Zürich",39607, Acanto,/club.aspx?id=39607,"Sat, 22 Oct 2011",/event.aspx?293149,Tommy J Gren
"Pfingstweidstrasse 6, 8005 Zürich",39607, Acanto,/club.aspx?id=39607,"Sat, 22 Oct 2011",/event.aspx?293149,Chicco
"Pfingstweidstrasse 6, 8005 Zürich",39607, Acanto,/club.aspx?id=39607,"Fri, 11 Mar 2011",/event.aspx?237937,Maalva Cruz
"Pfingstweidstrasse 6, 8005 Zürich",39607, Acanto,/club.aspx?id=39607,"Thu, 24 Feb 2011",/event.aspx?234146,T0DO
