club_adress,club_id,club_name,club_ref,date,ref_event,artiste
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 27 Jan 2017",/event.aspx?920042,Honoree
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 27 Jan 2017",/event.aspx?920042,Pablo Einzig
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 25 Nov 2016",/event.aspx?900490,licht
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 28 Oct 2016",/event.aspx?888454,Hraach
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 30 Sep 2016",/event.aspx?876420,Britta Arnold
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 5 Aug 2016",/event.aspx?881301,Susie Star
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 5 Aug 2016",/event.aspx?881301,Marco Tegui
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 27 May 2016",/event.aspx?838856,Ezikiel
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 27 May 2016",/event.aspx?838856,Alci
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 29 Apr 2016",/event.aspx?824783,Honoree
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 15 Apr 2016",/event.aspx?827309,Francesco De Bellis
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 25 Mar 2016",/event.aspx?814891,Christian Schiemann
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 26 Feb 2016",/event.aspx?805131,Meikel
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 26 Feb 2016",/event.aspx?805131,Timoteo
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 29 Jan 2016",/event.aspx?790103,Dario La Mazza
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 27 Nov 2015",/event.aspx?773349,Alex Dallas
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 30 Oct 2015",/event.aspx?762466,Jimi Jules
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 25 Sep 2015",/event.aspx?749845,Dejan
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 25 Sep 2015",/event.aspx?749845,Markus Lindner
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 29 May 2015",/event.aspx?708540,Kyrill & Redford
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 29 May 2015",/event.aspx?708540,Selim & Armin
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 24 Apr 2015",/event.aspx?702758,Einzig
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 24 Apr 2015",/event.aspx?702758,Faerber
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 27 Mar 2015",/event.aspx?694369,Juen & Bach
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 27 Feb 2015",/event.aspx?683711,Rozzo
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 27 Feb 2015",/event.aspx?683711,Mountain People
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 30 Jan 2015",/event.aspx?670365,Jimi Jules
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 26 Dec 2014",/event.aspx?661278,Alci
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 28 Nov 2014",/event.aspx?652471,Gianni Callipari
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 31 Oct 2014",/event.aspx?641509,Beda
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 31 Oct 2014",/event.aspx?641509,Hug & Schiemann
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 26 Sep 2014",/event.aspx?627340,Adriatique
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 30 May 2014",/event.aspx?572697,Benja
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 30 May 2014",/event.aspx?572697,Marco Berto
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 25 Apr 2014",/event.aspx?585358,Timoteo
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 25 Apr 2014",/event.aspx?585358,Nekow
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 4 Apr 2014",/event.aspx?584307,Casimir von Oettingen
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 28 Feb 2014",/event.aspx?560567,Pazkal
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 28 Feb 2014",/event.aspx?560567,Smalltown Collective
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 28 Feb 2014",/event.aspx?560567,Sebastian Eduardo
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 31 Jan 2014",/event.aspx?553034,Ezikiel
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 31 Jan 2014",/event.aspx?553034,Alci
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 27 Dec 2013",/event.aspx?544840,Elvis Cassetta
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 29 Nov 2013",/event.aspx?534543,Sandro Kühne
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 29 Nov 2013",/event.aspx?534543,Trinkler
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 25 Oct 2013",/event.aspx?526138,Galoppierende Zuversicht
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 25 Oct 2013",/event.aspx?526138,Deneha
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 27 Sep 2013",/event.aspx?518765,Manon
Steinberggasse 16,25492, Albani Music Club,/club.aspx?id=25492,"Fri, 27 Sep 2013",/event.aspx?518765,Pazkal
