club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Limmatstrasse 275, 8005 Zürich",102769, Alice Choo,/club.aspx?id=102769,"Fri, 2 Dec 2016",/event.aspx?901109,Mark Fanciulli
"Limmatstrasse 275, 8005 Zürich",102769, Alice Choo,/club.aspx?id=102769,"Fri, 2 Dec 2016",/event.aspx?901109,Renato Broccini
"Limmatstrasse 275, 8005 Zürich",102769, Alice Choo,/club.aspx?id=102769,"Fri, 2 Dec 2016",/event.aspx?901109,Matteo Arcucci
"Limmatstrasse 275, 8005 Zürich",102769, Alice Choo,/club.aspx?id=102769,"Sat, 5 Nov 2016",/event.aspx?895354,Anna Tur
"Limmatstrasse 275, 8005 Zürich",102769, Alice Choo,/club.aspx?id=102769,"Sat, 12 Mar 2016",/event.aspx?807343,Yougene
"Limmatstrasse 275, 8005 Zürich",102769, Alice Choo,/club.aspx?id=102769,"Fri, 30 Oct 2015",/event.aspx?763731,Tom Novy
"Limmatstrasse 275, 8005 Zürich",102769, Alice Choo,/club.aspx?id=102769,"Fri, 30 Oct 2015",/event.aspx?763731,Mucho Stylez
"Limmatstrasse 275, 8005 Zürich",102769, Alice Choo,/club.aspx?id=102769,"Fri, 25 Sep 2015",/event.aspx?756903,Mucho Stylez
"Limmatstrasse 275, 8005 Zürich",102769, Alice Choo,/club.aspx?id=102769,"Fri, 25 Sep 2015",/event.aspx?756903,Tom Novy
"Limmatstrasse 275, 8005 Zürich",102769, Alice Choo,/club.aspx?id=102769,"Tue, 8 Sep 2015",/event.aspx?753226,Tom Novy
"Limmatstrasse 275, 8005 Zürich",102769, Alice Choo,/club.aspx?id=102769,"Tue, 8 Sep 2015",/event.aspx?753226,Mucho Stylez
"Limmatstrasse 275, 8005 Zürich",102769, Alice Choo,/club.aspx?id=102769,"Fri, 27 Mar 2015",/event.aspx?700041,Valerio Raponi
"Limmatstrasse 275, 8005 Zürich",102769, Alice Choo,/club.aspx?id=102769,"Sat, 23 Jul 2011",/event.aspx?274377,Evo & RST
"Limmatstrasse 275, 8005 Zürich",102769, Alice Choo,/club.aspx?id=102769,"Sat, 23 Jul 2011",/event.aspx?274377,JSebK
"Limmatstrasse 275, 8005 Zürich",102769, Alice Choo,/club.aspx?id=102769,"Fri, 24 Jun 2011",/event.aspx?247395,The Cruzaders
