club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Langstrasse 83, 8004, Zurich",127738, Babette Club,/club.aspx?id=127738,"Sat, 4 Mar 2017",/event.aspx?921515,Shlomi Aber
"Langstrasse 83, 8004, Zurich",127738, Babette Club,/club.aspx?id=127738,"Sat, 4 Mar 2017",/event.aspx?921515,Saime
"Langstrasse 83, 8004, Zurich",127738, Babette Club,/club.aspx?id=127738,"Sat, 25 Feb 2017",/event.aspx?916950,Roy Rosenfeld
"Langstrasse 83, 8004, Zurich",127738, Babette Club,/club.aspx?id=127738,"Sat, 25 Feb 2017",/event.aspx?916950,Khainz
"Langstrasse 83, 8004, Zurich",127738, Babette Club,/club.aspx?id=127738,"Sat, 25 Feb 2017",/event.aspx?916950,Andrea Bertolini
"Langstrasse 83, 8004, Zurich",127738, Babette Club,/club.aspx?id=127738,"Sat, 25 Feb 2017",/event.aspx?916950,Liv Stone
"Langstrasse 83, 8004, Zurich",127738, Babette Club,/club.aspx?id=127738,"Fri, 24 Feb 2017",/event.aspx?916945,Phil Weeks
"Langstrasse 83, 8004, Zurich",127738, Babette Club,/club.aspx?id=127738,"Fri, 24 Feb 2017",/event.aspx?916945,Sebo K
"Langstrasse 83, 8004, Zurich",127738, Babette Club,/club.aspx?id=127738,"Fri, 24 Feb 2017",/event.aspx?916945,DJ W!ld
"Langstrasse 83, 8004, Zurich",127738, Babette Club,/club.aspx?id=127738,"Fri, 24 Feb 2017",/event.aspx?916945,Francesco Parla
"Langstrasse 83, 8004, Zurich",127738, Babette Club,/club.aspx?id=127738,"Fri, 24 Feb 2017",/event.aspx?916945,Kantarik
"Langstrasse 83, 8004, Zurich",127738, Babette Club,/club.aspx?id=127738,"Fri, 24 Feb 2017",/event.aspx?916945,Boy.An
"Langstrasse 83, 8004, Zurich",127738, Babette Club,/club.aspx?id=127738,"Fri, 17 Feb 2017",/event.aspx?916941,Oliver Huntemann
"Langstrasse 83, 8004, Zurich",127738, Babette Club,/club.aspx?id=127738,"Fri, 17 Feb 2017",/event.aspx?916941,Dubspeeka
"Langstrasse 83, 8004, Zurich",127738, Babette Club,/club.aspx?id=127738,"Fri, 17 Feb 2017",/event.aspx?916941,Meikel
"Langstrasse 83, 8004, Zurich",127738, Babette Club,/club.aspx?id=127738,"Fri, 17 Feb 2017",/event.aspx?916941,Ragesh Nair
"Langstrasse 83, 8004, Zurich",127738, Babette Club,/club.aspx?id=127738,"Fri, 10 Feb 2017",/event.aspx?916451,Stephan Bodzin
"Langstrasse 83, 8004, Zurich",127738, Babette Club,/club.aspx?id=127738,"Sat, 4 Feb 2017",/event.aspx?916932,Dustin Zahn
"Langstrasse 83, 8004, Zurich",127738, Babette Club,/club.aspx?id=127738,"Sat, 4 Feb 2017",/event.aspx?916932,Timmo
"Langstrasse 83, 8004, Zurich",127738, Babette Club,/club.aspx?id=127738,"Sat, 4 Feb 2017",/event.aspx?916932,Suspect One
"Langstrasse 83, 8004, Zurich",127738, Babette Club,/club.aspx?id=127738,"Fri, 3 Feb 2017",/event.aspx?916450,Julian Jeweil
"Langstrasse 83, 8004, Zurich",127738, Babette Club,/club.aspx?id=127738,"Fri, 3 Feb 2017",/event.aspx?916450,Pig & Dan
"Langstrasse 83, 8004, Zurich",127738, Babette Club,/club.aspx?id=127738,"Fri, 3 Feb 2017",/event.aspx?916450,Luca Agnelli
"Langstrasse 83, 8004, Zurich",127738, Babette Club,/club.aspx?id=127738,"Fri, 3 Feb 2017",/event.aspx?916450,Marco Berto
