club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"22 rue Cendrier, Geneva",103014, Baby Boa,/club.aspx?id=103014,"Thu, 31 Dec 2015",/event.aspx?789042,Jeff Swing
"22 rue Cendrier, Geneva",103014, Baby Boa,/club.aspx?id=103014,"Thu, 31 Dec 2015",/event.aspx?789042,Dylan Casale
"22 rue Cendrier, Geneva",103014, Baby Boa,/club.aspx?id=103014,"Thu, 31 Dec 2015",/event.aspx?789042,Sebas O Verde
"22 rue Cendrier, Geneva",103014, Baby Boa,/club.aspx?id=103014,"Sat, 19 Dec 2015",/event.aspx?785654,VAlpen
"22 rue Cendrier, Geneva",103014, Baby Boa,/club.aspx?id=103014,"Sat, 19 Dec 2015",/event.aspx?785654,Dachshund
"22 rue Cendrier, Geneva",103014, Baby Boa,/club.aspx?id=103014,"Sat, 19 Dec 2015",/event.aspx?785654,Dave The Hustler
"22 rue Cendrier, Geneva",103014, Baby Boa,/club.aspx?id=103014,"Fri, 18 Dec 2015",/event.aspx?785655,Dada Disco
"22 rue Cendrier, Geneva",103014, Baby Boa,/club.aspx?id=103014,"Sat, 12 Dec 2015",/event.aspx?783316,Paul Eg
"22 rue Cendrier, Geneva",103014, Baby Boa,/club.aspx?id=103014,"Fri, 11 Dec 2015",/event.aspx?783314,Borrowed Identity
"22 rue Cendrier, Geneva",103014, Baby Boa,/club.aspx?id=103014,"Fri, 11 Dec 2015",/event.aspx?783314,Mordax
"22 rue Cendrier, Geneva",103014, Baby Boa,/club.aspx?id=103014,"Tue, 8 Dec 2015",/event.aspx?789402,Central Rodeo
"22 rue Cendrier, Geneva",103014, Baby Boa,/club.aspx?id=103014,"Sat, 5 Dec 2015",/event.aspx?782361,Gel Abril
"22 rue Cendrier, Geneva",103014, Baby Boa,/club.aspx?id=103014,"Fri, 4 Dec 2015",/event.aspx?781092,Paul Eg
"22 rue Cendrier, Geneva",103014, Baby Boa,/club.aspx?id=103014,"Fri, 4 Dec 2015",/event.aspx?781092,DJ Dub
