club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Fri, 1 Apr 2016",/event.aspx?821862,Senking
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Fri, 1 Apr 2016",/event.aspx?821862,Feldermelder
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Fri, 1 Apr 2016",/event.aspx?821862,Ink!
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Fri, 19 Feb 2016",/event.aspx?792807,Zebra Katz
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Fri, 19 Feb 2016",/event.aspx?792807,Le1f
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Fri, 19 Feb 2016",/event.aspx?792807,Krizzli
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Sat, 30 May 2015",/event.aspx?714695,Peter Gordon
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Fri, 5 Sep 2014",/event.aspx?625516,IVVVO
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Sun, 23 Feb 2014",/event.aspx?568227,Murcof
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Sun, 23 Feb 2014",/event.aspx?568227,Philippe Petit
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Fri, 4 Oct 2013",/event.aspx?523637,Isolated Lines
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Fri, 4 Oct 2013",/event.aspx?523637,Boo Boo Groove
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Fri, 21 Dec 2012",/event.aspx?419369,Boo Boo Groove
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Tue, 30 Oct 2012",/event.aspx?411633,Laurel Halo
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Fri, 18 May 2012",/event.aspx?367838,Nobee
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Sat, 8 Oct 2011",/event.aspx?281632,Plaid
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Sat, 28 May 2011",/event.aspx?240091,Feldermelder
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Sat, 28 May 2011",/event.aspx?237766,Battles
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Fri, 27 May 2011",/event.aspx?313311,Caribou
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Fri, 27 May 2011",/event.aspx?313311,Kalabrese
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Thu, 26 May 2011",/event.aspx?240088,Nik!
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Wed, 26 May 2010",/event.aspx?163655,Aphex Twin
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Wed, 26 May 2010",/event.aspx?163655,Luke Vibert
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Wed, 26 May 2010",/event.aspx?163655,DMX Krew
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Wed, 26 May 2010",/event.aspx?163655,Jimmy Edgar
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Wed, 26 May 2010",/event.aspx?163655,Joker
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Wed, 26 May 2010",/event.aspx?163655,Loops Haunt
"Bonn 2; 3186, Düdingen",17290, Bad Bonn,/club.aspx?id=17290,"Wed, 6 May 2009",/event.aspx?93222,Flying Lotus
