club_adress,club_id,club_name,club_ref,date,ref_event,artiste
Steinenbachgässlein 34; 4051 Basel,88396, Balz Klub,/club.aspx?id=88396,"Fri, 14 Oct 2016",/event.aspx?886952,Lui Young
Steinenbachgässlein 34; 4051 Basel,88396, Balz Klub,/club.aspx?id=88396,"Sat, 24 Sep 2016",/event.aspx?875949,Lui Young
Steinenbachgässlein 34; 4051 Basel,88396, Balz Klub,/club.aspx?id=88396,"Fri, 25 Mar 2016",/event.aspx?805478,DJ Byte
Steinenbachgässlein 34; 4051 Basel,88396, Balz Klub,/club.aspx?id=88396,"Fri, 25 Mar 2016",/event.aspx?805478,Fred Linger
Steinenbachgässlein 34; 4051 Basel,88396, Balz Klub,/club.aspx?id=88396,"Sat, 14 Nov 2015",/event.aspx?773729,Steve Cole
Steinenbachgässlein 34; 4051 Basel,88396, Balz Klub,/club.aspx?id=88396,"Sat, 14 Nov 2015",/event.aspx?773729,Lui Young
Steinenbachgässlein 34; 4051 Basel,88396, Balz Klub,/club.aspx?id=88396,"Wed, 21 May 2014",/event.aspx?591039,Adana Twins
Steinenbachgässlein 34; 4051 Basel,88396, Balz Klub,/club.aspx?id=88396,"Fri, 16 May 2014",/event.aspx?591030,Similar Disco
Steinenbachgässlein 34; 4051 Basel,88396, Balz Klub,/club.aspx?id=88396,"Fri, 2 May 2014",/event.aspx?591024,Mannequine
Steinenbachgässlein 34; 4051 Basel,88396, Balz Klub,/club.aspx?id=88396,"Wed, 9 Apr 2014",/event.aspx?591027,Fredski
Steinenbachgässlein 34; 4051 Basel,88396, Balz Klub,/club.aspx?id=88396,"Wed, 26 Mar 2014",/event.aspx?570962,Claptone
Steinenbachgässlein 34; 4051 Basel,88396, Balz Klub,/club.aspx?id=88396,"Wed, 26 Mar 2014",/event.aspx?570962,Sascha Stohler
