club_adress,club_id,club_name,club_ref,date,ref_event,artiste
Vis-a-Vis Rothis,10302, Bamboo Music Club,/club.aspx?id=10302,"Sat, 23 May 2009",/event.aspx?86170,Nicolas Duvoisin
Vis-a-Vis Rothis,10302, Bamboo Music Club,/club.aspx?id=10302,"Sat, 23 May 2009",/event.aspx?86170,Gravina
Vis-a-Vis Rothis,10302, Bamboo Music Club,/club.aspx?id=10302,"Sat, 23 May 2009",/event.aspx?86170,Minimat
Vis-a-Vis Rothis,10302, Bamboo Music Club,/club.aspx?id=10302,"Sat, 9 May 2009",/event.aspx?81530,Breandan Davey
Vis-a-Vis Rothis,10302, Bamboo Music Club,/club.aspx?id=10302,"Sat, 9 May 2009",/event.aspx?81530,Gravina
Vis-a-Vis Rothis,10302, Bamboo Music Club,/club.aspx?id=10302,"Sat, 25 Apr 2009",/event.aspx?81027,Dan Curtin
Vis-a-Vis Rothis,10302, Bamboo Music Club,/club.aspx?id=10302,"Sat, 25 Apr 2009",/event.aspx?81027,Gravina
Vis-a-Vis Rothis,10302, Bamboo Music Club,/club.aspx?id=10302,"Fri, 6 Mar 2009",/event.aspx?81236,Shaka
Vis-a-Vis Rothis,10302, Bamboo Music Club,/club.aspx?id=10302,"Fri, 6 Mar 2009",/event.aspx?81236,Gravina
Vis-a-Vis Rothis,10302, Bamboo Music Club,/club.aspx?id=10302,"Sat, 28 Feb 2009",/event.aspx?81026,Phuture Traxx
Vis-a-Vis Rothis,10302, Bamboo Music Club,/club.aspx?id=10302,"Sat, 28 Feb 2009",/event.aspx?81026,Gravina
Vis-a-Vis Rothis,10302, Bamboo Music Club,/club.aspx?id=10302,"Sat, 21 Feb 2009",/event.aspx?83170,Eli Verveine
Vis-a-Vis Rothis,10302, Bamboo Music Club,/club.aspx?id=10302,"Sat, 21 Feb 2009",/event.aspx?83170,Gravina
Vis-a-Vis Rothis,10302, Bamboo Music Club,/club.aspx?id=10302,"Sat, 19 Apr 2008",/event.aspx?49978,Eric Borgo
Vis-a-Vis Rothis,10302, Bamboo Music Club,/club.aspx?id=10302,"Sat, 19 Apr 2008",/event.aspx?49978,HighLive
