club_adress,club_id,club_name,club_ref,date,ref_event,artiste
Rue Alexandre Schöni - 2503 Biel/Bienne -   Bern -,23400, Biella Factory,/club.aspx?id=23400,"Tue, 24 May 2011",/event.aspx?301099,Alex Di Stefano
Rue Alexandre Schöni - 2503 Biel/Bienne -   Bern -,23400, Biella Factory,/club.aspx?id=23400,"Tue, 24 May 2011",/event.aspx?301099,AnGy KoRe
Rue Alexandre Schöni - 2503 Biel/Bienne -   Bern -,23400, Biella Factory,/club.aspx?id=23400,"Tue, 24 May 2011",/event.aspx?301099,Pascal Nuzzo
Rue Alexandre Schöni - 2503 Biel/Bienne -   Bern -,23400, Biella Factory,/club.aspx?id=23400,"Sat, 21 May 2011",/event.aspx?247300,Pan-Pot
Rue Alexandre Schöni - 2503 Biel/Bienne -   Bern -,23400, Biella Factory,/club.aspx?id=23400,"Sat, 21 May 2011",/event.aspx?247300,Tremendo
Rue Alexandre Schöni - 2503 Biel/Bienne -   Bern -,23400, Biella Factory,/club.aspx?id=23400,"Sat, 21 May 2011",/event.aspx?247300,Nukem
Rue Alexandre Schöni - 2503 Biel/Bienne -   Bern -,23400, Biella Factory,/club.aspx?id=23400,"Sat, 21 May 2011",/event.aspx?247300,Skaos
Rue Alexandre Schöni - 2503 Biel/Bienne -   Bern -,23400, Biella Factory,/club.aspx?id=23400,"Sat, 21 May 2011",/event.aspx?247300,Markus haZe
Rue Alexandre Schöni - 2503 Biel/Bienne -   Bern -,23400, Biella Factory,/club.aspx?id=23400,"Mon, 21 Mar 2011",/event.aspx?240893,Pan-Pot
Rue Alexandre Schöni - 2503 Biel/Bienne -   Bern -,23400, Biella Factory,/club.aspx?id=23400,"Mon, 21 Mar 2011",/event.aspx?240893,Tremendo
Rue Alexandre Schöni - 2503 Biel/Bienne -   Bern -,23400, Biella Factory,/club.aspx?id=23400,"Mon, 21 Mar 2011",/event.aspx?240893,Skaos
Rue Alexandre Schöni - 2503 Biel/Bienne -   Bern -,23400, Biella Factory,/club.aspx?id=23400,"Mon, 21 Mar 2011",/event.aspx?240893,Markus haZe
Rue Alexandre Schöni - 2503 Biel/Bienne -   Bern -,23400, Biella Factory,/club.aspx?id=23400,"Fri, 29 Jan 2010",/event.aspx?129016,Federico Milani
