club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Sat, 31 Dec 2011",/event.aspx?322401,Luke Redford
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Sat, 31 Dec 2011",/event.aspx?322401,Abdel Hady
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Sat, 31 Dec 2011",/event.aspx?322401,Jack Pryce
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Sat, 31 Dec 2011",/event.aspx?322401,Mannequine
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Sun, 25 Dec 2011",/event.aspx?322395,Ertu & Pushkin
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Sun, 25 Dec 2011",/event.aspx?322395,Atomic Nick
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Sun, 25 Dec 2011",/event.aspx?322395,Le Frère
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Sun, 25 Dec 2011",/event.aspx?322395,Dani Nydegger
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Sat, 24 Dec 2011",/event.aspx?320809,Andreas Ramos
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Sat, 24 Dec 2011",/event.aspx?320809,Schmerol
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Sat, 24 Dec 2011",/event.aspx?320809,Mannequine
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Sat, 24 Dec 2011",/event.aspx?320809,Luke Redford
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Sat, 10 Dec 2011",/event.aspx?316195,Minimono
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Sat, 10 Dec 2011",/event.aspx?316195,Gleichschritt
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Sat, 10 Dec 2011",/event.aspx?316195,Kapara
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Sat, 10 Dec 2011",/event.aspx?316195,Nici Faerber
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Sat, 10 Dec 2011",/event.aspx?316195,Jimi Jules
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Sat, 10 Dec 2011",/event.aspx?316195,Roy Engel
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Sat, 26 Nov 2011",/event.aspx?304679,Punks Jump Up
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Sat, 26 Nov 2011",/event.aspx?304679,The Whip
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Fri, 25 Nov 2011",/event.aspx?307038,Adam Port
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Fri, 25 Nov 2011",/event.aspx?307038,Playlove
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Fri, 25 Nov 2011",/event.aspx?307038,Le Citadin
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Fri, 25 Nov 2011",/event.aspx?307038,Herr Müller
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Fri, 25 Nov 2011",/event.aspx?304678,Adam Port
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Fri, 25 Nov 2011",/event.aspx?304678,Playlove
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Fri, 25 Nov 2011",/event.aspx?304678,Le Citadin
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Fri, 25 Nov 2011",/event.aspx?304678,Herr Müller
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Sat, 19 Nov 2011",/event.aspx?304683,Deadboy
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Sat, 19 Nov 2011",/event.aspx?304683,Guyus
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Fri, 18 Nov 2011",/event.aspx?304673,Sound Pellegrino Thermal Team
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Sat, 12 Nov 2011",/event.aspx?304670,Abdel Hady
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Fri, 11 Nov 2011",/event.aspx?304668,The Twelves
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Fri, 11 Nov 2011",/event.aspx?304668,Luke Redford
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Fri, 11 Nov 2011",/event.aspx?304668,Mannequine
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Fri, 4 Nov 2011",/event.aspx?304665,Mondkopf
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Fri, 4 Nov 2011",/event.aspx?304665,Riton
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Fri, 4 Nov 2011",/event.aspx?304665,Nici Faerber
"Schiffbaustrasse 3; 8005, Zurich",52730, Blok Club,/club.aspx?id=52730,"Fri, 4 Nov 2011",/event.aspx?304665,Luke Redford
