club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 24 Dec 2016",/event.aspx?909230,Franck Roger
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 24 Dec 2016",/event.aspx?909230,Home Invasion
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 24 Dec 2016",/event.aspx?909230,Reda Dare
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 29 Oct 2016",/event.aspx?891643,Phil Weeks
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 29 Oct 2016",/event.aspx?891643,Giusy S
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Fri, 2 Oct 2015",/event.aspx?751515,tINI
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Fri, 2 Oct 2015",/event.aspx?751515,Anthik
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 19 Sep 2015",/event.aspx?742093,Bella Sarris
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 19 Sep 2015",/event.aspx?742093,Gianni Sabato
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 19 Sep 2015",/event.aspx?742093,Sandro Kuhne
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Fri, 8 May 2015",/event.aspx?704617,Markus haZe
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 11 Apr 2015",/event.aspx?699562,Steve Bug
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 11 Apr 2015",/event.aspx?699562,Nicolas Duvoisin
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 11 Apr 2015",/event.aspx?699562,Nelson De Jesus
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 11 Apr 2015",/event.aspx?699562,Mattoo
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Fri, 10 Apr 2015",/event.aspx?697823,Exium
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Fri, 10 Apr 2015",/event.aspx?697823,Shades
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 28 Mar 2015",/event.aspx?699547,Macromism
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 28 Mar 2015",/event.aspx?699547,Randall M
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 28 Mar 2015",/event.aspx?699547,Mattoo
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 28 Mar 2015",/event.aspx?699547,Skaos
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 28 Mar 2015",/event.aspx?699547,Recarey
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 21 Mar 2015",/event.aspx?691279,Andrea Roma
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 28 Feb 2015",/event.aspx?681808,Barem
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 28 Feb 2015",/event.aspx?681808,James Mc Hale
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 28 Feb 2015",/event.aspx?681808,Mattoo
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 28 Feb 2015",/event.aspx?681808,The M&B; Experiment
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 31 Jan 2015",/event.aspx?677268,Michel Cleis
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 31 Jan 2015",/event.aspx?677268,Gianni Sabato
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 31 Jan 2015",/event.aspx?677268,Recarey
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Wed, 31 Dec 2014",/event.aspx?664291,Sasha Carassi
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Wed, 31 Dec 2014",/event.aspx?664291,Ceri
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Wed, 31 Dec 2014",/event.aspx?664291,Mia Kaltes
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 27 Dec 2014",/event.aspx?666164,East End Dubs
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 27 Dec 2014",/event.aspx?666164,Luca Torre
"Mattenstrasse 165,2503 Biel, Bienne",91515, Cargo Club,/club.aspx?id=91515,"Sat, 27 Dec 2014",/event.aspx?666164,Mattoo
