club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Erlenmattstrasse 23, 4056 Basel",81064, Cirquit,/club.aspx?id=81064,"Thu, 1 Aug 2013",/event.aspx?502205,Oliver Eich
"Erlenmattstrasse 23, 4056 Basel",81064, Cirquit,/club.aspx?id=81064,"Thu, 1 Aug 2013",/event.aspx?502205,Ned O`Neal
"Erlenmattstrasse 23, 4056 Basel",81064, Cirquit,/club.aspx?id=81064,"Thu, 1 Aug 2013",/event.aspx?502205,TiefenRausch
"Erlenmattstrasse 23, 4056 Basel",81064, Cirquit,/club.aspx?id=81064,"Wed, 31 Jul 2013",/event.aspx?502192,Oliver Eich
"Erlenmattstrasse 23, 4056 Basel",81064, Cirquit,/club.aspx?id=81064,"Wed, 31 Jul 2013",/event.aspx?502192,Ned O`Neal
"Erlenmattstrasse 23, 4056 Basel",81064, Cirquit,/club.aspx?id=81064,"Wed, 31 Jul 2013",/event.aspx?502192,Chris Rockwell
"Erlenmattstrasse 23, 4056 Basel",81064, Cirquit,/club.aspx?id=81064,"Wed, 31 Jul 2013",/event.aspx?502192,julz
"Erlenmattstrasse 23, 4056 Basel",81064, Cirquit,/club.aspx?id=81064,"Sat, 11 May 2013",/event.aspx?470493,Malicious Joy
"Erlenmattstrasse 23, 4056 Basel",81064, Cirquit,/club.aspx?id=81064,"Sat, 11 May 2013",/event.aspx?470493,Mike & Nika
"Erlenmattstrasse 23, 4056 Basel",81064, Cirquit,/club.aspx?id=81064,"Sat, 11 May 2013",/event.aspx?470493,Ned O`Neal
"Erlenmattstrasse 23, 4056 Basel",81064, Cirquit,/club.aspx?id=81064,"Wed, 1 May 2013",/event.aspx?453181,Michael Placke
"Erlenmattstrasse 23, 4056 Basel",81064, Cirquit,/club.aspx?id=81064,"Wed, 1 May 2013",/event.aspx?453181,Ned O`Neal
"Erlenmattstrasse 23, 4056 Basel",81064, Cirquit,/club.aspx?id=81064,"Wed, 1 May 2013",/event.aspx?453181,TiefenRausch
"Erlenmattstrasse 23, 4056 Basel",81064, Cirquit,/club.aspx?id=81064,"Wed, 1 May 2013",/event.aspx?453181,Chris Rockwell
"Erlenmattstrasse 23, 4056 Basel",81064, Cirquit,/club.aspx?id=81064,"Wed, 1 May 2013",/event.aspx?453181,Dalibox
"Erlenmattstrasse 23, 4056 Basel",81064, Cirquit,/club.aspx?id=81064,"Tue, 30 Apr 2013",/event.aspx?453178,Michael Placke
"Erlenmattstrasse 23, 4056 Basel",81064, Cirquit,/club.aspx?id=81064,"Tue, 30 Apr 2013",/event.aspx?453178,Ned O`Neal
"Erlenmattstrasse 23, 4056 Basel",81064, Cirquit,/club.aspx?id=81064,"Sat, 28 Apr 2012",/event.aspx?354779,Morard
