club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Fri, 21 Dec 2012",/event.aspx?423790,Mark Faermont
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Fri, 23 Nov 2012",/event.aspx?502815,Jack Slaughter
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Sat, 10 Nov 2012",/event.aspx?423145,Junior D
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Sat, 27 Oct 2012",/event.aspx?417732,Bassbüro
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Sat, 27 Oct 2012",/event.aspx?417732,Junior D
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Fri, 19 Oct 2012",/event.aspx?414722,Kellerkind
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Fri, 19 Oct 2012",/event.aspx?414722,Sayan Sobuth
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Fri, 5 Oct 2012",/event.aspx?411273,Rich Braker
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Tue, 31 Dec 2013",/event.aspx?550535,PR3SNT
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Tue, 31 Dec 2013",/event.aspx?550535,Klangkosmetiker
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Tue, 31 Dec 2013",/event.aspx?550535,Yougene
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Fri, 27 Dec 2013",/event.aspx?550533,Luvin'Lou
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Fri, 27 Dec 2013",/event.aspx?550533,Bassbüro
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Fri, 20 Dec 2013",/event.aspx?549542,Adriatique
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Thu, 19 Dec 2013",/event.aspx?546848,Chi Thanh
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Thu, 12 Dec 2013",/event.aspx?547036,Tom Novy
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Thu, 28 Nov 2013",/event.aspx?542429,Andrea Oliva
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Thu, 28 Nov 2013",/event.aspx?542429,Adon
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Sat, 16 Nov 2013",/event.aspx?537216,Black Coffee
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Sat, 16 Nov 2013",/event.aspx?537216,Klangkosmetiker
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Fri, 18 Oct 2013",/event.aspx?529503,Alex Dallas
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Sat, 5 Oct 2013",/event.aspx?524125,Bassbüro
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Fri, 4 Oct 2013",/event.aspx?524572,Purple Disco Machine
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Fri, 4 Oct 2013",/event.aspx?524572,Yougene
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Sat, 28 Sep 2013",/event.aspx?522951,Audiowhores
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Sat, 28 Sep 2013",/event.aspx?522951,Klangkosmetiker
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Fri, 27 Sep 2013",/event.aspx?523072,Bassbüro
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Fri, 20 Sep 2013",/event.aspx?520758,Dario D'Attis
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Fri, 20 Sep 2013",/event.aspx?520758,Jack & the Jerk
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Sat, 14 Sep 2013",/event.aspx?519032,Bassbüro
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Fri, 13 Sep 2013",/event.aspx?519022,Mannequine
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Thu, 12 Sep 2013",/event.aspx?518368,HNQO
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Fri, 30 Aug 2013",/event.aspx?514022,Kyrill & Redford
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Fri, 30 Aug 2013",/event.aspx?514022,Paul Lomax
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Sat, 10 Aug 2013",/event.aspx?505893,Westbam
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Sat, 10 Aug 2013",/event.aspx?505893,Bassbüro
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Sat, 10 Aug 2013",/event.aspx?505893,Kapara
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Fri, 9 Aug 2013",/event.aspx?508540,Bassbüro
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Fri, 9 Aug 2013",/event.aspx?508540,Night Talk
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Fri, 9 Aug 2013",/event.aspx?508540,Sharam Jey
"Rämistrasse 6; 8001, Zürich",69196, Club Bellevue,/club.aspx?id=69196,"Sat, 27 Jul 2013",/event.aspx?504143,Kapara
