club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Neumarktstrasse 35; 2503, Biel",23441, Coupole,/club.aspx?id=23441,"Sun, 26 Dec 2010",/event.aspx?213923,NHB
"Neumarktstrasse 35; 2503, Biel",23441, Coupole,/club.aspx?id=23441,"Sun, 26 Dec 2010",/event.aspx?213923,Min & Mal
"Neumarktstrasse 35; 2503, Biel",23441, Coupole,/club.aspx?id=23441,"Sat, 18 Sep 2010",/event.aspx?195007,Alex Di Stefano
"Neumarktstrasse 35; 2503, Biel",23441, Coupole,/club.aspx?id=23441,"Sat, 18 Sep 2010",/event.aspx?195007,Cubex
"Neumarktstrasse 35; 2503, Biel",23441, Coupole,/club.aspx?id=23441,"Sat, 18 Sep 2010",/event.aspx?195007,Terzini Bros
"Neumarktstrasse 35; 2503, Biel",23441, Coupole,/club.aspx?id=23441,"Sat, 9 Jan 2010",/event.aspx?129216,Ark
"Neumarktstrasse 35; 2503, Biel",23441, Coupole,/club.aspx?id=23441,"Sat, 9 Jan 2010",/event.aspx?129216,Varoslav
"Neumarktstrasse 35; 2503, Biel",23441, Coupole,/club.aspx?id=23441,"Sat, 9 Jan 2010",/event.aspx?129216,Mia Kaltes
"Neumarktstrasse 35; 2503, Biel",23441, Coupole,/club.aspx?id=23441,"Mon, 14 Nov 2011",/event.aspx?310963,Dani Sbert
"Neumarktstrasse 35; 2503, Biel",23441, Coupole,/club.aspx?id=23441,"Sat, 8 Oct 2011",/event.aspx?294614,Zombie Disco Squad
"Neumarktstrasse 35; 2503, Biel",23441, Coupole,/club.aspx?id=23441,"Sat, 8 Oct 2011",/event.aspx?294614,Joyce Muniz
"Neumarktstrasse 35; 2503, Biel",23441, Coupole,/club.aspx?id=23441,"Sat, 8 Oct 2011",/event.aspx?294614,La Vie C'est Facile
"Neumarktstrasse 35; 2503, Biel",23441, Coupole,/club.aspx?id=23441,"Fri, 6 May 2011",/event.aspx?253877,Ezikiel
"Neumarktstrasse 35; 2503, Biel",23441, Coupole,/club.aspx?id=23441,"Fri, 6 May 2011",/event.aspx?253877,Tuncay Celik
"Neumarktstrasse 35; 2503, Biel",23441, Coupole,/club.aspx?id=23441,"Fri, 29 Apr 2011",/event.aspx?244701,Lars Moston
"Neumarktstrasse 35; 2503, Biel",23441, Coupole,/club.aspx?id=23441,"Fri, 29 Apr 2011",/event.aspx?244701,Malente
"Neumarktstrasse 35; 2503, Biel",23441, Coupole,/club.aspx?id=23441,"Sat, 16 Apr 2011",/event.aspx?247017,Joel Mull
"Neumarktstrasse 35; 2503, Biel",23441, Coupole,/club.aspx?id=23441,"Sat, 26 Feb 2011",/event.aspx?224201,Alejandro Mosso
