club_adress,club_id,club_name,club_ref,date,ref_event,artiste
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Sun, 9 Apr 2017",/event.aspx?910780,Sven Väth
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Sun, 9 Apr 2017",/event.aspx?910780,tINI
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Sun, 9 Apr 2017",/event.aspx?910780,Dana Ruh
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Sat, 8 Apr 2017",/event.aspx?910777,Seth Troxler
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Sat, 8 Apr 2017",/event.aspx?910777,Ricardo Villalobos
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Sat, 8 Apr 2017",/event.aspx?910777,John Talabot
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Sat, 8 Apr 2017",/event.aspx?910777,Axel Boman
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Sat, 8 Apr 2017",/event.aspx?910777,Ben Klock
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Sat, 8 Apr 2017",/event.aspx?910777,Marcel Dettmann
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Sat, 8 Apr 2017",/event.aspx?910777,Mano Le Tough
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Fri, 7 Apr 2017",/event.aspx?910769,The Martinez Brothers
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Fri, 7 Apr 2017",/event.aspx?910769,Jamie Jones
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Fri, 7 Apr 2017",/event.aspx?910769,Osunlade
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Thu, 6 Apr 2017",/event.aspx?910755,Marco Carola
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Thu, 6 Apr 2017",/event.aspx?910755,Marco Faraone
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Thu, 6 Apr 2017",/event.aspx?910755,Paco Osuna
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Thu, 7 Apr 2016",/event.aspx?787249,Adolpho & Franky
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Thu, 7 Apr 2016",/event.aspx?787249,Alci
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Thu, 7 Apr 2016",/event.aspx?787249,Âme
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Thu, 7 Apr 2016",/event.aspx?787249,DJ Tennis
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Thu, 7 Apr 2016",/event.aspx?787249,Eats Everything
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Thu, 7 Apr 2016",/event.aspx?787249,Guy Gerber
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Thu, 7 Apr 2016",/event.aspx?787249,Ilario Alicante
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Thu, 7 Apr 2016",/event.aspx?787249,Jamie Jones
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Thu, 7 Apr 2016",/event.aspx?787249,KiNK
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Thu, 7 Apr 2016",/event.aspx?787249,Kun (CH)
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Thu, 7 Apr 2016",/event.aspx?787249,Maceo Plex
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Thu, 7 Apr 2016",/event.aspx?787249,Magda
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Thu, 7 Apr 2016",/event.aspx?787249,Mathew Jonson
Crans-Montana,9019, Crans Montana,/club.aspx?id=9019,"Thu, 7 Apr 2016",/event.aspx?787249,Michel Cleis
