club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 4 Jun 2016",/event.aspx?846442,Sammy Dee
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 4 Jun 2016",/event.aspx?846442,Masa Saji
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 4 Jun 2016",/event.aspx?846442,Nicola Kazimir
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 4 Jun 2016",/event.aspx?846442,Georg Stuby
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 4 Jun 2016",/event.aspx?846442,Timoteo
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 4 Jun 2016",/event.aspx?846442,Andreas Ramos
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 7 May 2016",/event.aspx?827121,Mandar
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 7 May 2016",/event.aspx?827121,Lazare Hoche
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 7 May 2016",/event.aspx?827121,S.A.M.
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 7 May 2016",/event.aspx?827121,Malin Genie
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 7 May 2016",/event.aspx?827121,Georg Stuby
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 7 May 2016",/event.aspx?827121,James Mc Hale
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 7 May 2016",/event.aspx?827121,Nekow
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 2 Apr 2016",/event.aspx?815178,Rhadoo
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 2 Apr 2016",/event.aspx?815178,Greg Brockmann
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 2 Apr 2016",/event.aspx?815178,Sam Bangura
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 2 Apr 2016",/event.aspx?815178,Gunnar Guess
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 5 Mar 2016",/event.aspx?809469,Raresh
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 5 Mar 2016",/event.aspx?809469,Stipé
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 5 Mar 2016",/event.aspx?809469,Alci
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 5 Mar 2016",/event.aspx?809469,Hug & Schiemann
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 6 Feb 2016",/event.aspx?793889,Praslea
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 6 Feb 2016",/event.aspx?793889,Ian F
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 6 Feb 2016",/event.aspx?793889,Ajele
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 6 Feb 2016",/event.aspx?793889,Timoteo
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 12 Dec 2015",/event.aspx?781435,Petre Inspirescu
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 12 Dec 2015",/event.aspx?781435,Janina
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 12 Dec 2015",/event.aspx?781435,Eli Verveine
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 12 Dec 2015",/event.aspx?781435,Rozzo
"Zollstrasse 80, 8005 Zürich",111963, Eben Club,/club.aspx?id=111963,"Sat, 12 Dec 2015",/event.aspx?781435,Georg Stuby
