club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Sant Gallen, SWITZERLAND",59077, Elephant Club,/club.aspx?id=59077,"Fri, 23 May 2014",/event.aspx?591148,Andreas Henneberg
"Sant Gallen, SWITZERLAND",59077, Elephant Club,/club.aspx?id=59077,"Fri, 14 Feb 2014",/event.aspx?568280,Guti
"Sant Gallen, SWITZERLAND",59077, Elephant Club,/club.aspx?id=59077,"Fri, 18 Nov 2011",/event.aspx?360900,Boy George
"Sant Gallen, SWITZERLAND",59077, Elephant Club,/club.aspx?id=59077,"Fri, 18 Nov 2011",/event.aspx?360900,Marc Vedo
"Sant Gallen, SWITZERLAND",59077, Elephant Club,/club.aspx?id=59077,"Fri, 18 Nov 2011",/event.aspx?360900,Alex Lore
"Sant Gallen, SWITZERLAND",59077, Elephant Club,/club.aspx?id=59077,"Sat, 17 Sep 2011",/event.aspx?360923,Patric la Funk
"Sant Gallen, SWITZERLAND",59077, Elephant Club,/club.aspx?id=59077,"Sat, 17 Sep 2011",/event.aspx?360923,Alex Lore
"Sant Gallen, SWITZERLAND",59077, Elephant Club,/club.aspx?id=59077,"Sat, 11 Jun 2011",/event.aspx?360925,Alex Lore
"Sant Gallen, SWITZERLAND",59077, Elephant Club,/club.aspx?id=59077,"Sat, 21 May 2011",/event.aspx?360928,Junior Jack
"Sant Gallen, SWITZERLAND",59077, Elephant Club,/club.aspx?id=59077,"Sat, 21 May 2011",/event.aspx?360928,Kid Creme
"Sant Gallen, SWITZERLAND",59077, Elephant Club,/club.aspx?id=59077,"Sat, 21 May 2011",/event.aspx?360928,Alex Lore
"Sant Gallen, SWITZERLAND",59077, Elephant Club,/club.aspx?id=59077,"Sat, 21 May 2011",/event.aspx?360928,Dario Rivas
"Sant Gallen, SWITZERLAND",59077, Elephant Club,/club.aspx?id=59077,"Sat, 12 Dec 2009",/event.aspx?130789,Missy Jay
"Sant Gallen, SWITZERLAND",59077, Elephant Club,/club.aspx?id=59077,"Sun, 12 Apr 2009",/event.aspx?337586,Missy Jay
