club_adress,club_id,club_name,club_ref,date,ref_event,artiste
Frankfurt-Strasse 36 4142 Münchenstein,119991, Elysia,/club.aspx?id=119991,"Sat, 31 Dec 2016",/event.aspx?906106,Adrian Martin
Frankfurt-Strasse 36 4142 Münchenstein,119991, Elysia,/club.aspx?id=119991,"Sat, 31 Dec 2016",/event.aspx?906106,Ben Kaczor
Frankfurt-Strasse 36 4142 Münchenstein,119991, Elysia,/club.aspx?id=119991,"Sat, 31 Dec 2016",/event.aspx?906106,Elrino
Frankfurt-Strasse 36 4142 Münchenstein,119991, Elysia,/club.aspx?id=119991,"Sat, 31 Dec 2016",/event.aspx?906106,Kombé
Frankfurt-Strasse 36 4142 Münchenstein,119991, Elysia,/club.aspx?id=119991,"Sat, 31 Dec 2016",/event.aspx?906106,Opuswerk
Frankfurt-Strasse 36 4142 Münchenstein,119991, Elysia,/club.aspx?id=119991,"Sat, 31 Dec 2016",/event.aspx?906106,Philippe Jeanneret
Frankfurt-Strasse 36 4142 Münchenstein,119991, Elysia,/club.aspx?id=119991,"Sat, 31 Dec 2016",/event.aspx?906106,Simon Lemont
Frankfurt-Strasse 36 4142 Münchenstein,119991, Elysia,/club.aspx?id=119991,"Fri, 30 Dec 2016",/event.aspx?903175,Ripperton
Frankfurt-Strasse 36 4142 Münchenstein,119991, Elysia,/club.aspx?id=119991,"Fri, 30 Dec 2016",/event.aspx?903175,Quarion
Frankfurt-Strasse 36 4142 Münchenstein,119991, Elysia,/club.aspx?id=119991,"Fri, 30 Dec 2016",/event.aspx?903175,Alex Dallas
Frankfurt-Strasse 36 4142 Münchenstein,119991, Elysia,/club.aspx?id=119991,"Sun, 25 Dec 2016",/event.aspx?903173,Guido Schneider
Frankfurt-Strasse 36 4142 Münchenstein,119991, Elysia,/club.aspx?id=119991,"Sun, 25 Dec 2016",/event.aspx?903173,Daniel Dreier
Frankfurt-Strasse 36 4142 Münchenstein,119991, Elysia,/club.aspx?id=119991,"Sun, 25 Dec 2016",/event.aspx?903173,Dual Channel
Frankfurt-Strasse 36 4142 Münchenstein,119991, Elysia,/club.aspx?id=119991,"Sat, 24 Dec 2016",/event.aspx?903172,Aleqs Notal
Frankfurt-Strasse 36 4142 Münchenstein,119991, Elysia,/club.aspx?id=119991,"Sat, 24 Dec 2016",/event.aspx?903172,Medicis
Frankfurt-Strasse 36 4142 Münchenstein,119991, Elysia,/club.aspx?id=119991,"Sat, 24 Dec 2016",/event.aspx?903172,Kombé
Frankfurt-Strasse 36 4142 Münchenstein,119991, Elysia,/club.aspx?id=119991,"Fri, 23 Dec 2016",/event.aspx?903170,Luis Radio
Frankfurt-Strasse 36 4142 Münchenstein,119991, Elysia,/club.aspx?id=119991,"Sat, 17 Dec 2016",/event.aspx?903169,Roman Poncet
Frankfurt-Strasse 36 4142 Münchenstein,119991, Elysia,/club.aspx?id=119991,"Sat, 17 Dec 2016",/event.aspx?903169,Regal
Frankfurt-Strasse 36 4142 Münchenstein,119991, Elysia,/club.aspx?id=119991,"Sat, 17 Dec 2016",/event.aspx?903169,Ben Kaczor
Frankfurt-Strasse 36 4142 Münchenstein,119991, Elysia,/club.aspx?id=119991,"Fri, 16 Dec 2016",/event.aspx?903167,Jimi Jules
