club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Binningerstrasse 7, 4051 Basel",60478, Excellent Club,/club.aspx?id=60478,"Fri, 6 Apr 2012",/event.aspx?443341,Dalibox
"Binningerstrasse 7, 4051 Basel",60478, Excellent Club,/club.aspx?id=60478,"Fri, 6 Apr 2012",/event.aspx?443341,Sandro Falletta
"Binningerstrasse 7, 4051 Basel",60478, Excellent Club,/club.aspx?id=60478,"Sat, 17 Mar 2012",/event.aspx?348214,Santiago Cortes
"Binningerstrasse 7, 4051 Basel",60478, Excellent Club,/club.aspx?id=60478,"Sat, 10 Mar 2012",/event.aspx?443340,Josh Milan
"Binningerstrasse 7, 4051 Basel",60478, Excellent Club,/club.aspx?id=60478,"Sat, 10 Mar 2012",/event.aspx?443340,Miss Lollipop
"Binningerstrasse 7, 4051 Basel",60478, Excellent Club,/club.aspx?id=60478,"Sat, 10 Mar 2012",/event.aspx?443340,Sandro Falletta
"Binningerstrasse 7, 4051 Basel",60478, Excellent Club,/club.aspx?id=60478,"Sat, 10 Mar 2012",/event.aspx?443340,Dalibox
"Binningerstrasse 7, 4051 Basel",60478, Excellent Club,/club.aspx?id=60478,"Sun, 26 Feb 2012",/event.aspx?443337,Dalibox
"Binningerstrasse 7, 4051 Basel",60478, Excellent Club,/club.aspx?id=60478,"Sun, 26 Feb 2012",/event.aspx?443337,Sandro Falletta
"Binningerstrasse 7, 4051 Basel",60478, Excellent Club,/club.aspx?id=60478,"Fri, 17 Feb 2012",/event.aspx?443335,Sandro Falletta
"Binningerstrasse 7, 4051 Basel",60478, Excellent Club,/club.aspx?id=60478,"Fri, 17 Feb 2012",/event.aspx?443335,Dalibox
"Binningerstrasse 7, 4051 Basel",60478, Excellent Club,/club.aspx?id=60478,"Fri, 3 Jun 2011",/event.aspx?895161,Josh Milan
