club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Hardstrasse 245; 8005, Zürich",19153, Exil,/club.aspx?id=19153,"Sat, 25 Jul 2009",/event.aspx?104701,Atom TM
"Hardstrasse 245; 8005, Zürich",19153, Exil,/club.aspx?id=19153,"Fri, 26 Nov 2010",/event.aspx?209448,Michal Ho
"Hardstrasse 245; 8005, Zürich",19153, Exil,/club.aspx?id=19153,"Fri, 26 Nov 2010",/event.aspx?209448,Klein und Lang
"Hardstrasse 245; 8005, Zürich",19153, Exil,/club.aspx?id=19153,"Fri, 19 Nov 2010",/event.aspx?207081,Mitsutek
"Hardstrasse 245; 8005, Zürich",19153, Exil,/club.aspx?id=19153,"Fri, 19 Nov 2010",/event.aspx?207081,Monome
"Hardstrasse 245; 8005, Zürich",19153, Exil,/club.aspx?id=19153,"Wed, 27 Oct 2010",/event.aspx?194555,Toro Y Moi
"Hardstrasse 245; 8005, Zürich",19153, Exil,/club.aspx?id=19153,"Fri, 15 Oct 2010",/event.aspx?192465,Oy
"Hardstrasse 245; 8005, Zürich",19153, Exil,/club.aspx?id=19153,"Fri, 15 Oct 2010",/event.aspx?192465,Larytta
"Hardstrasse 245; 8005, Zürich",19153, Exil,/club.aspx?id=19153,"Fri, 15 Oct 2010",/event.aspx?192465,Starting Teeth
"Hardstrasse 245; 8005, Zürich",19153, Exil,/club.aspx?id=19153,"Fri, 8 Oct 2010",/event.aspx?194550,Alex Dallas
"Hardstrasse 245; 8005, Zürich",19153, Exil,/club.aspx?id=19153,"Fri, 17 Sep 2010",/event.aspx?183132,Atom™
"Hardstrasse 245; 8005, Zürich",19153, Exil,/club.aspx?id=19153,"Sat, 11 Sep 2010",/event.aspx?185378,Kalabrese
"Hardstrasse 245; 8005, Zürich",19153, Exil,/club.aspx?id=19153,"Sat, 11 Sep 2010",/event.aspx?185378,Lexx
"Hardstrasse 245; 8005, Zürich",19153, Exil,/club.aspx?id=19153,"Sat, 11 Sep 2010",/event.aspx?185378,Dejan
"Hardstrasse 245; 8005, Zürich",19153, Exil,/club.aspx?id=19153,"Sat, 17 Jul 2010",/event.aspx?175668,Matias Aguayo
"Hardstrasse 245; 8005, Zürich",19153, Exil,/club.aspx?id=19153,"Sat, 17 Jul 2010",/event.aspx?175668,Kalabrese
"Hardstrasse 245; 8005, Zürich",19153, Exil,/club.aspx?id=19153,"Sat, 17 Jul 2010",/event.aspx?175668,Dejan
"Hardstrasse 245; 8005, Zürich",19153, Exil,/club.aspx?id=19153,"Wed, 12 May 2010",/event.aspx?160610,Beda
"Hardstrasse 245; 8005, Zürich",19153, Exil,/club.aspx?id=19153,"Wed, 12 May 2010",/event.aspx?160610,Knor
"Hardstrasse 245; 8005, Zürich",19153, Exil,/club.aspx?id=19153,"Fri, 30 Apr 2010",/event.aspx?164663,Dollar Mambo
