club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Wed, 1 Jan 2014",/event.aspx?835527,James Mc Hale
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Wed, 1 Jan 2014",/event.aspx?835527,Luca de Grandis
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Wed, 1 Jan 2014",/event.aspx?835527,Liv Stone
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Wed, 1 Jan 2014",/event.aspx?835527,Skaos
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 14 Dec 2013",/event.aspx?539457,Skaos
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 2 Jun 2012",/event.aspx?364473,Dürerstuben
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 2 Jun 2012",/event.aspx?364473,Andri
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 2 Jun 2012",/event.aspx?364473,Tadeo Doberska
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 2 Jun 2012",/event.aspx?364473,Jan Penarrubia
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 2 Jun 2012",/event.aspx?364473,Mike Teixeira
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 2 Jun 2012",/event.aspx?364473,Rico Rausch
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 2 Jun 2012",/event.aspx?364473,Das Balz
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 26 May 2012",/event.aspx?372535,Huazee
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 26 May 2012",/event.aspx?372535,Amelie
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Fri, 25 May 2012",/event.aspx?371773,Nico Lahs
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Fri, 25 May 2012",/event.aspx?371773,Nick Nasty
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Fri, 25 May 2012",/event.aspx?371773,Patrick Podage
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Fri, 25 May 2012",/event.aspx?371773,buraq
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 12 May 2012",/event.aspx?366044,Markus Homm
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 12 May 2012",/event.aspx?366044,Mihai Popoviciu
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 12 May 2012",/event.aspx?366044,Nicola Koch
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Fri, 27 Apr 2012",/event.aspx?361800,Lukas Kleesattel
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Fri, 27 Apr 2012",/event.aspx?361800,Adriano Mirabile
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 21 Apr 2012",/event.aspx?353536,Christian Burkhardt
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 21 Apr 2012",/event.aspx?353536,Jon Donson
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 21 Apr 2012",/event.aspx?353536,Freiberg
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 31 Mar 2012",/event.aspx?353533,Jeremy P. Caulfield
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 31 Mar 2012",/event.aspx?353533,Dauwalder
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Fri, 30 Mar 2012",/event.aspx?353532,Nakadia
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Fri, 30 Mar 2012",/event.aspx?353532,Das Balz
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Fri, 23 Mar 2012",/event.aspx?347745,Chris Tietjen
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Fri, 23 Mar 2012",/event.aspx?347745,Luca de Grandis
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Fri, 23 Mar 2012",/event.aspx?347745,Jan Penarrubia
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Fri, 23 Mar 2012",/event.aspx?347745,Rico Rausch
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 17 Mar 2012",/event.aspx?342930,Ingo Boss
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 17 Mar 2012",/event.aspx?342930,Kellerkind
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 17 Mar 2012",/event.aspx?342930,Skaos
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Fri, 16 Mar 2012",/event.aspx?346517,Huazee
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Wed, 14 Mar 2012",/event.aspx?355195,Mike Väth
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Wed, 14 Mar 2012",/event.aspx?355195,Audionatica
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 10 Mar 2012",/event.aspx?341507,Ramon Tapia
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 10 Mar 2012",/event.aspx?341507,Patrick Podage
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 10 Mar 2012",/event.aspx?341507,Nicola Koch
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Fri, 9 Mar 2012",/event.aspx?344807,Tagträumer²
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Fri, 9 Mar 2012",/event.aspx?344807,buraq
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 3 Mar 2012",/event.aspx?344481,H.O.S.H
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 3 Mar 2012",/event.aspx?344481,Paul Lomax
"Ey 5A; 3063, Ittigen",46908, Ey5 Club,/club.aspx?id=46908,"Sat, 3 Mar 2012",/event.aspx?344481,Tremendo
