club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Fri, 29 May 2015",/event.aspx?714557,Stilbruch
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Fri, 17 Oct 2014",/event.aspx?630567,Miro Pajic
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Fri, 17 Oct 2014",/event.aspx?630567,Boris Why
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Sat, 4 Oct 2014",/event.aspx?630482,Marshall White
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Sat, 4 Oct 2014",/event.aspx?630482,Nader
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Sat, 4 Oct 2014",/event.aspx?630482,Boris Why
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Sat, 4 Oct 2014",/event.aspx?630482,Mike Teixeira
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Sat, 4 Oct 2014",/event.aspx?630482,Corpataux
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Sat, 15 Mar 2014",/event.aspx?572547,Thomas A.S.
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Sat, 15 Mar 2014",/event.aspx?572547,Jan Penarrubia
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Fri, 28 Feb 2014",/event.aspx?559458,Kollektiv KlangGut
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Fri, 28 Feb 2014",/event.aspx?559458,Ned O`Neal
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Fri, 28 Feb 2014",/event.aspx?559458,Chris Rockwell
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Sat, 1 Feb 2014",/event.aspx?546345,Enzo Siffredi
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Sat, 1 Feb 2014",/event.aspx?546345,Nicola Koch
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Sat, 1 Feb 2014",/event.aspx?546345,Le Bérger
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Sat, 1 Feb 2014",/event.aspx?560476,Enzo Siffredi
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Sat, 1 Feb 2014",/event.aspx?560476,Nicola Koch
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Sat, 1 Feb 2014",/event.aspx?560476,Le Bérger
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Sat, 21 Dec 2013",/event.aspx?541689,Tobi Hoeppner
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Sat, 9 Nov 2013",/event.aspx?533411,Adrian Bergmann
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Sat, 9 Nov 2013",/event.aspx?533411,Le Bérger
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Sat, 24 Aug 2013",/event.aspx?511318,Nici Faerber
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Sat, 24 Aug 2013",/event.aspx?511318,Thom Nagy
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Sat, 24 Aug 2013",/event.aspx?511318,Das Balz
"Parkstrassse 16, 3012 Bern",82306, Four Club,/club.aspx?id=82306,"Sat, 24 Aug 2013",/event.aspx?511318,Adrian Bergmann
