club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Route de la Fonderie 13; 700, Fribourg",8780, Fri-Son,/club.aspx?id=8780,"Sat, 1 Apr 2006",/event.aspx?44070,Sinner DC
"Route de la Fonderie 13; 700, Fribourg",8780, Fri-Son,/club.aspx?id=8780,"Sat, 1 Apr 2006",/event.aspx?44070,Black Dice
"Route de la Fonderie 13; 700, Fribourg",8780, Fri-Son,/club.aspx?id=8780,"Tue, 8 Apr 2008",/event.aspx?63154,Titonton Duvante
"Route de la Fonderie 13; 700, Fribourg",8780, Fri-Son,/club.aspx?id=8780,"Fri, 29 Feb 2008",/event.aspx?43622,Chaton
"Route de la Fonderie 13; 700, Fribourg",8780, Fri-Son,/club.aspx?id=8780,"Fri, 29 Feb 2008",/event.aspx?43622,Quarion
"Route de la Fonderie 13; 700, Fribourg",8780, Fri-Son,/club.aspx?id=8780,"Fri, 22 Jan 2010",/event.aspx?136447,Jagged
"Route de la Fonderie 13; 700, Fribourg",8780, Fri-Son,/club.aspx?id=8780,"Sat, 26 Nov 2011",/event.aspx?306534,Kangding Ray
"Route de la Fonderie 13; 700, Fribourg",8780, Fri-Son,/club.aspx?id=8780,"Sat, 26 Nov 2011",/event.aspx?306534,Consor
"Route de la Fonderie 13; 700, Fribourg",8780, Fri-Son,/club.aspx?id=8780,"Sat, 26 Nov 2011",/event.aspx?306534,Julien Aubert
"Route de la Fonderie 13; 700, Fribourg",8780, Fri-Son,/club.aspx?id=8780,"Sat, 12 Feb 2011",/event.aspx?231474,DVW
"Route de la Fonderie 13; 700, Fribourg",8780, Fri-Son,/club.aspx?id=8780,"Sat, 12 Feb 2011",/event.aspx?231474,Beats On Demand
"Route de la Fonderie 13; 700, Fribourg",8780, Fri-Son,/club.aspx?id=8780,"Sat, 24 Nov 2012",/event.aspx?422421,Mike Wall
"Route de la Fonderie 13; 700, Fribourg",8780, Fri-Son,/club.aspx?id=8780,"Sat, 24 Nov 2012",/event.aspx?422421,D-andy & T-rony
