club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Châtelaine, Chemin de l'Etang 55, 1219 Châtelaine",112458, Grand Central,/club.aspx?id=112458,"Sun, 14 Feb 2016",/event.aspx?791984,Jeff Mills
"Châtelaine, Chemin de l'Etang 55, 1219 Châtelaine",112458, Grand Central,/club.aspx?id=112458,"Sat, 13 Feb 2016",/event.aspx?791976,Cassy
"Châtelaine, Chemin de l'Etang 55, 1219 Châtelaine",112458, Grand Central,/club.aspx?id=112458,"Sat, 13 Feb 2016",/event.aspx?791976,Fred P
"Châtelaine, Chemin de l'Etang 55, 1219 Châtelaine",112458, Grand Central,/club.aspx?id=112458,"Sat, 13 Feb 2016",/event.aspx?791976,Shanti Celeste
"Châtelaine, Chemin de l'Etang 55, 1219 Châtelaine",112458, Grand Central,/club.aspx?id=112458,"Sat, 13 Feb 2016",/event.aspx?791976,yAn!
"Châtelaine, Chemin de l'Etang 55, 1219 Châtelaine",112458, Grand Central,/club.aspx?id=112458,"Sat, 13 Feb 2016",/event.aspx?791976,Jessie (CH)
"Châtelaine, Chemin de l'Etang 55, 1219 Châtelaine",112458, Grand Central,/club.aspx?id=112458,"Fri, 12 Feb 2016",/event.aspx?791972,Efdemin
"Châtelaine, Chemin de l'Etang 55, 1219 Châtelaine",112458, Grand Central,/club.aspx?id=112458,"Fri, 12 Feb 2016",/event.aspx?791972,Psyk
"Châtelaine, Chemin de l'Etang 55, 1219 Châtelaine",112458, Grand Central,/club.aspx?id=112458,"Fri, 12 Feb 2016",/event.aspx?791972,Matrixxman
"Châtelaine, Chemin de l'Etang 55, 1219 Châtelaine",112458, Grand Central,/club.aspx?id=112458,"Fri, 12 Feb 2016",/event.aspx?791972,Se-te-ve
"Châtelaine, Chemin de l'Etang 55, 1219 Châtelaine",112458, Grand Central,/club.aspx?id=112458,"Fri, 12 Feb 2016",/event.aspx?791972,Sins
"Châtelaine, Chemin de l'Etang 55, 1219 Châtelaine",112458, Grand Central,/club.aspx?id=112458,"Fri, 12 Feb 2016",/event.aspx?791972,GaLaBar
"Châtelaine, Chemin de l'Etang 55, 1219 Châtelaine",112458, Grand Central,/club.aspx?id=112458,"Fri, 12 Feb 2016",/event.aspx?791972,Alan Bolumar
"Châtelaine, Chemin de l'Etang 55, 1219 Châtelaine",112458, Grand Central,/club.aspx?id=112458,"Sat, 6 Feb 2016",/event.aspx?791959,Black Coffee
"Châtelaine, Chemin de l'Etang 55, 1219 Châtelaine",112458, Grand Central,/club.aspx?id=112458,"Sat, 6 Feb 2016",/event.aspx?791959,Culoe De Song
"Châtelaine, Chemin de l'Etang 55, 1219 Châtelaine",112458, Grand Central,/club.aspx?id=112458,"Sat, 6 Feb 2016",/event.aspx?791959,Nozinja
"Châtelaine, Chemin de l'Etang 55, 1219 Châtelaine",112458, Grand Central,/club.aspx?id=112458,"Sat, 6 Feb 2016",/event.aspx?791959,Card On Spokes
"Châtelaine, Chemin de l'Etang 55, 1219 Châtelaine",112458, Grand Central,/club.aspx?id=112458,"Thu, 4 Feb 2016",/event.aspx?791968,Dan Shake
"Châtelaine, Chemin de l'Etang 55, 1219 Châtelaine",112458, Grand Central,/club.aspx?id=112458,"Thu, 4 Feb 2016",/event.aspx?791968,Reas
"Châtelaine, Chemin de l'Etang 55, 1219 Châtelaine",112458, Grand Central,/club.aspx?id=112458,"Sat, 30 Jan 2016",/event.aspx?791954,Brodinski
"Châtelaine, Chemin de l'Etang 55, 1219 Châtelaine",112458, Grand Central,/club.aspx?id=112458,"Sat, 30 Jan 2016",/event.aspx?791954,Bok Bok
"Châtelaine, Chemin de l'Etang 55, 1219 Châtelaine",112458, Grand Central,/club.aspx?id=112458,"Sat, 30 Jan 2016",/event.aspx?791954,Moxie
