club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Place de l'Ile 1; 1200, Genève",26893, Halle De L'Ile,/club.aspx?id=26893,"Fri, 18 Oct 2013",/event.aspx?514063,Paul Eg
"Place de l'Ile 1; 1200, Genève",26893, Halle De L'Ile,/club.aspx?id=26893,"Fri, 23 Aug 2013",/event.aspx?513107,Zest
"Place de l'Ile 1; 1200, Genève",26893, Halle De L'Ile,/club.aspx?id=26893,"Thu, 25 Oct 2012",/event.aspx?417999,Jeff Swing
"Place de l'Ile 1; 1200, Genève",26893, Halle De L'Ile,/club.aspx?id=26893,"Thu, 25 Oct 2012",/event.aspx?417999,Cosmokolor
"Place de l'Ile 1; 1200, Genève",26893, Halle De L'Ile,/club.aspx?id=26893,"Sat, 1 Sep 2012",/event.aspx?399312,Jeff Swing
"Place de l'Ile 1; 1200, Genève",26893, Halle De L'Ile,/club.aspx?id=26893,"Thu, 16 Aug 2012",/event.aspx?395468,Philippe Petit
"Place de l'Ile 1; 1200, Genève",26893, Halle De L'Ile,/club.aspx?id=26893,"Fri, 10 Aug 2012",/event.aspx?393304,Opuswerk
"Place de l'Ile 1; 1200, Genève",26893, Halle De L'Ile,/club.aspx?id=26893,"Thu, 29 Sep 2011",/event.aspx?295731,Mr. Jonk
"Place de l'Ile 1; 1200, Genève",26893, Halle De L'Ile,/club.aspx?id=26893,"Fri, 3 Jun 2011",/event.aspx?258557,Kim Prevedello
"Place de l'Ile 1; 1200, Genève",26893, Halle De L'Ile,/club.aspx?id=26893,"Sat, 12 Mar 2011",/event.aspx?240325,DJ Dub
"Place de l'Ile 1; 1200, Genève",26893, Halle De L'Ile,/club.aspx?id=26893,"Thu, 10 Feb 2011",/event.aspx?229077,Opuswerk
"Place de l'Ile 1; 1200, Genève",26893, Halle De L'Ile,/club.aspx?id=26893,"Sat, 13 Nov 2010",/event.aspx?206058,Magic Mixers
"Place de l'Ile 1; 1200, Genève",26893, Halle De L'Ile,/club.aspx?id=26893,"Sat, 13 Nov 2010",/event.aspx?206058,Clem
"Place de l'Ile 1; 1200, Genève",26893, Halle De L'Ile,/club.aspx?id=26893,"Sat, 16 Oct 2010",/event.aspx?194978,Kim Prevedello
"Place de l'Ile 1; 1200, Genève",26893, Halle De L'Ile,/club.aspx?id=26893,"Sat, 11 Sep 2010",/event.aspx?189842,Jeff Swing
"Place de l'Ile 1; 1200, Genève",26893, Halle De L'Ile,/club.aspx?id=26893,"Sat, 11 Sep 2010",/event.aspx?189842,Juliano Lopez
