club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Fri, 20 Jan 2017",/event.aspx?915102,Joyce Muniz
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Fri, 20 Jan 2017",/event.aspx?915102,Herzschwester
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Sat, 31 Dec 2016",/event.aspx?906648,Nico Wilde
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Sat, 31 Dec 2016",/event.aspx?906648,Rafeeq
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Sat, 24 Dec 2016",/event.aspx?906647,Sabb
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Sat, 10 Dec 2016",/event.aspx?901146,Alex Niggemann
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Fri, 2 Dec 2016",/event.aspx?900503,SIOPIS
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Fri, 2 Dec 2016",/event.aspx?900503,Pawlikowski
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Fri, 2 Dec 2016",/event.aspx?900503,Nico Wilde
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Fri, 2 Dec 2016",/event.aspx?900503,Rafeeq
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Sat, 26 Nov 2016",/event.aspx?893345,Alexkid
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Fri, 18 Nov 2016",/event.aspx?893951,Ben Kaczor
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Fri, 18 Nov 2016",/event.aspx?893951,Kombé
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Sat, 12 Nov 2016",/event.aspx?893953,Nico Wilde
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Fri, 11 Nov 2016",/event.aspx?895113,Aalbou
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Sat, 29 Oct 2016",/event.aspx?883221,Valentino Mora
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Sat, 29 Oct 2016",/event.aspx?883221,Kombé
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Fri, 21 Oct 2016",/event.aspx?884682,David Keno
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Fri, 21 Oct 2016",/event.aspx?884682,Aalbou
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Sat, 15 Oct 2016",/event.aspx?883218,Don Ramon
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Sat, 8 Oct 2016",/event.aspx?880846,Darius Syrossian
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Sat, 8 Oct 2016",/event.aspx?880846,Matthias Meyer
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Sat, 8 Oct 2016",/event.aspx?880846,Malicious Joy
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Sat, 8 Oct 2016",/event.aspx?880846,Pawlikowski
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Sat, 8 Oct 2016",/event.aspx?880846,Aalbou
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Sat, 1 Oct 2016",/event.aspx?883220,Avem
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Sat, 1 Oct 2016",/event.aspx?883220,Caleesi
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Sat, 1 Oct 2016",/event.aspx?883220,Nico Wilde
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Sat, 1 Oct 2016",/event.aspx?883220,Pawlikowski
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Sat, 1 Oct 2016",/event.aspx?883220,Rafeeq
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Sat, 24 Sep 2016",/event.aspx?880836,Tim Green
"Erlenstrasse 59; 4057, Basel",124717, Heimat Basel,/club.aspx?id=124717,"Sat, 24 Sep 2016",/event.aspx?880836,Pawlikowski
