club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Sat, 11 Oct 2008",/event.aspx?67311,Robert Dietz
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 18 Dec 2009",/event.aspx?129786,Pixelpunks
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 4 Dec 2009",/event.aspx?129779,Move D
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 18 Sep 2009",/event.aspx?115156,Gregorythme
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 21 Aug 2009",/event.aspx?113971,Dario Zenker
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 21 Aug 2009",/event.aspx?113971,Robel
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Sat, 23 May 2009",/event.aspx?99194,Sonja Moonear
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Sat, 14 Mar 2009",/event.aspx?87685,Ajele
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Sat, 14 Mar 2009",/event.aspx?87685,Gorancon
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Sat, 7 Mar 2009",/event.aspx?85682,Deetron
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Sat, 27 Nov 2010",/event.aspx?212660,Jeremy P. Caulfield
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Sat, 27 Nov 2010",/event.aspx?212660,Gorançon
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 22 Oct 2010",/event.aspx?195371,Galoppierende Zuversicht
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 24 Sep 2010",/event.aspx?191418,Felipe Valenzuela
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 24 Sep 2010",/event.aspx?191418,Tremendo
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Sat, 18 Sep 2010",/event.aspx?191415,Kalabrese
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Sat, 18 Sep 2010",/event.aspx?191415,Serafin
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 30 Sep 2011",/event.aspx?294550,Chez Damier
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 30 Sep 2011",/event.aspx?294550,Demetrio Giannice
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 30 Sep 2011",/event.aspx?294550,Shaka
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 30 Sep 2011",/event.aspx?294550,Robel
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 18 Mar 2011",/event.aspx?233242,Ernesto Ferreyra
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 18 Mar 2011",/event.aspx?233242,Tremendo
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 21 Jan 2011",/event.aspx?224702,Robel
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 21 Jan 2011",/event.aspx?224702,Gorançon
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 23 Nov 2012",/event.aspx?426880,Sammy Dee
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 30 Mar 2012",/event.aspx?345647,Gerd Janson
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 30 Mar 2012",/event.aspx?345647,Robel
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 30 Mar 2012",/event.aspx?345647,Rodri
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 27 Sep 2013",/event.aspx?519830,Canson
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Mon, 2 Sep 2013",/event.aspx?835603,Re-UP
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Mon, 2 Sep 2013",/event.aspx?835603,James Mc Hale
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 24 May 2013",/event.aspx?467843,Paul Messing
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 24 May 2013",/event.aspx?467843,Daniel Kovac
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Sat, 11 May 2013",/event.aspx?467841,Dyed Soundorom
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Sat, 11 May 2013",/event.aspx?467841,Jacob Korn
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Sat, 11 May 2013",/event.aspx?467841,Serafin
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Sun, 14 Apr 2013",/event.aspx?467840,Motor City Drum Ensemble
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Sun, 14 Apr 2013",/event.aspx?467840,Replika
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Sun, 14 Apr 2013",/event.aspx?467840,Robel
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 5 Apr 2013",/event.aspx?467839,Radio Slave
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 5 Apr 2013",/event.aspx?467839,Jon Donson
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 8 Mar 2013",/event.aspx?458619,Franco Cinelli
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 22 Feb 2013",/event.aspx?455164,Carsten Jost
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 22 Feb 2013",/event.aspx?455164,Replika
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 22 Feb 2013",/event.aspx?455164,Huazee
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 11 Jan 2013",/event.aspx?438233,Motor City Drum Ensemble
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 11 Jan 2013",/event.aspx?438233,Huazee
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 11 Jan 2013",/event.aspx?438233,Rodri
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 12 Dec 2014",/event.aspx?663296,Andrey Pushkarev
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 26 Sep 2014",/event.aspx?638542,Gregorythme
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 4 Jul 2014",/event.aspx?606590,Nici Faerber
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 4 Jul 2014",/event.aspx?606590,Pablo Einzig
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 27 Jun 2014",/event.aspx?606588,Niko Schwind
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 27 Jun 2014",/event.aspx?606588,Kellerkind
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 13 Jun 2014",/event.aspx?606582,Danny Faber
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 6 Jun 2014",/event.aspx?594913,Markus Lindner
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Sat, 17 May 2014",/event.aspx?594911,Thomas Melchior
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Sat, 17 May 2014",/event.aspx?594911,Kalabrese
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Sat, 17 May 2014",/event.aspx?594911,Rozzo
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Sat, 17 May 2014",/event.aspx?594911,Serafin
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 9 May 2014",/event.aspx?594912,Mathias Kaden
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 25 Apr 2014",/event.aspx?585299,Prosumer
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 28 Mar 2014",/event.aspx?573087,Peter Schumann
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 21 Mar 2014",/event.aspx?573086,Kellerkind
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 21 Mar 2014",/event.aspx?573086,Jimi Jules
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Sat, 15 Mar 2014",/event.aspx?573084,Audino
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Sat, 15 Mar 2014",/event.aspx?573084,Barbir
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Sat, 15 Mar 2014",/event.aspx?573084,Nicola Kazimir
"Fabrikstrasse 1; 4500, Solothurn",13138, Hidden Club,/club.aspx?id=13138,"Fri, 21 Feb 2014",/event.aspx?558051,Washerman
