club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 18 Jun 2016",/event.aspx?838472,Jamie Jones
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 18 Jun 2016",/event.aspx?838472,Andhim
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 18 Jun 2016",/event.aspx?838472,Dirty Doering
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 18 Jun 2016",/event.aspx?838472,Animal Trainer
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 18 Jun 2016",/event.aspx?838472,Dario D'Attis
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 18 Jun 2016",/event.aspx?838472,Kellerkind
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 18 Jun 2016",/event.aspx?838472,Ezikiel
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 18 Jun 2016",/event.aspx?838472,Sabb
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 18 Jun 2016",/event.aspx?838472,Reto Ardour
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 18 Jun 2016",/event.aspx?838472,Manuel Moreno
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 18 Jun 2016",/event.aspx?838472,Fat Sushi
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 18 Jun 2016",/event.aspx?838472,Vanita
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 18 Jun 2016",/event.aspx?838472,Dejan
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 18 Jun 2016",/event.aspx?838472,Soame
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 18 Jun 2016",/event.aspx?838472,Raphaello
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 27 Jun 2015",/event.aspx?712597,Seth Troxler
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 27 Jun 2015",/event.aspx?712597,Adriatique
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 27 Jun 2015",/event.aspx?712597,Butch
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 27 Jun 2015",/event.aspx?712597,Davide Squillace
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 27 Jun 2015",/event.aspx?712597,Bas Ibellini
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 27 Jun 2015",/event.aspx?712597,Kellerkind
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 27 Jun 2015",/event.aspx?712597,Nici Faerber
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 27 Jun 2015",/event.aspx?712597,Juen & Bach
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 27 Jun 2015",/event.aspx?712597,Darrien
"Horn, 8714 Richterswil",104174, Horn Richterswil,/club.aspx?id=104174,"Sat, 27 Jun 2015",/event.aspx?712597,Pazkal
