club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Neubrueckstrasse 10, 3012 Bern",52707, Isc Bern,/club.aspx?id=52707,"Thu, 17 Nov 2016",/event.aspx?887495,Dave Eleanor
"Neubrueckstrasse 10, 3012 Bern",52707, Isc Bern,/club.aspx?id=52707,"Sat, 29 Mar 2014",/event.aspx?576468,Jessica Diaz
"Neubrueckstrasse 10, 3012 Bern",52707, Isc Bern,/club.aspx?id=52707,"Sat, 29 Mar 2014",/event.aspx?576468,Nicola Koch
"Neubrueckstrasse 10, 3012 Bern",52707, Isc Bern,/club.aspx?id=52707,"Fri, 5 Apr 2013",/event.aspx?462650,Seb Zito
"Neubrueckstrasse 10, 3012 Bern",52707, Isc Bern,/club.aspx?id=52707,"Fri, 5 Apr 2013",/event.aspx?462650,Nicola Koch
"Neubrueckstrasse 10, 3012 Bern",52707, Isc Bern,/club.aspx?id=52707,"Fri, 17 Feb 2012",/event.aspx?326416,Sassy J
"Neubrueckstrasse 10, 3012 Bern",52707, Isc Bern,/club.aspx?id=52707,"Fri, 17 Feb 2012",/event.aspx?326416,Kev the Head
"Neubrueckstrasse 10, 3012 Bern",52707, Isc Bern,/club.aspx?id=52707,"Fri, 17 Feb 2012",/event.aspx?326416,Al Tourettes
"Neubrueckstrasse 10, 3012 Bern",52707, Isc Bern,/club.aspx?id=52707,"Fri, 2 Dec 2011",/event.aspx?293772,Sassy J
"Neubrueckstrasse 10, 3012 Bern",52707, Isc Bern,/club.aspx?id=52707,"Fri, 2 Dec 2011",/event.aspx?293772,Kev the Head
"Neubrueckstrasse 10, 3012 Bern",52707, Isc Bern,/club.aspx?id=52707,"Fri, 30 Sep 2011",/event.aspx?293769,Ben UFO
"Neubrueckstrasse 10, 3012 Bern",52707, Isc Bern,/club.aspx?id=52707,"Fri, 30 Sep 2011",/event.aspx?293769,Sassy J
"Neubrueckstrasse 10, 3012 Bern",52707, Isc Bern,/club.aspx?id=52707,"Fri, 30 Sep 2011",/event.aspx?293769,Kev the Head
