club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Chemin des Batailles, 1214 VERNIER (GENEVE), Suisse",50221, Jetlag Geneva Club,/club.aspx?id=50221,"Fri, 17 Jan 2014",/event.aspx?550192,Karan Shah
"Chemin des Batailles, 1214 VERNIER (GENEVE), Suisse",50221, Jetlag Geneva Club,/club.aspx?id=50221,"Fri, 17 Jan 2014",/event.aspx?550192,Alek X
"Chemin des Batailles, 1214 VERNIER (GENEVE), Suisse",50221, Jetlag Geneva Club,/club.aspx?id=50221,"Sat, 27 Jul 2013",/event.aspx?496060,Ken Wan
"Chemin des Batailles, 1214 VERNIER (GENEVE), Suisse",50221, Jetlag Geneva Club,/club.aspx?id=50221,"Sat, 11 Feb 2012",/event.aspx?333585,JP Chronic
"Chemin des Batailles, 1214 VERNIER (GENEVE), Suisse",50221, Jetlag Geneva Club,/club.aspx?id=50221,"Sat, 11 Feb 2012",/event.aspx?333585,Jeem Collins
"Chemin des Batailles, 1214 VERNIER (GENEVE), Suisse",50221, Jetlag Geneva Club,/club.aspx?id=50221,"Fri, 30 Dec 2011",/event.aspx?324210,Jeem Collins
"Chemin des Batailles, 1214 VERNIER (GENEVE), Suisse",50221, Jetlag Geneva Club,/club.aspx?id=50221,"Fri, 18 Nov 2011",/event.aspx?309171,Jeem Collins
"Chemin des Batailles, 1214 VERNIER (GENEVE), Suisse",50221, Jetlag Geneva Club,/club.aspx?id=50221,"Fri, 18 Nov 2011",/event.aspx?309171,Stephane Lando
"Chemin des Batailles, 1214 VERNIER (GENEVE), Suisse",50221, Jetlag Geneva Club,/club.aspx?id=50221,"Sat, 1 Oct 2011",/event.aspx?278846,Pleasurekraft
"Chemin des Batailles, 1214 VERNIER (GENEVE), Suisse",50221, Jetlag Geneva Club,/club.aspx?id=50221,"Sat, 1 Oct 2011",/event.aspx?278846,Jeem Collins
"Chemin des Batailles, 1214 VERNIER (GENEVE), Suisse",50221, Jetlag Geneva Club,/club.aspx?id=50221,"Sat, 3 Sep 2011",/event.aspx?278845,Lilith
"Chemin des Batailles, 1214 VERNIER (GENEVE), Suisse",50221, Jetlag Geneva Club,/club.aspx?id=50221,"Sat, 3 Sep 2011",/event.aspx?278845,Jeem Collins
"Chemin des Batailles, 1214 VERNIER (GENEVE), Suisse",50221, Jetlag Geneva Club,/club.aspx?id=50221,"Sat, 6 Aug 2011",/event.aspx?278842,Hermanez
"Chemin des Batailles, 1214 VERNIER (GENEVE), Suisse",50221, Jetlag Geneva Club,/club.aspx?id=50221,"Sat, 6 Aug 2011",/event.aspx?278842,Jeem Collins
