club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Fri, 20 Nov 2009",/event.aspx?121249,Marcus Worgull
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Fri, 20 Nov 2009",/event.aspx?121249,Akay
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Sat, 3 Oct 2009",/event.aspx?121245,Toby Tobias
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Sat, 3 Oct 2009",/event.aspx?121245,Akay
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Fri, 31 Dec 2010",/event.aspx?219570,Zaber Riders
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Fri, 31 Dec 2010",/event.aspx?219570,Manaré
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Fri, 31 Dec 2010",/event.aspx?219570,French Fries
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Fri, 15 Oct 2010",/event.aspx?197010,Malente
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Thu, 30 Sep 2010",/event.aspx?196713,Malente
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Fri, 30 Apr 2010",/event.aspx?156270,Morard
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Fri, 30 Apr 2010",/event.aspx?156270,Thom Nagy
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Fri, 8 Jan 2010",/event.aspx?129654,Joe Goddard
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Fri, 8 Jan 2010",/event.aspx?129654,Hot Chip
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Fri, 8 Jan 2010",/event.aspx?129654,Atomic Nick
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Sat, 30 Apr 2011",/event.aspx?237516,Lukee
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Fri, 29 Apr 2011",/event.aspx?237514,Punks Jump Up
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Sun, 24 Apr 2011",/event.aspx?237512,Architecture in Helsinki
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Sat, 23 Apr 2011",/event.aspx?237511,Rainer
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Fri, 22 Apr 2011",/event.aspx?237510,Modeselektor
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Fri, 22 Apr 2011",/event.aspx?237510,Siriusmo
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Fri, 22 Apr 2011",/event.aspx?237510,Joker
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Sat, 19 Mar 2011",/event.aspx?237474,Rainer
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Sat, 12 Mar 2011",/event.aspx?237468,Zaber Riders
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Fri, 4 Mar 2011",/event.aspx?237464,Lukee
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Fri, 23 Nov 2012",/event.aspx?425748,Anton Kubikov
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Fri, 23 Nov 2012",/event.aspx?425748,SCSI-9
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Fri, 8 Jun 2012",/event.aspx?364030,Suddenly Neighbours
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Sun, 26 Feb 2012",/event.aspx?318455,Round Table Knights
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Sun, 26 Feb 2012",/event.aspx?318455,Suddenly Neighbours
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Tue, 24 Dec 2013",/event.aspx?546199,Alma Negra
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Sat, 21 Sep 2013",/event.aspx?495118,Round Table Knights
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Sat, 21 Sep 2013",/event.aspx?495118,Suddenly Neighbours
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Sun, 19 May 2013",/event.aspx?474900,Adana Twins
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Sun, 19 May 2013",/event.aspx?474900,Nico Stojan
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Sun, 19 May 2013",/event.aspx?474900,Marcus Meinhardt
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Sun, 19 May 2013",/event.aspx?474900,Ed Luis
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Sun, 19 May 2013",/event.aspx?474900,Valentin Jahn
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Fri, 1 Mar 2013",/event.aspx?448876,Langenberg
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Sat, 13 Dec 2014",/event.aspx?657062,ECHOLOT
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Sat, 13 Dec 2014",/event.aspx?657062,Justice
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Thu, 20 Nov 2014",/event.aspx?644692,Dorian Concept
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Fri, 3 Oct 2014",/event.aspx?637816,Planningtorock
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Fri, 30 May 2014",/event.aspx?584226,Moderat
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Sun, 9 Mar 2014",/event.aspx?571401,Rainer
"Klybeckstrasse 1b; 4057, Basel",21971, Kaserne Basel,/club.aspx?id=21971,"Thu, 31 Dec 2015",/event.aspx?775837,Timnah Sommerfeldt
