club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Pelikanstrasse 18; 8001, Zürich",12930, Kaufleuten,/club.aspx?id=12930,"Thu, 18 Dec 2008",/event.aspx?73782,Low Motion Disco
"Pelikanstrasse 18; 8001, Zürich",12930, Kaufleuten,/club.aspx?id=12930,"Thu, 18 Dec 2008",/event.aspx?73782,Jacques Renault
"Pelikanstrasse 18; 8001, Zürich",12930, Kaufleuten,/club.aspx?id=12930,"Thu, 18 Dec 2008",/event.aspx?73782,Justin Miller
"Pelikanstrasse 18; 8001, Zürich",12930, Kaufleuten,/club.aspx?id=12930,"Sat, 26 Dec 2009",/event.aspx?127930,Laurent Charbon
"Pelikanstrasse 18; 8001, Zürich",12930, Kaufleuten,/club.aspx?id=12930,"Sat, 19 Dec 2009",/event.aspx?130488,Vincenzo
"Pelikanstrasse 18; 8001, Zürich",12930, Kaufleuten,/club.aspx?id=12930,"Sat, 19 Dec 2009",/event.aspx?130488,Marco Berto
"Pelikanstrasse 18; 8001, Zürich",12930, Kaufleuten,/club.aspx?id=12930,"Sat, 19 Dec 2009",/event.aspx?130488,Kapara
"Pelikanstrasse 18; 8001, Zürich",12930, Kaufleuten,/club.aspx?id=12930,"Sat, 29 Aug 2009",/event.aspx?109263,Miss Nine
"Pelikanstrasse 18; 8001, Zürich",12930, Kaufleuten,/club.aspx?id=12930,"Sat, 6 Jun 2009",/event.aspx?65835,Laurent Charbon
"Pelikanstrasse 18; 8001, Zürich",12930, Kaufleuten,/club.aspx?id=12930,"Sat, 6 Jun 2009",/event.aspx?65835,Daniel dB
"Pelikanstrasse 18; 8001, Zürich",12930, Kaufleuten,/club.aspx?id=12930,"Sat, 7 Feb 2009",/event.aspx?79550,Chris de Coco
"Pelikanstrasse 18; 8001, Zürich",12930, Kaufleuten,/club.aspx?id=12930,"Thu, 15 Jan 2009",/event.aspx?79549,Chris de Coco
"Pelikanstrasse 18; 8001, Zürich",12930, Kaufleuten,/club.aspx?id=12930,"Sat, 10 Jan 2009",/event.aspx?79548,Chris de Coco
"Pelikanstrasse 18; 8001, Zürich",12930, Kaufleuten,/club.aspx?id=12930,"Thu, 22 Apr 2010",/event.aspx?159923,Martin Buttrich
