club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Fri, 10 Feb 2017",/event.aspx?917456,Kutmah
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Fri, 10 Feb 2017",/event.aspx?917456,DJ Mathieu
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Fri, 2 Dec 2016",/event.aspx?899266,Amandra
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Sat, 15 Oct 2016",/event.aspx?875745,Opuswerk
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Fri, 16 Sep 2016",/event.aspx?873281,Les Yeux Orange
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Fri, 9 Sep 2016",/event.aspx?872369,Sneaker
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Fri, 9 Sep 2016",/event.aspx?872369,El Tigre Sound
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Sat, 4 Jun 2016",/event.aspx?841936,Shaka
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Sat, 4 Jun 2016",/event.aspx?841936,DJ Mathieu
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Fri, 20 May 2016",/event.aspx?842034,Leo Gretener
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Fri, 20 May 2016",/event.aspx?842034,Marc D'Arrigo
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Fri, 20 May 2016",/event.aspx?842034,Simian Keiser
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Sat, 20 Feb 2016",/event.aspx?799958,Ben Kaczor
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Sat, 20 Feb 2016",/event.aspx?799958,Marc D'Arrigo
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Sat, 20 Feb 2016",/event.aspx?799958,Simian Keiser
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Fri, 5 Feb 2016",/event.aspx?791237,Clay Wilson
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Sat, 30 Jan 2016",/event.aspx?777658,Marcel Vogel
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Fri, 22 Jan 2016",/event.aspx?789291,Leo Gretener
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Mon, 7 Dec 2015",/event.aspx?779272,Headman
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Mon, 7 Dec 2015",/event.aspx?779272,El Tigre Sound
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Sat, 5 Dec 2015",/event.aspx?778583,Nori
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Sat, 5 Dec 2015",/event.aspx?778583,Isolated Lines
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Sat, 5 Dec 2015",/event.aspx?778583,Marc D'Arrigo
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Sat, 5 Dec 2015",/event.aspx?778583,Simian Keiser
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Fri, 4 Dec 2015",/event.aspx?771571,Forest People
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Fri, 4 Dec 2015",/event.aspx?771571,Patrick Becker
"Baselstrasse 24, 6003 Luzern",95244, Klub Kegelbahn,/club.aspx?id=95244,"Sat, 24 Oct 2015",/event.aspx?755351,Marc D'Arrigo
