club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Sat, 14 Nov 2015",/event.aspx?774585,Blaise Deville
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Sat, 14 Nov 2015",/event.aspx?774585,Uhuruku
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Sat, 10 Oct 2015",/event.aspx?752179,La Vie C'est Facile
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Sat, 10 Oct 2015",/event.aspx?752179,Guyus
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Sat, 19 Sep 2015",/event.aspx?739491,Mario White
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Sat, 19 Sep 2015",/event.aspx?739491,Schimpy
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Sat, 11 Jul 2015",/event.aspx?728528,Franjazzco
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Sat, 11 Jul 2015",/event.aspx?728528,Uhuruku
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Fri, 6 Feb 2015",/event.aspx?678879,S S S S
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Fri, 6 Feb 2015",/event.aspx?678879,Nik!
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Fri, 6 Feb 2015",/event.aspx?678879,Ink!
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Fri, 7 Nov 2014",/event.aspx?651506,Malki
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Fri, 7 Nov 2014",/event.aspx?651506,Uhuruku
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Fri, 2 May 2014",/event.aspx?590009,My Panda Shall Fly
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Fri, 2 May 2014",/event.aspx?590009,Nik!
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Fri, 24 Jan 2014",/event.aspx?554031,Marc D'Arrigo
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Fri, 24 Jan 2014",/event.aspx?554031,Uhuruku
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Sat, 4 Jan 2014",/event.aspx?551797,Dave Eleanor
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Sat, 4 Jan 2014",/event.aspx?551797,Guyus
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Sat, 14 Dec 2013",/event.aspx?545094,Rumpistol
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Sat, 14 Dec 2013",/event.aspx?545094,Somtek
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Sat, 14 Dec 2013",/event.aspx?545094,Nik!
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Sat, 7 Dec 2013",/event.aspx?543955,Eli Verveine
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Sat, 7 Dec 2013",/event.aspx?543955,Space Echo
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Sat, 2 Nov 2013",/event.aspx?534471,Rotkeller
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Sat, 2 Nov 2013",/event.aspx?534471,Nik!
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Fri, 27 Sep 2013",/event.aspx?523126,Idealist
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Fri, 27 Sep 2013",/event.aspx?523126,Dollar Mambo
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Wed, 18 Sep 2013",/event.aspx?516765,Hieroglyphic Being
"Wasserwerkstrasse 89a, Zürich",75922, Klubi,/club.aspx?id=75922,"Fri, 15 Mar 2013",/event.aspx?463119,Nik!
