club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Sat, 31 May 2014",/event.aspx?583146,Solee
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Sat, 31 May 2014",/event.aspx?583146,Disko Dario
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Sat, 31 May 2014",/event.aspx?583146,Nicola Koch
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Fri, 30 May 2014",/event.aspx?583145,Alle Farben
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Wed, 28 May 2014",/event.aspx?583143,Worakls
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Wed, 28 May 2014",/event.aspx?583143,Trinidad
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Wed, 28 May 2014",/event.aspx?583143,Smalltown Collective
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Sat, 31 Dec 2011",/event.aspx?310508,Dinky
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Sat, 31 Dec 2011",/event.aspx?310508,Shonky
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Sat, 31 Dec 2011",/event.aspx?310508,Ajele
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Sat, 31 Dec 2011",/event.aspx?310508,Huazee
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Sat, 31 Dec 2011",/event.aspx?310508,Boris Why
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Thu, 29 Dec 2011",/event.aspx?316754,Highgrade Disharmonic Orchestra
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Thu, 29 Dec 2011",/event.aspx?316754,Dachshund
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Thu, 29 Dec 2011",/event.aspx?316754,Jon Donson
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Sat, 24 Dec 2011",/event.aspx?315631,Thomas Schumacher
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Sat, 24 Dec 2011",/event.aspx?315631,Deetron
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Sat, 24 Dec 2011",/event.aspx?315631,Frango
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Sat, 1 Oct 2011",/event.aspx?275415,Damian Lazarus
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Sat, 1 Oct 2011",/event.aspx?275415,Jamie Jones
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Sat, 1 Oct 2011",/event.aspx?275415,Robert James
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Sat, 1 Oct 2011",/event.aspx?275415,Robel
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Sat, 1 Oct 2011",/event.aspx?275415,Huazee
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Fri, 30 Sep 2011",/event.aspx?275414,Pan-Pot
"Kornhausplatz 18; 3000, Bern",20805, Kornhaus,/club.aspx?id=20805,"Fri, 30 Sep 2011",/event.aspx?275414,Martin Landsky
