club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Belpstrasse 24; 3122, Kehrsatz",54253, Kultarena Eventhall,/club.aspx?id=54253,"Sat, 29 Oct 2016",/event.aspx?870089,Karotte
"Belpstrasse 24; 3122, Kehrsatz",54253, Kultarena Eventhall,/club.aspx?id=54253,"Sat, 29 Oct 2016",/event.aspx?870089,Der Dritte Raum
"Belpstrasse 24; 3122, Kehrsatz",54253, Kultarena Eventhall,/club.aspx?id=54253,"Sat, 29 Oct 2016",/event.aspx?870089,Khainz
"Belpstrasse 24; 3122, Kehrsatz",54253, Kultarena Eventhall,/club.aspx?id=54253,"Sat, 29 Oct 2016",/event.aspx?870089,Jan Penarrubia
"Belpstrasse 24; 3122, Kehrsatz",54253, Kultarena Eventhall,/club.aspx?id=54253,"Fri, 28 Oct 2016",/event.aspx?869927,Cuartero
"Belpstrasse 24; 3122, Kehrsatz",54253, Kultarena Eventhall,/club.aspx?id=54253,"Fri, 28 Oct 2016",/event.aspx?869927,German Brigante
"Belpstrasse 24; 3122, Kehrsatz",54253, Kultarena Eventhall,/club.aspx?id=54253,"Fri, 28 Oct 2016",/event.aspx?869927,Kellerkind
"Belpstrasse 24; 3122, Kehrsatz",54253, Kultarena Eventhall,/club.aspx?id=54253,"Fri, 28 Oct 2016",/event.aspx?869927,Jon Donson
"Belpstrasse 24; 3122, Kehrsatz",54253, Kultarena Eventhall,/club.aspx?id=54253,"Wed, 31 Jul 2013",/event.aspx?498079,Infinity Ink
"Belpstrasse 24; 3122, Kehrsatz",54253, Kultarena Eventhall,/club.aspx?id=54253,"Wed, 31 Jul 2013",/event.aspx?498079,Ali Love
"Belpstrasse 24; 3122, Kehrsatz",54253, Kultarena Eventhall,/club.aspx?id=54253,"Wed, 31 Jul 2013",/event.aspx?498079,Kellerkind
"Belpstrasse 24; 3122, Kehrsatz",54253, Kultarena Eventhall,/club.aspx?id=54253,"Wed, 31 Jul 2013",/event.aspx?498079,James Mc Hale
"Belpstrasse 24; 3122, Kehrsatz",54253, Kultarena Eventhall,/club.aspx?id=54253,"Wed, 31 Jul 2013",/event.aspx?498079,Luca de Grandis
"Belpstrasse 24; 3122, Kehrsatz",54253, Kultarena Eventhall,/club.aspx?id=54253,"Sat, 8 Jun 2013",/event.aspx?486463,Audiofly
"Belpstrasse 24; 3122, Kehrsatz",54253, Kultarena Eventhall,/club.aspx?id=54253,"Sat, 8 Jun 2013",/event.aspx?486463,James Mc Hale
"Belpstrasse 24; 3122, Kehrsatz",54253, Kultarena Eventhall,/club.aspx?id=54253,"Sat, 8 Jun 2013",/event.aspx?486463,Mark'OFF
"Belpstrasse 24; 3122, Kehrsatz",54253, Kultarena Eventhall,/club.aspx?id=54253,"Sat, 1 Jun 2013",/event.aspx?482981,Disko Dario
"Belpstrasse 24; 3122, Kehrsatz",54253, Kultarena Eventhall,/club.aspx?id=54253,"Sat, 1 Jun 2013",/event.aspx?482981,Audionatica
"Belpstrasse 24; 3122, Kehrsatz",54253, Kultarena Eventhall,/club.aspx?id=54253,"Sat, 1 Jun 2013",/event.aspx?482981,Nicola Koch
"Belpstrasse 24; 3122, Kehrsatz",54253, Kultarena Eventhall,/club.aspx?id=54253,"Sat, 1 Jun 2013",/event.aspx?482981,Sunman
"Belpstrasse 24; 3122, Kehrsatz",54253, Kultarena Eventhall,/club.aspx?id=54253,"Sat, 1 Jun 2013",/event.aspx?482981,Amelie
"Belpstrasse 24; 3122, Kehrsatz",54253, Kultarena Eventhall,/club.aspx?id=54253,"Sat, 18 May 2013",/event.aspx?479140,Hot Since 82
"Belpstrasse 24; 3122, Kehrsatz",54253, Kultarena Eventhall,/club.aspx?id=54253,"Sat, 18 May 2013",/event.aspx?479140,Dirty Larry
