club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Thu, 31 Dec 2015",/event.aspx?784776,stevn.aint.leavn
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Thu, 31 Dec 2015",/event.aspx?784776,Tom Wineman
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Thu, 31 Dec 2015",/event.aspx?784776,Chris Ahn
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Sat, 1 Mar 2014",/event.aspx?559109,Martin Buttrich
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Sat, 1 Mar 2014",/event.aspx?559109,buraq
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Mon, 23 Dec 2013",/event.aspx?542988,Cause & Affect
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Mon, 23 Dec 2013",/event.aspx?542988,Romero D
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Fri, 20 Sep 2013",/event.aspx?506754,Adam Port
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Fri, 20 Sep 2013",/event.aspx?506754,buraq
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Fri, 20 Sep 2013",/event.aspx?506754,Tom Wineman
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Sun, 19 May 2013",/event.aspx?473496,Darius Syrossian
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Sun, 19 May 2013",/event.aspx?473496,Santé
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Sun, 19 May 2013",/event.aspx?473496,Andrea Oliva
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Sun, 19 May 2013",/event.aspx?473496,Julian Perez
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Sun, 19 May 2013",/event.aspx?473496,Frango
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Sun, 19 May 2013",/event.aspx?473496,James Mc Hale
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Sun, 19 May 2013",/event.aspx?473496,Tom Wineman
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Sun, 19 May 2013",/event.aspx?473496,The Bassment
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Sat, 23 Mar 2013",/event.aspx?456939,Jon Donson
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Sat, 23 Mar 2013",/event.aspx?456939,Suddenly Neighbours
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Sat, 23 Mar 2013",/event.aspx?456939,The Bassment
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Sat, 23 Mar 2013",/event.aspx?456939,Tom Wineman
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Fri, 5 Oct 2012",/event.aspx?408799,Adam Port
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Fri, 5 Oct 2012",/event.aspx?408799,Till von Sein
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Fri, 5 Oct 2012",/event.aspx?408799,Tom Wineman
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Fri, 5 Oct 2012",/event.aspx?408799,The Bassment
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Sat, 26 May 2012",/event.aspx?371397,Pleasurekraft
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Sat, 26 May 2012",/event.aspx?371397,Tom Wineman
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Sat, 26 May 2012",/event.aspx?371397,Luca de Grandis
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Sat, 26 May 2012",/event.aspx?371397,Rennie Royma
"Werdtstrasse 17, 3250 Lyss",63742, Kulturfabrik Lyss,/club.aspx?id=63742,"Sat, 26 May 2012",/event.aspx?371397,Kare Kyl
