club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Binningerstrasse 14; 4051, Basel",39477, Kuppel,/club.aspx?id=39477,"Fri, 24 Dec 2010",/event.aspx?215556,dOP
"Binningerstrasse 14; 4051, Basel",39477, Kuppel,/club.aspx?id=39477,"Fri, 24 Dec 2010",/event.aspx?215556,Suddenly Neighbours
"Binningerstrasse 14; 4051, Basel",39477, Kuppel,/club.aspx?id=39477,"Fri, 23 Dec 2011",/event.aspx?316874,Wareika
"Binningerstrasse 14; 4051, Basel",39477, Kuppel,/club.aspx?id=39477,"Fri, 23 Dec 2011",/event.aspx?316874,Suddenly Neighbours
"Binningerstrasse 14; 4051, Basel",39477, Kuppel,/club.aspx?id=39477,"Fri, 18 Nov 2011",/event.aspx?304845,Suddenly Neighbours
"Binningerstrasse 14; 4051, Basel",39477, Kuppel,/club.aspx?id=39477,"Fri, 21 Oct 2011",/event.aspx?296734,Jimi Jules
"Binningerstrasse 14; 4051, Basel",39477, Kuppel,/club.aspx?id=39477,"Fri, 21 Oct 2011",/event.aspx?296734,Suddenly Neighbours
"Binningerstrasse 14; 4051, Basel",39477, Kuppel,/club.aspx?id=39477,"Sat, 17 Sep 2011",/event.aspx?286827,Oliver $
"Binningerstrasse 14; 4051, Basel",39477, Kuppel,/club.aspx?id=39477,"Sat, 17 Sep 2011",/event.aspx?286827,Homework
"Binningerstrasse 14; 4051, Basel",39477, Kuppel,/club.aspx?id=39477,"Sat, 17 Sep 2011",/event.aspx?286827,Suddenly Neighbours
"Binningerstrasse 14; 4051, Basel",39477, Kuppel,/club.aspx?id=39477,"Fri, 19 Aug 2011",/event.aspx?282460,Suddenly Neighbours
"Binningerstrasse 14; 4051, Basel",39477, Kuppel,/club.aspx?id=39477,"Sat, 5 Feb 2011",/event.aspx?222291,Suddenly Neighbours
"Binningerstrasse 14; 4051, Basel",39477, Kuppel,/club.aspx?id=39477,"Sat, 22 Dec 2012",/event.aspx?425655,Mercury
