club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Sat, 12 Oct 2013",/event.aspx?527797,Zest
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Thu, 17 Jan 2013",/event.aspx?427699,Ken Wan
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Thu, 17 Jan 2013",/event.aspx?427699,Sun Sets
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Sat, 15 Oct 2011",/event.aspx?299583,Kim Prevedello
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Fri, 9 Sep 2011",/event.aspx?288813,Luca Torre
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Fri, 9 Sep 2011",/event.aspx?288813,David Armada
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Fri, 9 Sep 2011",/event.aspx?288813,Juliano Lopez
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Fri, 9 Sep 2011",/event.aspx?288813,Clem
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Fri, 15 Jul 2011",/event.aspx?258964,The Cruzaders
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Sat, 4 Jun 2011",/event.aspx?258890,Kim Prevedello
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Fri, 13 May 2011",/event.aspx?258337,Johnny D
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Fri, 13 May 2011",/event.aspx?258337,Ahmet Sendil
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Fri, 13 May 2011",/event.aspx?258337,Vera
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Fri, 13 May 2011",/event.aspx?258337,Kim Prevedello
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Fri, 4 Mar 2011",/event.aspx?210283,The Cruzaders
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Fri, 7 Jan 2011",/event.aspx?220609,Dubfunk
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Fri, 7 Jan 2011",/event.aspx?220609,diSoul
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Fri, 7 Jan 2011",/event.aspx?220609,Garance
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Thu, 25 Nov 2010",/event.aspx?245589,Ryan Clark
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Fri, 15 Oct 2010",/event.aspx?186684,Cosmokolor
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Fri, 1 Oct 2010",/event.aspx?171010,The Cruzaders
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Thu, 10 Jun 2010",/event.aspx?168476,Kim Prevedello
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Thu, 4 Mar 2010",/event.aspx?209270,The Cruzaders
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Thu, 18 Dec 2008",/event.aspx?65834,Laurent Charbon
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Thu, 30 Oct 2008",/event.aspx?82941,DJ Mourad
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Sat, 8 Mar 2008",/event.aspx?41386,Nicolas Duvoisin
"Rue Sismondi 16; 1201, Geneva",8948, L'aiglon,/club.aspx?id=8948,"Sat, 8 Mar 2008",/event.aspx?41386,tsacK
