club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Rue Jacques Dalphin 53, 1227 Carouge",100001, La Tanière,/club.aspx?id=100001,"Sat, 16 Apr 2016",/event.aspx?827761,Temiri
"Rue Jacques Dalphin 53, 1227 Carouge",100001, La Tanière,/club.aspx?id=100001,"Sat, 9 Apr 2016",/event.aspx?824998,Los Wenamigos
"Rue Jacques Dalphin 53, 1227 Carouge",100001, La Tanière,/club.aspx?id=100001,"Sat, 9 Apr 2016",/event.aspx?824998,Acousmie
"Rue Jacques Dalphin 53, 1227 Carouge",100001, La Tanière,/club.aspx?id=100001,"Sat, 9 Apr 2016",/event.aspx?824998,Yann Detroit
"Rue Jacques Dalphin 53, 1227 Carouge",100001, La Tanière,/club.aspx?id=100001,"Sat, 19 Mar 2016",/event.aspx?818187,Acousmie
"Rue Jacques Dalphin 53, 1227 Carouge",100001, La Tanière,/club.aspx?id=100001,"Sun, 24 Jan 2016",/event.aspx?796307,Acousmie
"Rue Jacques Dalphin 53, 1227 Carouge",100001, La Tanière,/club.aspx?id=100001,"Sun, 24 Jan 2016",/event.aspx?796307,Skail Master M
"Rue Jacques Dalphin 53, 1227 Carouge",100001, La Tanière,/club.aspx?id=100001,"Fri, 29 May 2015",/event.aspx?720739,SHE Spells Doom
"Rue Jacques Dalphin 53, 1227 Carouge",100001, La Tanière,/club.aspx?id=100001,"Fri, 9 Jan 2015",/event.aspx?671726,Dylan Casale
"Rue Jacques Dalphin 53, 1227 Carouge",100001, La Tanière,/club.aspx?id=100001,"Fri, 9 Jan 2015",/event.aspx?671726,Sebas O Verde
