club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Sat, 9 Jul 2016",/event.aspx?857535,Funk Bastard
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Sat, 9 Jul 2016",/event.aspx?857535,Frank Spirit
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Sat, 16 Aug 2014",/event.aspx?627152,Alexkid
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Sat, 16 Aug 2014",/event.aspx?627152,Pepperpot
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Sat, 16 Aug 2014",/event.aspx?627152,Marc Milner
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Fri, 2 May 2014",/event.aspx?594116,Mirk Oh
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 14 Aug 2013",/event.aspx?504037,Âme
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 14 Aug 2013",/event.aspx?504037,Matthew Dekay
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 14 Aug 2013",/event.aspx?504037,Sid Le Rock
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 14 Aug 2013",/event.aspx?504037,Ian Pooley
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 14 Aug 2013",/event.aspx?504037,Detroit Swindle
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 14 Aug 2013",/event.aspx?504037,Minilogue
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 14 Aug 2013",/event.aspx?504037,Sebastian Mullaert
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 14 Aug 2013",/event.aspx?504037,Norm Talley
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 14 Aug 2013",/event.aspx?504037,Pepperpot
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 14 Aug 2013",/event.aspx?504037,Varoslav
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 14 Aug 2013",/event.aspx?504037,Salvatore Freda
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 14 Aug 2013",/event.aspx?504037,Agnès
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 14 Aug 2013",/event.aspx?504037,Deetron
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 14 Aug 2013",/event.aspx?504037,Daria
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 14 Aug 2013",/event.aspx?504037,Paulo Olarte
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 14 Aug 2013",/event.aspx?504037,Adriano Mirabile
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 14 Aug 2013",/event.aspx?504037,Tanua
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 14 Aug 2013",/event.aspx?504037,DJ Dub
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 14 Aug 2013",/event.aspx?504037,La Forêt
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Fri, 24 Aug 2012",/event.aspx?387099,Matteo Spedicati
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Fri, 24 Aug 2012",/event.aspx?387099,Alessio Mereu
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Fri, 24 Aug 2012",/event.aspx?387099,Paul Eg
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 15 Aug 2012",/event.aspx?387143,Anja Schneider
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 15 Aug 2012",/event.aspx?387143,Marshall Jefferson
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 15 Aug 2012",/event.aspx?387143,Avatism
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 15 Aug 2012",/event.aspx?387143,Jeremy P. Caulfield
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 15 Aug 2012",/event.aspx?387143,Anonym
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 15 Aug 2012",/event.aspx?387143,Reas
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 15 Aug 2012",/event.aspx?387143,DJ Dub
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 15 Aug 2012",/event.aspx?387143,Matteo Spedicati
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 15 Aug 2012",/event.aspx?387143,Alessio Mereu
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 15 Aug 2012",/event.aspx?387143,Pikaya
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 15 Aug 2012",/event.aspx?387143,Petar Dundov
"Bateau Genève, Quai Gustave-Ador; 1207, Geneva",6981, Le Bateau,/club.aspx?id=6981,"Wed, 15 Aug 2012",/event.aspx?387143,LAD
