club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Place centrale, 1997 Nendaz, Valais",55486, Le Lapin Vert,/club.aspx?id=55486,"Fri, 20 Jan 2017",/event.aspx?917787,El Alusinante
"Place centrale, 1997 Nendaz, Valais",55486, Le Lapin Vert,/club.aspx?id=55486,"Fri, 20 Jan 2017",/event.aspx?917787,Sedzed
"Place centrale, 1997 Nendaz, Valais",55486, Le Lapin Vert,/club.aspx?id=55486,"Fri, 30 Dec 2016",/event.aspx?908061,Matheiu
"Place centrale, 1997 Nendaz, Valais",55486, Le Lapin Vert,/club.aspx?id=55486,"Fri, 30 Dec 2016",/event.aspx?908061,Nicolas Duvoisin
"Place centrale, 1997 Nendaz, Valais",55486, Le Lapin Vert,/club.aspx?id=55486,"Fri, 1 Apr 2016",/event.aspx?811757,LAD
"Place centrale, 1997 Nendaz, Valais",55486, Le Lapin Vert,/club.aspx?id=55486,"Fri, 1 Apr 2016",/event.aspx?811757,Garance
"Place centrale, 1997 Nendaz, Valais",55486, Le Lapin Vert,/club.aspx?id=55486,"Fri, 25 Mar 2016",/event.aspx?811755,Jacqui
"Place centrale, 1997 Nendaz, Valais",55486, Le Lapin Vert,/club.aspx?id=55486,"Fri, 25 Mar 2016",/event.aspx?811755,Skail Master M
"Place centrale, 1997 Nendaz, Valais",55486, Le Lapin Vert,/club.aspx?id=55486,"Fri, 26 Feb 2016",/event.aspx?811760,Central Rodeo
"Place centrale, 1997 Nendaz, Valais",55486, Le Lapin Vert,/club.aspx?id=55486,"Fri, 26 Feb 2016",/event.aspx?811760,Vanita
"Place centrale, 1997 Nendaz, Valais",55486, Le Lapin Vert,/club.aspx?id=55486,"Fri, 8 Jan 2016",/event.aspx?811762,Santis
"Place centrale, 1997 Nendaz, Valais",55486, Le Lapin Vert,/club.aspx?id=55486,"Fri, 8 Jan 2016",/event.aspx?811762,Yoni Banks & Yan Ka
"Place centrale, 1997 Nendaz, Valais",55486, Le Lapin Vert,/club.aspx?id=55486,"Tue, 29 Dec 2015",/event.aspx?811764,Daparec
"Place centrale, 1997 Nendaz, Valais",55486, Le Lapin Vert,/club.aspx?id=55486,"Wed, 28 Dec 2011",/event.aspx?293265,The Cruzaders
"Place centrale, 1997 Nendaz, Valais",55486, Le Lapin Vert,/club.aspx?id=55486,"Sat, 23 Jul 2011",/event.aspx?273151,Mia Kaltes
"Place centrale, 1997 Nendaz, Valais",55486, Le Lapin Vert,/club.aspx?id=55486,"Sat, 14 May 2011",/event.aspx?259309,David Torr
"Place centrale, 1997 Nendaz, Valais",55486, Le Lapin Vert,/club.aspx?id=55486,"Thu, 17 Mar 2011",/event.aspx?235269,The Cruzaders
