club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Sat, 10 Dec 2016",/event.aspx?910054,Bas Ibellini
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Sat, 10 Dec 2016",/event.aspx?910054,Rare Movement
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Sat, 10 Dec 2016",/event.aspx?910054,Reas
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Richie Hawtin
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Luciano
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Lil Louis
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Dixon
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Moodyman
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Chris Liebing
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Osunlade
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Alex Dallas
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Andrea Oliva
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Barac
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Bas Ibellini
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Dani Casarano
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Deetron
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,D'Julz
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Emilie Nana
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Ezikiel
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Gianni Callipari
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Giorgio Maulini
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Kalabrese
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Laolu
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Lucas Aliu
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Luca Torre
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Masaya
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Mirko Loko
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Oktay
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Andrade
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Quenum
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Rare Movement
"Les Ruinettes, 1936 Verbier",125378, Le Mouton Noir - Verbier,/club.aspx?id=125378,"Fri, 9 Dec 2016",/event.aspx?853976,Reas
