club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Rue de la Sionge 29, 1630 Bulle",72637, Les Archives,/club.aspx?id=72637,"Thu, 20 Aug 2015",/event.aspx?745943,La Bohème
"Rue de la Sionge 29, 1630 Bulle",72637, Les Archives,/club.aspx?id=72637,"Thu, 20 Aug 2015",/event.aspx?745943,Kartel Klub
"Rue de la Sionge 29, 1630 Bulle",72637, Les Archives,/club.aspx?id=72637,"Sat, 23 May 2015",/event.aspx?711329,La Bohème
"Rue de la Sionge 29, 1630 Bulle",72637, Les Archives,/club.aspx?id=72637,"Sat, 23 May 2015",/event.aspx?711329,Dynamic Range
"Rue de la Sionge 29, 1630 Bulle",72637, Les Archives,/club.aspx?id=72637,"Sat, 11 Apr 2015",/event.aspx?705694,Ambareesh
"Rue de la Sionge 29, 1630 Bulle",72637, Les Archives,/club.aspx?id=72637,"Sat, 11 Apr 2015",/event.aspx?705694,Kaegōn
"Rue de la Sionge 29, 1630 Bulle",72637, Les Archives,/club.aspx?id=72637,"Fri, 27 Feb 2015",/event.aspx?684679,A-Mari
"Rue de la Sionge 29, 1630 Bulle",72637, Les Archives,/club.aspx?id=72637,"Fri, 27 Feb 2015",/event.aspx?684679,Dynamic Range
"Rue de la Sionge 29, 1630 Bulle",72637, Les Archives,/club.aspx?id=72637,"Fri, 27 Feb 2015",/event.aspx?684679,Kaegōn
"Rue de la Sionge 29, 1630 Bulle",72637, Les Archives,/club.aspx?id=72637,"Sat, 20 Dec 2014",/event.aspx?665591,Dynamic Range
"Rue de la Sionge 29, 1630 Bulle",72637, Les Archives,/club.aspx?id=72637,"Mon, 23 Dec 2013",/event.aspx?548077,Lucas Monème
"Rue de la Sionge 29, 1630 Bulle",72637, Les Archives,/club.aspx?id=72637,"Mon, 23 Dec 2013",/event.aspx?548077,Jokari
"Rue de la Sionge 29, 1630 Bulle",72637, Les Archives,/club.aspx?id=72637,"Fri, 18 Oct 2013",/event.aspx?528077,Lemonick
"Rue de la Sionge 29, 1630 Bulle",72637, Les Archives,/club.aspx?id=72637,"Thu, 20 Dec 2012",/event.aspx?435746,Round Table Knights
"Rue de la Sionge 29, 1630 Bulle",72637, Les Archives,/club.aspx?id=72637,"Thu, 20 Dec 2012",/event.aspx?435746,Chapkmace
"Rue de la Sionge 29, 1630 Bulle",72637, Les Archives,/club.aspx?id=72637,"Thu, 20 Dec 2012",/event.aspx?435746,Jokari
