club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Sat, 2 Aug 2014",/event.aspx?623648,Kenny Ground
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Sat, 2 Aug 2014",/event.aspx?623648,Specialivery
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Sat, 2 Aug 2014",/event.aspx?623648,L'N'F
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Sat, 2 Aug 2014",/event.aspx?623648,Batiment
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Sat, 21 Jun 2014",/event.aspx?606653,Batiment
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Sat, 21 Jun 2014",/event.aspx?606653,Tom Alemanno
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Sat, 21 Jun 2014",/event.aspx?606653,Divalvi
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Sat, 21 Jun 2014",/event.aspx?606653,Kenny Ground
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Fri, 12 Jul 2013",/event.aspx?500162,Kuki
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Fri, 12 Jul 2013",/event.aspx?500162,Tom Alemanno
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Fri, 12 Jul 2013",/event.aspx?500162,Specialivery
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Sun, 7 Jul 2013",/event.aspx?496606,Francesco Del Garda
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Sun, 7 Jul 2013",/event.aspx?496606,Mirko Molinari
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Sun, 7 Jul 2013",/event.aspx?496606,J-One
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Sun, 7 Jul 2013",/event.aspx?496606,Thomas T
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Sun, 7 Jul 2013",/event.aspx?496606,Gianluca Casnici
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Sun, 7 Jul 2013",/event.aspx?496606,Rinaldo Makaj
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Fri, 21 Jun 2013",/event.aspx?491534,Tom Alemanno
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Fri, 21 Jun 2013",/event.aspx?491534,Kuki
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Fri, 31 Aug 2012",/event.aspx?399850,Tom Alemanno
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Fri, 31 Aug 2012",/event.aspx?399850,Marla
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Sun, 15 Jul 2012",/event.aspx?387187,Dorian Paic
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Sun, 15 Jul 2012",/event.aspx?387187,Stefano Di Miceli
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Sun, 15 Jul 2012",/event.aspx?387187,Marcello Carozzi
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Sun, 15 Jul 2012",/event.aspx?387187,Fabio Monesi
"Viale Castagnola 6, 6900 Lugano, CH",67916, Lido di Lugano,/club.aspx?id=67916,"Sun, 15 Jul 2012",/event.aspx?387187,Davide Cucchi
