club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Langstrasse 92, 8004 Zürich",27933, Longstreet Bar,/club.aspx?id=27933,"Sat, 12 Nov 2016",/event.aspx?896730,Vic Crezée
"Langstrasse 92, 8004 Zürich",27933, Longstreet Bar,/club.aspx?id=27933,"Sat, 12 Nov 2016",/event.aspx?896730,Mairo Nawaz
"Langstrasse 92, 8004 Zürich",27933, Longstreet Bar,/club.aspx?id=27933,"Fri, 11 Nov 2016",/event.aspx?889778,The Mover
"Langstrasse 92, 8004 Zürich",27933, Longstreet Bar,/club.aspx?id=27933,"Thu, 10 Nov 2016",/event.aspx?889757,Elysia Crampton
"Langstrasse 92, 8004 Zürich",27933, Longstreet Bar,/club.aspx?id=27933,"Thu, 10 Nov 2016",/event.aspx?889757,Kablam
"Langstrasse 92, 8004 Zürich",27933, Longstreet Bar,/club.aspx?id=27933,"Sat, 13 Feb 2016",/event.aspx?792805,Branko
"Langstrasse 92, 8004 Zürich",27933, Longstreet Bar,/club.aspx?id=27933,"Sat, 13 Feb 2016",/event.aspx?792805,Sinjin Hawke
"Langstrasse 92, 8004 Zürich",27933, Longstreet Bar,/club.aspx?id=27933,"Sat, 13 Feb 2016",/event.aspx?792805,Lemonick
"Langstrasse 92, 8004 Zürich",27933, Longstreet Bar,/club.aspx?id=27933,"Fri, 7 Nov 2014",/event.aspx?653137,Otis Ango
"Langstrasse 92, 8004 Zürich",27933, Longstreet Bar,/club.aspx?id=27933,"Thu, 7 Feb 2013",/event.aspx?444094,Lexx
"Langstrasse 92, 8004 Zürich",27933, Longstreet Bar,/club.aspx?id=27933,"Thu, 7 Feb 2013",/event.aspx?444094,Le Frère
"Langstrasse 92, 8004 Zürich",27933, Longstreet Bar,/club.aspx?id=27933,"Sat, 18 Dec 2010",/event.aspx?215777,Luki
"Langstrasse 92, 8004 Zürich",27933, Longstreet Bar,/club.aspx?id=27933,"Fri, 26 Mar 2010",/event.aspx?154636,Das Blenden
