club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Kramgasse 8; 3011, Bern",42143, Lounge Kapelle,/club.aspx?id=42143,"Sun, 24 Mar 2013",/event.aspx?461103,Florian Kunicke
"Kramgasse 8; 3011, Bern",42143, Lounge Kapelle,/club.aspx?id=42143,"Sun, 24 Mar 2013",/event.aspx?461103,Frango
"Kramgasse 8; 3011, Bern",42143, Lounge Kapelle,/club.aspx?id=42143,"Sun, 24 Mar 2013",/event.aspx?461103,Tadeo Doberska
"Kramgasse 8; 3011, Bern",42143, Lounge Kapelle,/club.aspx?id=42143,"Sun, 24 Mar 2013",/event.aspx?461103,Luca de Grandis
"Kramgasse 8; 3011, Bern",42143, Lounge Kapelle,/club.aspx?id=42143,"Sun, 24 Mar 2013",/event.aspx?461103,Jan Penarrubia
"Kramgasse 8; 3011, Bern",42143, Lounge Kapelle,/club.aspx?id=42143,"Thu, 21 Mar 2013",/event.aspx?464620,Florian Kunicke
"Kramgasse 8; 3011, Bern",42143, Lounge Kapelle,/club.aspx?id=42143,"Sun, 24 Feb 2013",/event.aspx?448831,Florian Kunicke
"Kramgasse 8; 3011, Bern",42143, Lounge Kapelle,/club.aspx?id=42143,"Fri, 2 Mar 2012",/event.aspx?342919,Skaos
"Kramgasse 8; 3011, Bern",42143, Lounge Kapelle,/club.aspx?id=42143,"Fri, 2 Mar 2012",/event.aspx?342919,Markus haZe
"Kramgasse 8; 3011, Bern",42143, Lounge Kapelle,/club.aspx?id=42143,"Sun, 31 Jul 2011",/event.aspx?270516,Skaos
"Kramgasse 8; 3011, Bern",42143, Lounge Kapelle,/club.aspx?id=42143,"Fri, 3 Jun 2011",/event.aspx?282215,Liv Stone
"Kramgasse 8; 3011, Bern",42143, Lounge Kapelle,/club.aspx?id=42143,"Fri, 18 Feb 2011",/event.aspx?231965,Flavius
"Kramgasse 8; 3011, Bern",42143, Lounge Kapelle,/club.aspx?id=42143,"Sat, 29 Jan 2011",/event.aspx?231966,Flavius
