club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"4 Place des Volontaires, 1205 Geneve",87381, Makhno,/club.aspx?id=87381,"Wed, 29 Apr 2015",/event.aspx?706949,Snuffo
"4 Place des Volontaires, 1205 Geneve",87381, Makhno,/club.aspx?id=87381,"Wed, 29 Apr 2015",/event.aspx?706949,Strb
"4 Place des Volontaires, 1205 Geneve",87381, Makhno,/club.aspx?id=87381,"Wed, 29 Apr 2015",/event.aspx?706949,yAn!
"4 Place des Volontaires, 1205 Geneve",87381, Makhno,/club.aspx?id=87381,"Wed, 4 Mar 2015",/event.aspx?691570,Oram Modular
"4 Place des Volontaires, 1205 Geneve",87381, Makhno,/club.aspx?id=87381,"Wed, 4 Mar 2015",/event.aspx?691570,Strb
"4 Place des Volontaires, 1205 Geneve",87381, Makhno,/club.aspx?id=87381,"Wed, 3 Dec 2014",/event.aspx?659324,DJ Flush
"4 Place des Volontaires, 1205 Geneve",87381, Makhno,/club.aspx?id=87381,"Wed, 3 Dec 2014",/event.aspx?659324,Strb
"4 Place des Volontaires, 1205 Geneve",87381, Makhno,/club.aspx?id=87381,"Wed, 3 Dec 2014",/event.aspx?659324,Tissu
"4 Place des Volontaires, 1205 Geneve",87381, Makhno,/club.aspx?id=87381,"Wed, 3 Dec 2014",/event.aspx?659324,Oram Modular
"4 Place des Volontaires, 1205 Geneve",87381, Makhno,/club.aspx?id=87381,"Wed, 10 Sep 2014",/event.aspx?632480,Strb
"4 Place des Volontaires, 1205 Geneve",87381, Makhno,/club.aspx?id=87381,"Wed, 10 Sep 2014",/event.aspx?632480,Oram Modular
"4 Place des Volontaires, 1205 Geneve",87381, Makhno,/club.aspx?id=87381,"Wed, 2 Jul 2014",/event.aspx?612748,Strb
"4 Place des Volontaires, 1205 Geneve",87381, Makhno,/club.aspx?id=87381,"Wed, 2 Jul 2014",/event.aspx?612748,Oram Modular
"4 Place des Volontaires, 1205 Geneve",87381, Makhno,/club.aspx?id=87381,"Thu, 27 Mar 2014",/event.aspx?582371,Opuswerk
"4 Place des Volontaires, 1205 Geneve",87381, Makhno,/club.aspx?id=87381,"Wed, 29 Jan 2014",/event.aspx?560228,Opuswerk
