club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Rue du Stand 20; 1204, Geneva",7884, Màd - Moulin À Danses,/club.aspx?id=7884,"Fri, 8 Mar 2013",/event.aspx?454600,BOUNCE!!!
"Rue du Stand 20; 1204, Geneva",7884, Màd - Moulin À Danses,/club.aspx?id=7884,"Fri, 16 Nov 2012",/event.aspx?419537,Bonobo
"Rue du Stand 20; 1204, Geneva",7884, Màd - Moulin À Danses,/club.aspx?id=7884,"Fri, 1 Jun 2012",/event.aspx?373421,BTK
"Rue du Stand 20; 1204, Geneva",7884, Màd - Moulin À Danses,/club.aspx?id=7884,"Fri, 1 Jun 2012",/event.aspx?373421,DJ Big T
"Rue du Stand 20; 1204, Geneva",7884, Màd - Moulin À Danses,/club.aspx?id=7884,"Fri, 1 Jun 2012",/event.aspx?373421,Gelivan
"Rue du Stand 20; 1204, Geneva",7884, Màd - Moulin À Danses,/club.aspx?id=7884,"Fri, 23 Dec 2011",/event.aspx?320611,DJ Big T
"Rue du Stand 20; 1204, Geneva",7884, Màd - Moulin À Danses,/club.aspx?id=7884,"Fri, 11 Nov 2011",/event.aspx?302109,BOUNCE!!!
"Rue du Stand 20; 1204, Geneva",7884, Màd - Moulin À Danses,/club.aspx?id=7884,"Fri, 7 Oct 2011",/event.aspx?290583,Mr Raoul K
"Rue du Stand 20; 1204, Geneva",7884, Màd - Moulin À Danses,/club.aspx?id=7884,"Fri, 7 Oct 2011",/event.aspx?290583,Laolu
"Rue du Stand 20; 1204, Geneva",7884, Màd - Moulin À Danses,/club.aspx?id=7884,"Fri, 7 Oct 2011",/event.aspx?290583,Kadebostan
"Rue du Stand 20; 1204, Geneva",7884, Màd - Moulin À Danses,/club.aspx?id=7884,"Sat, 17 Sep 2011",/event.aspx?289566,Social Disco Club
"Rue du Stand 20; 1204, Geneva",7884, Màd - Moulin À Danses,/club.aspx?id=7884,"Sat, 17 Sep 2011",/event.aspx?289566,Opuswerk
