club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Kalanderplatz 1; 8045, Zürich",16960, Papiersaal,/club.aspx?id=16960,"Thu, 18 Feb 2016",/event.aspx?768480,Junior Boys
"Kalanderplatz 1; 8045, Zürich",16960, Papiersaal,/club.aspx?id=16960,"Thu, 17 Jan 2013",/event.aspx?442674,Charles Meyer
"Kalanderplatz 1; 8045, Zürich",16960, Papiersaal,/club.aspx?id=16960,"Sat, 13 Aug 2011",/event.aspx?259556,Tomcraft
"Kalanderplatz 1; 8045, Zürich",16960, Papiersaal,/club.aspx?id=16960,"Sat, 13 Aug 2011",/event.aspx?259556,D-Nox
"Kalanderplatz 1; 8045, Zürich",16960, Papiersaal,/club.aspx?id=16960,"Sat, 13 Aug 2011",/event.aspx?259556,Antix
"Kalanderplatz 1; 8045, Zürich",16960, Papiersaal,/club.aspx?id=16960,"Sat, 13 Aug 2011",/event.aspx?259556,Santosh Khan
"Kalanderplatz 1; 8045, Zürich",16960, Papiersaal,/club.aspx?id=16960,"Sat, 26 Feb 2011",/event.aspx?227628,Simon & Shaker
"Kalanderplatz 1; 8045, Zürich",16960, Papiersaal,/club.aspx?id=16960,"Sat, 26 Feb 2011",/event.aspx?227628,Makau
"Kalanderplatz 1; 8045, Zürich",16960, Papiersaal,/club.aspx?id=16960,"Sat, 27 Nov 2010",/event.aspx?198269,Eelke Kleijn
"Kalanderplatz 1; 8045, Zürich",16960, Papiersaal,/club.aspx?id=16960,"Sat, 8 May 2010",/event.aspx?161175,Radio Slave
"Kalanderplatz 1; 8045, Zürich",16960, Papiersaal,/club.aspx?id=16960,"Sat, 8 May 2010",/event.aspx?161175,Reto Ardour
"Kalanderplatz 1; 8045, Zürich",16960, Papiersaal,/club.aspx?id=16960,"Sat, 8 May 2010",/event.aspx?161175,Benja
"Kalanderplatz 1; 8045, Zürich",16960, Papiersaal,/club.aspx?id=16960,"Sat, 8 May 2010",/event.aspx?161175,Quitim
"Kalanderplatz 1; 8045, Zürich",16960, Papiersaal,/club.aspx?id=16960,"Sat, 8 May 2010",/event.aspx?161175,Regenbogen
"Kalanderplatz 1; 8045, Zürich",16960, Papiersaal,/club.aspx?id=16960,"Sat, 8 May 2010",/event.aspx?161175,Tarco
"Kalanderplatz 1; 8045, Zürich",16960, Papiersaal,/club.aspx?id=16960,"Sat, 27 Feb 2010",/event.aspx?139496,Wandler
"Kalanderplatz 1; 8045, Zürich",16960, Papiersaal,/club.aspx?id=16960,"Sat, 27 Feb 2010",/event.aspx?139496,Beda
"Kalanderplatz 1; 8045, Zürich",16960, Papiersaal,/club.aspx?id=16960,"Sat, 27 Feb 2010",/event.aspx?139496,San Marco
"Kalanderplatz 1; 8045, Zürich",16960, Papiersaal,/club.aspx?id=16960,"Sat, 7 Nov 2009",/event.aspx?122069,Wicked Wilma
"Kalanderplatz 1; 8045, Zürich",16960, Papiersaal,/club.aspx?id=16960,"Sat, 7 Nov 2009",/event.aspx?122069,Andri
"Kalanderplatz 1; 8045, Zürich",16960, Papiersaal,/club.aspx?id=16960,"Sat, 28 Mar 2009",/event.aspx?91360,Joachim Spieth
"Kalanderplatz 1; 8045, Zürich",16960, Papiersaal,/club.aspx?id=16960,"Sat, 28 Mar 2009",/event.aspx?91360,Don Ramon
