club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Sandrainstrasse 10, Bern",105018, Playground Lounge,/club.aspx?id=105018,"Sun, 15 Jan 2017",/event.aspx?925198,James Mc Hale
"Sandrainstrasse 10, Bern",105018, Playground Lounge,/club.aspx?id=105018,"Sun, 25 Dec 2016",/event.aspx?911297,James Mc Hale
"Sandrainstrasse 10, Bern",105018, Playground Lounge,/club.aspx?id=105018,"Sat, 26 Nov 2016",/event.aspx?899850,Dead Swan
"Sandrainstrasse 10, Bern",105018, Playground Lounge,/club.aspx?id=105018,"Sun, 23 Oct 2016",/event.aspx?889029,James Mc Hale
"Sandrainstrasse 10, Bern",105018, Playground Lounge,/club.aspx?id=105018,"Sun, 18 Sep 2016",/event.aspx?875533,James Mc Hale
"Sandrainstrasse 10, Bern",105018, Playground Lounge,/club.aspx?id=105018,"Sun, 18 Sep 2016",/event.aspx?875533,Romar
"Sandrainstrasse 10, Bern",105018, Playground Lounge,/club.aspx?id=105018,"Sun, 11 Sep 2016",/event.aspx?874069,Chad Andrew
"Sandrainstrasse 10, Bern",105018, Playground Lounge,/club.aspx?id=105018,"Sun, 19 Jun 2016",/event.aspx?846810,James Mc Hale
"Sandrainstrasse 10, Bern",105018, Playground Lounge,/club.aspx?id=105018,"Sun, 28 Feb 2016",/event.aspx?788549,Cesar Merveille
"Sandrainstrasse 10, Bern",105018, Playground Lounge,/club.aspx?id=105018,"Sun, 31 Jan 2016",/event.aspx?788544,DoubtingThomas
"Sandrainstrasse 10, Bern",105018, Playground Lounge,/club.aspx?id=105018,"Sun, 10 Jan 2016",/event.aspx?836165,Priku
"Sandrainstrasse 10, Bern",105018, Playground Lounge,/club.aspx?id=105018,"Sun, 10 Jan 2016",/event.aspx?836165,James Mc Hale
"Sandrainstrasse 10, Bern",105018, Playground Lounge,/club.aspx?id=105018,"Sun, 4 Oct 2015",/event.aspx?761930,Andrey Pushkarev
"Sandrainstrasse 10, Bern",105018, Playground Lounge,/club.aspx?id=105018,"Sun, 4 Oct 2015",/event.aspx?761930,James Mc Hale
"Sandrainstrasse 10, Bern",105018, Playground Lounge,/club.aspx?id=105018,"Sun, 5 Jul 2015",/event.aspx?835580,James Mc Hale
"Sandrainstrasse 10, Bern",105018, Playground Lounge,/club.aspx?id=105018,"Sun, 24 May 2015",/event.aspx?720128,Sandro Kuhne
"Sandrainstrasse 10, Bern",105018, Playground Lounge,/club.aspx?id=105018,"Sun, 22 Mar 2015",/event.aspx?840218,Yaroslav Lenzyak
"Sandrainstrasse 10, Bern",105018, Playground Lounge,/club.aspx?id=105018,"Sun, 22 Mar 2015",/event.aspx?840218,James Mc Hale
"Sandrainstrasse 10, Bern",105018, Playground Lounge,/club.aspx?id=105018,"Sun, 22 Mar 2015",/event.aspx?840218,Jam' On
