club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Badenerstrasse 109, 8004 Zürich",72201, Plaza Klub,/club.aspx?id=72201,"Sat, 13 Jun 2015",/event.aspx?718968,Purple Disco Machine
"Badenerstrasse 109, 8004 Zürich",72201, Plaza Klub,/club.aspx?id=72201,"Sat, 13 Jun 2015",/event.aspx?718968,Teenage Mutants
"Badenerstrasse 109, 8004 Zürich",72201, Plaza Klub,/club.aspx?id=72201,"Sat, 13 Jun 2015",/event.aspx?718968,Pazkal
"Badenerstrasse 109, 8004 Zürich",72201, Plaza Klub,/club.aspx?id=72201,"Fri, 6 Mar 2015",/event.aspx?692930,Krystal Klear
"Badenerstrasse 109, 8004 Zürich",72201, Plaza Klub,/club.aspx?id=72201,"Sat, 2 Aug 2014",/event.aspx?614405,Noir
"Badenerstrasse 109, 8004 Zürich",72201, Plaza Klub,/club.aspx?id=72201,"Sat, 2 Aug 2014",/event.aspx?614405,Sam Divine
"Badenerstrasse 109, 8004 Zürich",72201, Plaza Klub,/club.aspx?id=72201,"Sat, 2 Aug 2014",/event.aspx?614405,Dario D'Attis
"Badenerstrasse 109, 8004 Zürich",72201, Plaza Klub,/club.aspx?id=72201,"Sat, 12 Apr 2014",/event.aspx?573286,Andrea Oliva
"Badenerstrasse 109, 8004 Zürich",72201, Plaza Klub,/club.aspx?id=72201,"Sat, 12 Apr 2014",/event.aspx?573286,Sonny Fodera
"Badenerstrasse 109, 8004 Zürich",72201, Plaza Klub,/club.aspx?id=72201,"Fri, 3 Jan 2014",/event.aspx?549720,Jack Slaughter
"Badenerstrasse 109, 8004 Zürich",72201, Plaza Klub,/club.aspx?id=72201,"Fri, 13 Dec 2013",/event.aspx?542177,Kolombo
"Badenerstrasse 109, 8004 Zürich",72201, Plaza Klub,/club.aspx?id=72201,"Sat, 16 Nov 2013",/event.aspx?536949,Sandy Rivera
"Badenerstrasse 109, 8004 Zürich",72201, Plaza Klub,/club.aspx?id=72201,"Sat, 16 Nov 2013",/event.aspx?536949,Andy Daniell
"Badenerstrasse 109, 8004 Zürich",72201, Plaza Klub,/club.aspx?id=72201,"Sat, 16 Nov 2013",/event.aspx?536949,David Phillips
"Badenerstrasse 109, 8004 Zürich",72201, Plaza Klub,/club.aspx?id=72201,"Sat, 16 Nov 2013",/event.aspx?536949,Jack & the Jerk
"Badenerstrasse 109, 8004 Zürich",72201, Plaza Klub,/club.aspx?id=72201,"Sat, 16 Nov 2013",/event.aspx?536949,AOIDE
"Badenerstrasse 109, 8004 Zürich",72201, Plaza Klub,/club.aspx?id=72201,"Sat, 26 Oct 2013",/event.aspx?516443,Jack Slaughter
"Badenerstrasse 109, 8004 Zürich",72201, Plaza Klub,/club.aspx?id=72201,"Thu, 6 Jun 2013",/event.aspx?473862,Austra
"Badenerstrasse 109, 8004 Zürich",72201, Plaza Klub,/club.aspx?id=72201,"Sat, 13 Apr 2013",/event.aspx?470901,Stefano Ritteri
"Badenerstrasse 109, 8004 Zürich",72201, Plaza Klub,/club.aspx?id=72201,"Sat, 13 Apr 2013",/event.aspx?470901,Supernova
"Badenerstrasse 109, 8004 Zürich",72201, Plaza Klub,/club.aspx?id=72201,"Sat, 30 Jun 2012",/event.aspx?505900,Jack Slaughter
"Badenerstrasse 109, 8004 Zürich",72201, Plaza Klub,/club.aspx?id=72201,"Sat, 14 Apr 2012",/event.aspx?505901,Jack Slaughter
"Badenerstrasse 109, 8004 Zürich",72201, Plaza Klub,/club.aspx?id=72201,"Sat, 3 Sep 2011",/event.aspx?284401,Flight Facilities
