club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Industriestrasse Gebäude C; 8575, Bürglen",35500, Provisorium,/club.aspx?id=35500,"Sat, 27 Apr 2013",/event.aspx?542551,P-Hocto
"Industriestrasse Gebäude C; 8575, Bürglen",35500, Provisorium,/club.aspx?id=35500,"Sat, 30 Mar 2013",/event.aspx?442788,Krenzlin
"Industriestrasse Gebäude C; 8575, Bürglen",35500, Provisorium,/club.aspx?id=35500,"Sat, 30 Mar 2013",/event.aspx?442788,Kreuzton
"Industriestrasse Gebäude C; 8575, Bürglen",35500, Provisorium,/club.aspx?id=35500,"Sat, 24 Nov 2012",/event.aspx?419520,Claudio Masso
"Industriestrasse Gebäude C; 8575, Bürglen",35500, Provisorium,/club.aspx?id=35500,"Sat, 24 Nov 2012",/event.aspx?419520,Kreuzton
"Industriestrasse Gebäude C; 8575, Bürglen",35500, Provisorium,/club.aspx?id=35500,"Sat, 30 Apr 2011",/event.aspx?249542,Ezikiel
"Industriestrasse Gebäude C; 8575, Bürglen",35500, Provisorium,/club.aspx?id=35500,"Sat, 16 Apr 2011",/event.aspx?242698,Tigerskin
"Industriestrasse Gebäude C; 8575, Bürglen",35500, Provisorium,/club.aspx?id=35500,"Sat, 16 Apr 2011",/event.aspx?242698,Smalltown Collective
"Industriestrasse Gebäude C; 8575, Bürglen",35500, Provisorium,/club.aspx?id=35500,"Sat, 16 Apr 2011",/event.aspx?242698,AK-N
"Industriestrasse Gebäude C; 8575, Bürglen",35500, Provisorium,/club.aspx?id=35500,"Sat, 26 Mar 2011",/event.aspx?238963,D.I.C.E
"Industriestrasse Gebäude C; 8575, Bürglen",35500, Provisorium,/club.aspx?id=35500,"Sat, 26 Feb 2011",/event.aspx?234148,Kara_Maehl
"Industriestrasse Gebäude C; 8575, Bürglen",35500, Provisorium,/club.aspx?id=35500,"Fri, 12 Feb 2010",/event.aspx?144846,Patrick Zigon
