club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Fri, 17 Jun 2016",/event.aspx?848347,Adolpho & Franky
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Fri, 17 Jun 2016",/event.aspx?848347,Matheiu
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Fri, 17 Jun 2016",/event.aspx?848347,The Mole
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Fri, 17 Jun 2016",/event.aspx?848347,Los Wenamigos
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Fri, 17 Jun 2016",/event.aspx?848347,Lucas Aliu
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Fri, 17 Jun 2016",/event.aspx?848347,La Forêt
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Fri, 17 Jun 2016",/event.aspx?848347,Nicolas Duvoisin
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Sat, 4 Jun 2016",/event.aspx?824268,Ian Pooley
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Sat, 4 Jun 2016",/event.aspx?824268,Hunter/Game
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Sat, 4 Jun 2016",/event.aspx?824268,Isolée
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Sat, 4 Jun 2016",/event.aspx?824268,Chymera
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Sat, 4 Jun 2016",/event.aspx?824268,The Drifter
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Sat, 4 Jun 2016",/event.aspx?824268,Masaya
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Fri, 3 Jun 2016",/event.aspx?824264,Oliver Huntemann
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Fri, 3 Jun 2016",/event.aspx?824264,Sebastian Mullaert
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Fri, 3 Jun 2016",/event.aspx?824264,Minilogue
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Fri, 3 Jun 2016",/event.aspx?824264,Patrice Bäumel
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Fri, 3 Jun 2016",/event.aspx?824264,Vanita
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Fri, 3 Jun 2016",/event.aspx?824264,Lucas Aliu
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Sat, 6 Jun 2015",/event.aspx?708238,Fur Coat
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Sat, 6 Jun 2015",/event.aspx?708238,My Favorite Robot
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Sat, 6 Jun 2015",/event.aspx?708238,La Fleur
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Sat, 6 Jun 2015",/event.aspx?708238,Sierra Sam
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Sat, 6 Jun 2015",/event.aspx?708238,Central Rodeo
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Sat, 6 Jun 2015",/event.aspx?708238,Jacqui
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Sat, 6 Jun 2015",/event.aspx?708238,Reber
"Allée du Bornan 8, 1007 Lausanne",20706, Pyramides De Vidy,/club.aspx?id=20706,"Fri, 5 Jun 2015",/event.aspx?708235,Stephan Bodzin
