club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Rue de la Revolution 1; 8004, Zürich",40430, RDLR,/club.aspx?id=40430,"Sat, 2 Apr 2016",/event.aspx?821861,Senking
"Rue de la Revolution 1; 8004, Zürich",40430, RDLR,/club.aspx?id=40430,"Sat, 2 Apr 2016",/event.aspx?821861,Ink!
"Rue de la Revolution 1; 8004, Zürich",40430, RDLR,/club.aspx?id=40430,"Sat, 2 Apr 2016",/event.aspx?821861,Uhuruku
"Rue de la Revolution 1; 8004, Zürich",40430, RDLR,/club.aspx?id=40430,"Fri, 9 May 2014",/event.aspx?590043,NHK'Koyxen
"Rue de la Revolution 1; 8004, Zürich",40430, RDLR,/club.aspx?id=40430,"Fri, 9 May 2014",/event.aspx?590043,Ink!
"Rue de la Revolution 1; 8004, Zürich",40430, RDLR,/club.aspx?id=40430,"Fri, 9 May 2014",/event.aspx?590043,Nik!
"Rue de la Revolution 1; 8004, Zürich",40430, RDLR,/club.aspx?id=40430,"Fri, 9 May 2014",/event.aspx?590043,Dave Eleanor
"Rue de la Revolution 1; 8004, Zürich",40430, RDLR,/club.aspx?id=40430,"Fri, 6 Dec 2013",/event.aspx?545061,Isolated Lines
"Rue de la Revolution 1; 8004, Zürich",40430, RDLR,/club.aspx?id=40430,"Fri, 6 Dec 2013",/event.aspx?545061,Ink!
"Rue de la Revolution 1; 8004, Zürich",40430, RDLR,/club.aspx?id=40430,"Fri, 6 Dec 2013",/event.aspx?545061,Nik!
"Rue de la Revolution 1; 8004, Zürich",40430, RDLR,/club.aspx?id=40430,"Sat, 30 Mar 2013",/event.aspx?463122,Feldermelder
"Rue de la Revolution 1; 8004, Zürich",40430, RDLR,/club.aspx?id=40430,"Sat, 30 Mar 2013",/event.aspx?463122,Nik!
"Rue de la Revolution 1; 8004, Zürich",40430, RDLR,/club.aspx?id=40430,"Sat, 2 Feb 2013",/event.aspx?442043,Feldermelder
"Rue de la Revolution 1; 8004, Zürich",40430, RDLR,/club.aspx?id=40430,"Sat, 2 Feb 2013",/event.aspx?442043,Nik!
"Rue de la Revolution 1; 8004, Zürich",40430, RDLR,/club.aspx?id=40430,"Sat, 3 Nov 2012",/event.aspx?417566,Nik!
"Rue de la Revolution 1; 8004, Zürich",40430, RDLR,/club.aspx?id=40430,"Fri, 6 Jan 2012",/event.aspx?326060,Feldermelder
"Rue de la Revolution 1; 8004, Zürich",40430, RDLR,/club.aspx?id=40430,"Fri, 6 Jan 2012",/event.aspx?326060,Nik!
"Rue de la Revolution 1; 8004, Zürich",40430, RDLR,/club.aspx?id=40430,"Sat, 12 Nov 2011",/event.aspx?310513,Rotkeller
"Rue de la Revolution 1; 8004, Zürich",40430, RDLR,/club.aspx?id=40430,"Sat, 12 Nov 2011",/event.aspx?310513,Guyus
"Rue de la Revolution 1; 8004, Zürich",40430, RDLR,/club.aspx?id=40430,"Sat, 12 Nov 2011",/event.aspx?310513,Partikel
"Rue de la Revolution 1; 8004, Zürich",40430, RDLR,/club.aspx?id=40430,"Sat, 12 Nov 2011",/event.aspx?310513,Nik!
"Rue de la Revolution 1; 8004, Zürich",40430, RDLR,/club.aspx?id=40430,"Sat, 22 Oct 2011",/event.aspx?301073,Nik!
"Rue de la Revolution 1; 8004, Zürich",40430, RDLR,/club.aspx?id=40430,"Sat, 29 Jan 2011",/event.aspx?221593,Feldermelder
"Rue de la Revolution 1; 8004, Zürich",40430, RDLR,/club.aspx?id=40430,"Sat, 29 Jan 2011",/event.aspx?221593,Nik!
