club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Oslostrasse 12, 4053 Basel",58872, Raumd,/club.aspx?id=58872,"Sat, 11 May 2013",/event.aspx?480953,Losoul
"Oslostrasse 12, 4053 Basel",58872, Raumd,/club.aspx?id=58872,"Sat, 11 May 2013",/event.aspx?480953,Shaka
"Oslostrasse 12, 4053 Basel",58872, Raumd,/club.aspx?id=58872,"Fri, 29 Mar 2013",/event.aspx?467318,Tristen
"Oslostrasse 12, 4053 Basel",58872, Raumd,/club.aspx?id=58872,"Sat, 10 Mar 2012",/event.aspx?343833,Tagträumer²
"Oslostrasse 12, 4053 Basel",58872, Raumd,/club.aspx?id=58872,"Sat, 10 Mar 2012",/event.aspx?343833,Steve Cole
"Oslostrasse 12, 4053 Basel",58872, Raumd,/club.aspx?id=58872,"Sat, 10 Mar 2012",/event.aspx?343833,Deepwave
"Oslostrasse 12, 4053 Basel",58872, Raumd,/club.aspx?id=58872,"Fri, 10 Feb 2012",/event.aspx?336399,Florian Meindl
"Oslostrasse 12, 4053 Basel",58872, Raumd,/club.aspx?id=58872,"Fri, 10 Feb 2012",/event.aspx?336399,Fan Erhalder
"Oslostrasse 12, 4053 Basel",58872, Raumd,/club.aspx?id=58872,"Fri, 10 Feb 2012",/event.aspx?336399,Eva Peel
"Oslostrasse 12, 4053 Basel",58872, Raumd,/club.aspx?id=58872,"Fri, 10 Feb 2012",/event.aspx?336399,Tanua
"Oslostrasse 12, 4053 Basel",58872, Raumd,/club.aspx?id=58872,"Fri, 10 Feb 2012",/event.aspx?336501,Florian Meindl
"Oslostrasse 12, 4053 Basel",58872, Raumd,/club.aspx?id=58872,"Fri, 10 Feb 2012",/event.aspx?336501,Fan Erhalder
"Oslostrasse 12, 4053 Basel",58872, Raumd,/club.aspx?id=58872,"Fri, 10 Feb 2012",/event.aspx?336501,Eva Peel
"Oslostrasse 12, 4053 Basel",58872, Raumd,/club.aspx?id=58872,"Fri, 10 Feb 2012",/event.aspx?336501,Tanua
